Caso,Moneda,Dias,RMSE_mediana,PC1,PC1_PC2,PC1_PC3,K95,K99
A_actual_consistente_td,USDPEN,299,0.916379,0.740525,0.980551,0.993705,2,3
B_alternativa_consistente_dt,USDPEN,299,0.916379,0.740525,0.980551,0.993705,2,3
C_vieja_inconsistente_dt_con_Xtd,USDPEN,299,0.780733,0.922336,0.994059,0.99804,2,2
A_actual_consistente_td,USDCOP,299,0.60226,0.924646,0.980977,0.996239,2,3
B_alternativa_consistente_dt,USDCOP,299,0.60226,0.924646,0.980977,0.996239,2,3
C_vieja_inconsistente_dt_con_Xtd,USDCOP,299,0.338781,0.829686,0.969535,0.987512,2,4
A_actual_consistente_td,USDCLP,299,0.579247,0.989222,0.996411,0.999571,1,2
B_alternativa_consistente_dt,USDCLP,299,0.579247,0.989222,0.996411,0.999571,1,2
C_vieja_inconsistente_dt_con_Xtd,USDCLP,299,0.57291,0.884234,0.968161,0.986396,2,4
A_actual_consistente_td,USDBRL,299,0.629696,0.987727,0.996194,0.998544,1,2
B_alternativa_consistente_dt,USDBRL,299,0.629696,0.987727,0.996194,0.998544,1,2
C_vieja_inconsistente_dt_con_Xtd,USDBRL,299,1.399405,0.942669,0.992186,0.99678,2,2
A_actual_consistente_td,USDARS,299,1.287874,0.983378,0.995526,0.998347,1,2
B_alternativa_consistente_dt,USDARS,299,1.287874,0.983378,0.995526,0.998347,1,2
C_vieja_inconsistente_dt_con_Xtd,USDARS,299,4.062354,0.897943,0.987555,0.994469,2,3
A_actual_consistente_td,USDMXN,299,0.595634,0.947229,0.984543,0.997568,2,3
B_alternativa_consistente_dt,USDMXN,299,0.595634,0.947229,0.984543,0.997568,2,3
C_vieja_inconsistente_dt_con_Xtd,USDMXN,299,1.03946,0.975437,0.995444,0.997749,1,2
A_actual_consistente_td,EURUSD,299,0.395182,0.956628,0.977532,0.990748,1,3
B_alternativa_consistente_dt,EURUSD,299,0.395182,0.956628,0.977532,0.990748,1,3
C_vieja_inconsistente_dt_con_Xtd,EURUSD,299,0.482217,0.966565,0.991067,0.996928,1,2
A_actual_consistente_td,USDZAR,299,0.552536,0.954995,0.987051,0.997791,1,3
B_alternativa_consistente_dt,USDZAR,299,0.552536,0.954995,0.987051,0.997791,1,3
C_vieja_inconsistente_dt_con_Xtd,USDZAR,299,1.076759,0.985583,0.997311,0.998633,1,2
