Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
EURUSD,1,PM,110,8,179,MAE_med,0.1122
EURUSD,1,PM,110,8,179,RMSE_med,0.1588
EURUSD,1,PM,110,8,179,WRMSE_long_med,0.0977
EURUSD,1,PM,110,8,179,WRMSE_short_med,0.2416
EURUSD,5,PM,110,8,179,MAE_med,0.2646
EURUSD,5,PM,110,8,179,RMSE_med,0.3741
EURUSD,5,PM,110,8,179,WRMSE_long_med,0.2259
EURUSD,5,PM,110,8,179,WRMSE_short_med,0.5603
EURUSD,10,PM,110,6,179,MAE_med,0.34
EURUSD,10,PM,110,6,179,RMSE_med,0.4908
EURUSD,10,PM,110,6,179,WRMSE_long_med,0.3028
EURUSD,10,PM,110,6,179,WRMSE_short_med,0.671
