h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,59,0.2483,0.017
1,ARHinc,medio,60,0.2691,0
1,ARHinc,final,60,0.3298,0.033
1,KernelARH,inicio,59,0.2656,0.017
1,KernelARH,medio,60,0.2713,0
1,KernelARH,final,60,0.3298,0.033
1,PA,inicio,59,0.2102,0
1,PA,medio,60,0.2646,0
1,PA,final,60,0.3022,0
1,VAR1,inicio,59,233.4828,0
1,VAR1,medio,60,26.674,0
1,VAR1,final,60,68.7543,0
5,ARHinc,inicio,59,0.1361,0.068
5,ARHinc,medio,60,0.1679,0.017
5,ARHinc,final,60,0.1761,0.067
5,KernelARH,inicio,59,0.1433,0.203
5,KernelARH,medio,60,0.2232,0.067
5,KernelARH,final,60,0.2389,0.083
5,PA,inicio,59,0.1087,0
5,PA,medio,60,0.1598,0
5,PA,final,60,0.1715,0
5,VAR1,inicio,59,159.848,0
5,VAR1,medio,60,18.5552,0
5,VAR1,final,60,100.6078,0
10,ARHinc,inicio,59,0.1207,0.068
10,ARHinc,medio,60,0.1091,0.033
10,ARHinc,final,60,0.1394,0.05
10,KernelARH,inicio,59,0.1684,0.237
10,KernelARH,medio,60,0.3156,0.1
10,KernelARH,final,60,0.1655,0.183
10,PA,inicio,59,0.1124,0
10,PA,medio,60,0.1063,0
10,PA,final,60,0.1367,0
10,VAR1,inicio,59,53.0773,0
10,VAR1,medio,60,9.235,0
10,VAR1,final,60,55.7651,0
