h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,8,110,179,0.1588,0.0937,0.2489,NA,NA,
1,PA,8,110,179,0.4205,0.3925,0.473,-25.217,0,***
1,VAR1,8,110,179,64.9212,22.0358,196.1781,-5.418,0,***
1,ARHinc,8,110,179,0.4304,0.3991,0.4904,-10.249,0,***
1,KernelARH,8,110,179,0.4426,0.4018,0.5143,-3.368,9e-4,***
5,PM,8,110,179,0.3741,0.2735,0.5638,NA,NA,
5,PA,8,110,179,0.5367,0.4479,0.6648,-10.345,0,***
5,VAR1,8,110,179,68.9032,18.8894,191.2607,-2.943,0.0037,***
5,ARHinc,8,110,179,0.547,0.4529,0.6861,-7.302,0,***
5,KernelARH,8,110,179,0.596,0.4963,0.761,-2.253,0.0255,**
10,PM,6,110,179,0.4908,0.3326,0.7239,NA,NA,
10,PA,6,110,179,0.5982,0.486,0.815,-8.28,0,***
10,VAR1,6,110,179,32.3921,10.1842,85.0468,-1.841,0.0672,*
10,ARHinc,6,110,179,0.6033,0.49370000000000003,0.7976,-6.031,0,***
10,KernelARH,6,110,179,0.7082,0.5648,0.9621,-1.554,0.1219,
