h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,59,0.4107,0.4762
1,ARHinc,medio,60,0.4161,0.4485
1,ARHinc,final,60,0.4884,0.7028
1,KernelARH,inicio,59,0.42,0.5014
1,KernelARH,medio,60,0.4144,0.4531
1,KernelARH,final,60,0.5237,0.7284
1,PA,inicio,59,0.3887,0.417
1,PA,medio,60,0.4172,0.441
1,PA,final,60,0.4786,0.6288
1,PM,inicio,59,0.1698,0.2314
1,PM,medio,60,0.1487,0.2122
1,PM,final,60,0.1587,0.3744
1,VAR1,inicio,59,233.6077,350.2154
1,VAR1,medio,60,26.8301,57.2063
1,VAR1,final,60,68.8474,153.0232
5,ARHinc,inicio,59,0.5533,0.6429
5,ARHinc,medio,60,0.4881,0.5695
5,ARHinc,final,60,0.6277,0.902
5,KernelARH,inicio,59,0.5859,0.6904
5,KernelARH,medio,60,0.5571,0.7105
5,KernelARH,final,60,0.7339,1.0238
5,PA,inicio,59,0.4953,0.6245
5,PA,medio,60,0.4959,0.5753
5,PA,final,60,0.633,0.9538
5,PM,inicio,59,0.4017,0.5344
5,PM,medio,60,0.3212,0.4443
5,PM,final,60,0.4469,0.8496
5,VAR1,inicio,59,160.1218,272.039
5,VAR1,medio,60,19.0637,48.2343
5,VAR1,final,60,100.9822,211.456
10,ARHinc,inicio,59,0.5086,0.7473
10,ARHinc,medio,60,0.5505,0.6566
10,ARHinc,final,60,0.7761,1.2754
10,KernelARH,inicio,59,0.6098,0.717
10,KernelARH,medio,60,0.7712,0.9755
10,KernelARH,final,60,0.8759,1.3475
10,PA,inicio,59,0.4948,0.7491
10,PA,medio,60,0.5666,0.6782
10,PA,final,60,0.771,1.2299
10,PM,inicio,59,0.3928,0.6906
10,PM,medio,60,0.4901,0.5955
10,PM,final,60,0.6046,1.1468
10,VAR1,inicio,59,53.3589,86.7458
10,VAR1,medio,60,9.6778,22.6826
10,VAR1,final,60,56.5699,141.0508
