Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
EURUSD,1,ARHinc,110,8,179,0.4304,0.3504,0.4229,0.4442
EURUSD,1,KernelARH,110,8,179,0.4426,0.3595,0.4555,0.4457
EURUSD,1,PA,110,8,179,0.4205,0.3428,0.4066,0.4424
EURUSD,1,PM,110,8,179,0.1588,0.1122,0.2416,0.0977
EURUSD,1,VAR1,110,8,179,64.9212,45.7371,94.1275,40.815
EURUSD,5,ARHinc,110,8,179,0.547,0.4425,0.6128,0.4897
EURUSD,5,KernelARH,110,8,179,0.596,0.4886,0.7209,0.5454
EURUSD,5,PA,110,8,179,0.5367,0.4317,0.6173,0.4917
EURUSD,5,PM,110,8,179,0.3741,0.2646,0.5603,0.2259
EURUSD,5,VAR1,110,8,179,68.9032,44.7854,89.4381,44.0792
EURUSD,10,ARHinc,110,6,179,0.6033,0.4882,0.7275,0.5338
EURUSD,10,KernelARH,110,6,179,0.7082,0.5863,0.8701,0.6145
EURUSD,10,PA,110,6,179,0.5982,0.4867,0.7146,0.5421
EURUSD,10,PM,110,6,179,0.4908,0.34,0.671,0.3028
EURUSD,10,VAR1,110,6,179,32.3921,23.3962,48.2429,20.1896
