W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,5,0.17883154406828275,PA,0.431746151812274,0.2529146077439912
44,5,3,0.4303189782904341,ARHinc,0.5496505797022185,0.11933160141178445
44,10,7,0.5080158897424069,KernelARH,0.6193981298925614,0.11138224015015452
66,1,8,0.16982173911759077,PA,0.4209238689813724,0.25110212986378166
66,5,3,0.4118847392918782,PA,0.543278717111656,0.1313939778197778
66,10,8,0.4938032833956328,ARHinc,0.6096611733934918,0.11585788999785901
88,1,8,0.16735556344318106,PA,0.4212380612181435,0.2538824977749624
88,5,7,0.40312982257103464,ARHinc,0.5351487174048342,0.13201889483379953
88,10,7,0.4938032833956328,ARHinc,0.6000167796334238,0.10621349623779103
110,1,8,0.1588166879915816,PA,0.42052010153829733,0.2617034135467157
110,5,8,0.374081310577095,PA,0.536651953948818,0.16257064337172306
110,10,6,0.49079277508631186,PA,0.5982347742829375,0.10744199919662561
132,1,8,0.15767968992671388,PA,0.42640801688451546,0.2687283269578016
132,5,4,0.36190767256517026,ARHinc,0.5523796528027662,0.19047198023759598
132,10,8,0.4957804647530691,ARHinc,0.6117671987258806,0.1159867339728115
154,1,8,0.15767968992671388,PA,0.4316188787246557,0.2739391887979418
154,5,8,0.3450685550616105,PA,0.5404104442083976,0.19534188914678707
154,10,8,0.4957804647530691,PA,0.6155892161220323,0.11980875136896324
176,1,7,0.15767968992671388,PA,0.457097215523927,0.29941752559721313
176,5,8,0.36190767256517026,PA,0.5545034610032157,0.19259578843804542
176,10,3,0.5206128507678383,ARHinc,0.7809990337908685,0.2603861830230303
198,1,6,0.1567141567411092,PA,0.46615630601726266,0.30944214927615343
198,5,8,0.40312982257103464,PA,0.5778517417493081,0.17472191917827345
198,10,3,0.5367969910640191,PA,0.807521729051923,0.27072473798790386
