moneda,h,K0,Modelo,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
usdpen,1,4,ARHinc,0.3366,0.5286,0.7692,0,1.0055,1.6158
usdpen,5,4,ARHinc,0.3366,0.5286,0.7692,0,1.0068,1.4038
usdpen,10,4,ARHinc,0.3366,0.5286,0.7692,0,1.0068,1.4023
usdcop,1,7,ARHinc,0.3975,0.4444,0.4766,0,1.0118,1.278
usdcop,5,8,ARHinc,0.4055,0.4386,0.4722,0,1.0085,1.3079
usdcop,10,8,ARHinc,0.4055,0.4386,0.4722,0,1.0086,1.3073
usdclp,1,7,ARHinc,0.5426,0.7089,0.8869,0,1.0121,1.8207
usdclp,5,6,ARHinc,0.583,0.7193,0.9113,0,1.0243,2.0391
usdclp,10,7,ARHinc,0.5426,0.7089,0.8869,0,1.0168,1.9405
usdbrl,1,7,ARHinc,0.396,0.4678,0.4797,0,1.0095,1.298
usdbrl,5,6,ARHinc,0.3575,0.4376,0.4824,0,1.0112,1.3171
usdbrl,10,5,ARHinc,0.3268,0.4115,0.4285,0,1.0143,1.3129
usdars,1,8,ARHinc,0.4009,0.5262,0.9928,0,0.9883,1.2948
usdars,5,7,ARHinc,0.3962,0.5037,1.0509,0.006,0.9895,1.1819
usdars,10,5,ARHinc,0.3405,0.4463,0.4682,0,0.99,1.1952
usdmxn,1,7,ARHinc,0.3839,0.5617,0.5749,0,0.9856,1.489
usdmxn,5,6,ARHinc,0.3632,0.5602,0.5778,0,0.9857,1.3316
usdmxn,10,6,ARHinc,0.3632,0.5602,0.5778,0,0.9857,1.3377
eurusd,1,8,ARHinc,0.4001,0.4463,0.4849,0,0.9978,1.7042
eurusd,5,8,ARHinc,0.4001,0.4463,0.4849,0,1.0047,1.5844
eurusd,10,6,ARHinc,0.3284,0.4007,0.4562,0,0.9932,1.5072
usdzar,1,5,ARHinc,0.328,0.4563,0.6946,0,0.9957,1.4322
usdzar,5,4,ARHinc,0.2767,0.4604,0.6997,0,0.9903,1.3211
usdzar,10,3,ARHinc,0.2727,0.4652,0.7303,0,0.9947,1.3038
