moneda,h,K0,Modelo,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
usdpen,1,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdpen,5,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdpen,10,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdcop,1,7,KernelARH,0.8456,0.8942,0.9888,0,NA,NA
usdcop,5,8,KernelARH,0.8486,0.8972,0.9759,0,NA,NA
usdcop,10,8,KernelARH,0.8486,0.8972,0.9759,0,NA,NA
usdclp,5,6,KernelARH,0.7492,0.8679,1.0427,0.01,NA,NA
usdclp,1,7,KernelARH,0.7647,0.8976,1.0106,0.015,NA,NA
usdclp,10,7,KernelARH,0.7647,0.8976,1.0106,0.015,NA,NA
usdbrl,10,5,KernelARH,0.8661,0.9285,0.9851,0,NA,NA
usdbrl,5,6,KernelARH,0.8715,0.9315,0.9694,0,NA,NA
usdbrl,1,7,KernelARH,0.8829,0.9282,0.9857,0,NA,NA
usdars,10,5,KernelARH,0.7791,0.8175,0.8564,0,NA,NA
usdars,5,7,KernelARH,0.8064,0.9441,1.0794,0.006,NA,NA
usdars,1,8,KernelARH,0.8398,0.9552,1.0634,0.011,NA,NA
usdmxn,5,6,KernelARH,0.8148,0.906,0.9838,0,NA,NA
usdmxn,10,6,KernelARH,0.8148,0.906,0.9838,0,NA,NA
usdmxn,1,7,KernelARH,0.8273,0.9075,0.9766,0,NA,NA
eurusd,10,6,KernelARH,0.8305,0.9344,1.124,0.006,NA,NA
eurusd,1,8,KernelARH,0.8524,0.9296,1.1355,0.006,NA,NA
eurusd,5,8,KernelARH,0.8524,0.9296,1.1355,0.006,NA,NA
usdzar,10,3,KernelARH,0.7698,0.8662,1.2363,0.004,NA,NA
usdzar,5,4,KernelARH,0.7626,0.9143,1.3633,0.009,NA,NA
usdzar,1,5,KernelARH,0.7718,0.8924,1.285,0.004,NA,NA
