moneda,h,K0,FVE_mediana,FVE_p05,dist_mediana,dist_p95,dist_max
usdpen,1,4,0.9992,0.9963,0.0995,0.4516,1.4016
usdpen,5,4,0.9992,0.9963,0.0995,0.4516,1.4016
usdpen,10,4,0.9992,0.9963,0.0995,0.4516,1.4016
usdcop,1,7,0.9999,0.9998,0.0511,0.1883,0.6769
usdcop,5,8,0.9999,0.9999,0.0567,0.1853,0.7949
usdcop,10,8,0.9999,0.9999,0.0567,0.1853,0.7949
usdclp,1,7,1,1,0.0488,0.1993,0.8507
usdclp,5,6,1,0.9999,0.0666,0.272,1.0606
usdclp,10,7,1,1,0.0488,0.1993,0.8507
usdbrl,1,7,0.9999,0.9999,0.0604,0.3428,1.0799
usdbrl,5,6,0.9999,0.9999,0.0603,0.3115,0.8235
usdbrl,10,5,0.9998,0.9996,0.037,0.22,1.3467
usdars,1,8,0.9999,0.9999,0.0609,0.2996,1.2136
usdars,5,7,0.9999,0.9997,0.0595,0.2379,1.3714
usdars,10,5,0.9996,0.9991,0.0217,0.0871,1.2896
usdmxn,1,7,0.9999,0.9999,0.0764,0.3662,0.737
usdmxn,5,6,0.9998,0.9997,0.0641,0.2252,1.4139
usdmxn,10,6,0.9998,0.9997,0.0641,0.2252,1.4139
eurusd,1,8,1,0.9999,0.0602,0.1813,0.3346
eurusd,5,8,1,0.9999,0.0602,0.1813,0.3346
eurusd,10,6,0.9999,0.9998,0.0516,0.2177,0.7186
usdzar,1,5,0.9998,0.9995,0.088,0.411,1.412
usdzar,5,4,0.9996,0.9989,0.0518,0.1647,0.2959
usdzar,10,3,0.9989,0.9973,0.0252,0.0675,0.1721
