moneda,h,Modelo,TRAIN_SIZE,K0,N,DM_stat,DM_pval,sig,inferior_a_PM
usdpen,1,ARHinc,44,4,245,-44.012,0,***,TRUE
usdpen,1,KernelARH,44,4,245,-40.594,0,***,TRUE
usdpen,1,PA,44,4,245,-44.214,0,***,TRUE
usdpen,1,VAR1,44,4,245,-4.514,0,***,TRUE
usdpen,5,ARHinc,44,4,245,-20.313,0,***,TRUE
usdpen,5,KernelARH,44,4,245,-16.156,0,***,TRUE
usdpen,5,PA,44,4,245,-20.154,0,***,TRUE
usdpen,5,VAR1,44,4,245,-2.268,0.0242,**,TRUE
usdpen,10,ARHinc,44,4,245,-22.72,0,***,TRUE
usdpen,10,KernelARH,44,4,245,-17.463,0,***,TRUE
usdpen,10,PA,44,4,245,-22.164,0,***,TRUE
usdpen,10,VAR1,44,4,245,-2.127,0.0344,**,TRUE
usdcop,1,ARHinc,154,7,135,-18.42,0,***,TRUE
usdcop,1,KernelARH,154,7,135,-8.492,0,***,TRUE
usdcop,1,PA,154,7,135,-18.958,0,***,TRUE
usdcop,1,VAR1,154,7,135,-3.858,2e-4,***,TRUE
usdcop,5,ARHinc,154,8,135,-10.934,0,***,TRUE
usdcop,5,KernelARH,154,8,135,-4.101,1e-4,***,TRUE
usdcop,5,PA,154,8,135,-12.2,0,***,TRUE
usdcop,5,VAR1,154,8,135,-3.16,0.002,***,TRUE
usdcop,10,ARHinc,154,8,135,-7.986,0,***,TRUE
usdcop,10,KernelARH,154,8,135,-3.25,0.0015,***,TRUE
usdcop,10,PA,154,8,135,-10.786,0,***,TRUE
usdcop,10,VAR1,154,8,135,-3.52,6e-4,***,TRUE
usdclp,1,ARHinc,88,7,201,-8.78,0,***,TRUE
usdclp,1,KernelARH,88,7,201,-9.17,0,***,TRUE
usdclp,1,PA,88,7,201,-12.048,0,***,TRUE
usdclp,1,VAR1,88,7,201,-2.433,0.0159,**,TRUE
usdclp,5,ARHinc,88,6,201,-2.823,0.0052,***,TRUE
usdclp,5,KernelARH,88,6,201,-2.686,0.0078,***,TRUE
usdclp,5,PA,88,6,201,-2.709,0.0073,***,TRUE
usdclp,5,VAR1,88,6,201,-2.147,0.033,**,TRUE
usdclp,10,ARHinc,88,7,201,-2.543,0.0117,**,TRUE
usdclp,10,KernelARH,88,7,201,-2.183,0.0302,**,TRUE
usdclp,10,PA,88,7,201,-2.072,0.0395,**,TRUE
usdclp,10,VAR1,88,7,201,-1.398,0.1638,NA,FALSE
usdbrl,1,ARHinc,132,7,157,-28.546,0,***,TRUE
usdbrl,1,KernelARH,132,7,157,-17.576,0,***,TRUE
usdbrl,1,PA,132,7,157,-64.873,0,***,TRUE
usdbrl,1,VAR1,132,7,157,-3.656,3e-4,***,TRUE
usdbrl,5,ARHinc,132,6,157,-17.735,0,***,TRUE
usdbrl,5,KernelARH,132,6,157,-4.79,0,***,TRUE
usdbrl,5,PA,132,6,157,-25.239,0,***,TRUE
usdbrl,5,VAR1,132,6,157,-2.311,0.0222,**,TRUE
usdbrl,10,ARHinc,132,5,157,-7.062,0,***,TRUE
usdbrl,10,KernelARH,132,5,157,-1.737,0.0844,*,FALSE
usdbrl,10,PA,132,5,157,-7.857,0,***,TRUE
usdbrl,10,VAR1,132,5,157,-2.439,0.0159,**,TRUE
usdars,1,ARHinc,110,8,179,-34.999,0,***,TRUE
usdars,1,KernelARH,110,8,179,-28.001,0,***,TRUE
usdars,1,PA,110,8,179,-35.014,0,***,TRUE
usdars,1,VAR1,110,8,179,-4.644,0,***,TRUE
usdars,5,ARHinc,110,7,179,-18.725,0,***,TRUE
usdars,5,KernelARH,110,7,179,-11.89,0,***,TRUE
usdars,5,PA,110,7,179,-17.896,0,***,TRUE
usdars,5,VAR1,110,7,179,-2.764,0.0063,***,TRUE
usdars,10,ARHinc,110,5,179,-18.454,0,***,TRUE
usdars,10,KernelARH,110,5,179,-11.149,0,***,TRUE
usdars,10,PA,110,5,179,-18.039,0,***,TRUE
usdars,10,VAR1,110,5,179,-2.253,0.0255,**,TRUE
usdmxn,1,ARHinc,88,7,201,-22.268,0,***,TRUE
usdmxn,1,KernelARH,88,7,201,-8.682,0,***,TRUE
usdmxn,1,PA,88,7,201,-73.982,0,***,TRUE
usdmxn,1,VAR1,88,7,201,-2.699,0.0075,***,TRUE
usdmxn,5,ARHinc,88,6,201,-15.623,0,***,TRUE
usdmxn,5,KernelARH,88,6,201,-9.342,0,***,TRUE
usdmxn,5,PA,88,6,201,-35.543,0,***,TRUE
usdmxn,5,VAR1,88,6,201,-2.083,0.0385,**,TRUE
usdmxn,10,ARHinc,88,6,201,-17.577,0,***,TRUE
usdmxn,10,KernelARH,88,6,201,-6.755,0,***,TRUE
usdmxn,10,PA,88,6,201,-24.027,0,***,TRUE
usdmxn,10,VAR1,88,6,201,-1.882,0.0612,*,FALSE
eurusd,1,ARHinc,110,8,179,-10.249,0,***,TRUE
eurusd,1,KernelARH,110,8,179,-3.368,9e-4,***,TRUE
eurusd,1,PA,110,8,179,-25.217,0,***,TRUE
eurusd,1,VAR1,110,8,179,-5.418,0,***,TRUE
eurusd,5,ARHinc,110,8,179,-7.302,0,***,TRUE
eurusd,5,KernelARH,110,8,179,-2.253,0.0255,**,TRUE
eurusd,5,PA,110,8,179,-10.345,0,***,TRUE
eurusd,5,VAR1,110,8,179,-2.943,0.0037,***,TRUE
eurusd,10,ARHinc,110,6,179,-6.031,0,***,TRUE
eurusd,10,KernelARH,110,6,179,-1.554,0.1219,NA,FALSE
eurusd,10,PA,110,6,179,-8.28,0,***,TRUE
eurusd,10,VAR1,110,6,179,-1.841,0.0672,*,FALSE
usdzar,1,ARHinc,66,5,223,-7.637,0,***,TRUE
usdzar,1,KernelARH,66,5,223,-2.807,0.0055,***,TRUE
usdzar,1,PA,66,5,223,-28.282,0,***,TRUE
usdzar,1,VAR1,66,5,223,-1.829,0.0687,*,FALSE
usdzar,5,ARHinc,66,4,223,-2.096,0.0372,**,TRUE
usdzar,5,KernelARH,66,4,223,-1.165,0.2453,NA,FALSE
usdzar,5,PA,66,4,223,-6.034,0,***,TRUE
usdzar,5,VAR1,66,4,223,-1.414,0.1588,NA,FALSE
usdzar,10,ARHinc,66,3,223,-2.096,0.0372,**,TRUE
usdzar,10,KernelARH,66,3,223,-1.087,0.2783,NA,FALSE
usdzar,10,PA,66,3,223,-5.43,0,***,TRUE
usdzar,10,VAR1,66,3,223,-1.275,0.2036,NA,FALSE
