moneda,h,K0,Modelo,r_spec_mediana,r_spec_p95,r_spec_max,prop_r_spec_ge_1,ratio_norm_mediana,ratio_norm_p95
usdpen,1,4,ARHinc,0.3366,0.5286,0.7692,0,1.0055,1.6158
usdpen,1,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdpen,1,4,VAR1,0.9259515555515112,NA,1.301913249669962,NA,3.311225840499675,7.624621481447811
usdpen,5,4,ARHinc,0.3366,0.5286,0.7692,0,1.0068,1.4038
usdpen,5,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdpen,5,4,VAR1,0.9259515555515112,NA,1.301913249669962,NA,4.59467630489886,18.323824666161695
usdpen,10,4,ARHinc,0.3366,0.5286,0.7692,0,1.0068,1.4023
usdpen,10,4,KernelARH,0.6824,0.8702,1.0053,0.004,NA,NA
usdpen,10,4,VAR1,0.9259515555515112,NA,1.301913249669962,NA,3.80261786039549,25.061027940304967
usdcop,1,7,ARHinc,0.3975,0.4444,0.4766,0,1.0118,1.278
usdcop,1,7,KernelARH,0.8456,0.8942,0.9888,0,NA,NA
usdcop,1,7,VAR1,0.9904065206727036,NA,1.0311560211014421,NA,5.662517021356046,13.977085312452328
usdcop,5,8,ARHinc,0.4055,0.4386,0.4722,0,1.0085,1.3079
usdcop,5,8,KernelARH,0.8486,0.8972,0.9759,0,NA,NA
usdcop,5,8,VAR1,0.9894438605186332,NA,1.0306198040758674,NA,14.721083898827809,23.702322194050623
usdcop,10,8,ARHinc,0.4055,0.4386,0.4722,0,1.0086,1.3073
usdcop,10,8,KernelARH,0.8486,0.8972,0.9759,0,NA,NA
usdcop,10,8,VAR1,0.9894438605186332,NA,1.0306198040758674,NA,11.059632424230715,19.08555054351304
usdclp,1,7,ARHinc,0.5426,0.7089,0.8869,0,1.0121,1.8207
usdclp,1,7,KernelARH,0.7647,0.8976,1.0106,0.015,NA,NA
usdclp,1,7,VAR1,0.9517513508028064,NA,1.120192364563566,NA,22.62373029423198,73.32473062537007
usdclp,5,6,ARHinc,0.583,0.7193,0.9113,0,1.0243,2.0391
usdclp,5,6,KernelARH,0.7492,0.8679,1.0427,0.01,NA,NA
usdclp,5,6,VAR1,0.9549294341713944,NA,1.120097040521533,NA,28.26984702605207,76.49720493949155
usdclp,10,7,ARHinc,0.5426,0.7089,0.8869,0,1.0168,1.9405
usdclp,10,7,KernelARH,0.7647,0.8976,1.0106,0.015,NA,NA
usdclp,10,7,VAR1,0.9517513508028064,NA,1.120192364563566,NA,33.59344450884404,106.68822503126906
usdbrl,1,7,ARHinc,0.396,0.4678,0.4797,0,1.0095,1.298
usdbrl,1,7,KernelARH,0.8829,0.9282,0.9857,0,NA,NA
usdbrl,1,7,VAR1,0.983259791169798,NA,1.0175077434757689,NA,8.043136092991576,19.3564822103127
usdbrl,5,6,ARHinc,0.3575,0.4376,0.4824,0,1.0112,1.3171
usdbrl,5,6,KernelARH,0.8715,0.9315,0.9694,0,NA,NA
usdbrl,5,6,VAR1,0.985433788514108,NA,1.0146045811874944,NA,11.935203732473049,20.860384328425233
usdbrl,10,5,ARHinc,0.3268,0.4115,0.4285,0,1.0143,1.3129
usdbrl,10,5,KernelARH,0.8661,0.9285,0.9851,0,NA,NA
usdbrl,10,5,VAR1,0.9798175133678364,NA,1.0100472741026918,NA,10.271596012644922,20.121322465651204
usdars,1,8,ARHinc,0.4009,0.5262,0.9928,0,0.9883,1.2948
usdars,1,8,KernelARH,0.8398,0.9552,1.0634,0.011,NA,NA
usdars,1,8,VAR1,0.9931335278090744,NA,1.0455853325963038,NA,12.143174964804556,25.815891034489873
usdars,5,7,ARHinc,0.3962,0.5037,1.0509,0.006,0.9895,1.1819
usdars,5,7,KernelARH,0.8064,0.9441,1.0794,0.006,NA,NA
usdars,5,7,VAR1,0.9897315211860336,NA,1.0381530465699986,NA,19.43498606140698,31.02171070090368
usdars,10,5,ARHinc,0.3405,0.4463,0.4682,0,0.99,1.1952
usdars,10,5,KernelARH,0.7791,0.8175,0.8564,0,NA,NA
usdars,10,5,VAR1,0.9833090954097924,NA,1.0819945992049251,NA,4.404054880422473,33.96764131277306
usdmxn,1,7,ARHinc,0.3839,0.5617,0.5749,0,0.9856,1.489
usdmxn,1,7,KernelARH,0.8273,0.9075,0.9766,0,NA,NA
usdmxn,1,7,VAR1,0.9798360400083946,NA,1.1199043046238304,NA,7.77919775925841,27.073495168115844
