moneda,PC,effect_mean,effect_min,effect_max,effect_range,effect_rms,spatial_sd,level_ratio,short_mean,long_mean,long_short,put_mean,call_mean,call_put,atm_mean
usdpen,PC1,0.166132,-0.493637,1.193247,1.686884,0.393864,0.359891,0.4218,0.470888,-0.089282,-0.560169,0.041255,0.288733,0.247478,0.170685
usdpen,PC2,0.284716,-1.104346,1.378198,2.482544,0.674884,0.616648,0.421875,0.743014,-0.194841,-0.937855,0.08103,0.485151,0.404122,0.29122
usdpen,PC3,0.220909,-0.766668,1.838357,2.605025,0.65306,0.619344,0.338268,0.600278,-0.156975,-0.757253,-0.124852,0.558781,0.683633,0.236688
usdcop,PC1,0.276647,0.032045,0.785086,0.753041,0.347289,0.211578,0.796589,0.48414,0.159576,-0.324564,0.254489,0.30493,0.050441,0.264398
usdcop,PC2,0.687125,0.297114,0.957787,0.660674,0.708622,0.174567,0.969663,0.838004,0.562413,-0.275592,0.573854,0.791551,0.217697,0.704812
usdcop,PC3,0.423077,0.207399,0.724294,0.516895,0.444488,0.137351,0.951831,0.519994,0.332249,-0.187745,0.319868,0.529951,0.210084,0.415747
usdclp,PC1,0.445537,-0.190108,1.556563,1.746671,0.66112,0.492244,0.673913,0.894135,0.215192,-0.678942,0.447461,0.445375,-0.002086,0.442015
usdclp,PC2,0.645541,0.261634,0.847504,0.585871,0.667119,0.169606,0.967656,0.470674,0.730561,0.259887,0.63145,0.659389,0.027938,0.646029
usdclp,PC3,0.650644,-0.101576,1.483027,1.584603,0.834708,0.526946,0.779487,1.261127,0.172198,-1.088929,0.643715,0.6537,0.009985,0.658391
usdbrl,PC1,0.269114,-0.356709,1.161624,1.518333,0.420187,0.325211,0.640462,0.381174,0.196547,-0.184627,0.105564,0.432563,0.327,0.269317
usdbrl,PC2,0.001229,-0.266525,0.250338,0.516863,0.144114,0.14523,0.008525,0.067247,-0.099627,-0.166874,0.085404,-0.079839,-0.165243,-0.004987
usdbrl,PC3,0.758526,0.049659,2.01026,1.960601,1.022803,0.691463,0.741614,1.578923,0.166097,-1.412826,0.81849,0.69911,-0.119381,0.757427
usdars,PC1,0.341529,-0.441261,1.5087,1.949961,0.536025,0.41635,0.637151,0.168451,0.49728,0.32883,0.227935,0.451201,0.223265,0.349372
usdars,PC2,0.22197,-0.487687,0.754688,1.242375,0.413511,0.3516,0.536793,0.519319,-0.12118,-0.640499,0.239342,0.188287,-0.051055,0.254591
usdars,PC3,0.089161,-0.96347,0.999992,1.963462,0.524451,0.520838,0.170009,0.220555,-0.021999,-0.242554,-0.389647,0.585876,0.975523,0.05335
usdmxn,PC1,0.617244,0.026435,2.197599,2.171164,0.886051,0.640632,0.696624,1.316922,0.167448,-1.149474,0.516495,0.71739,0.200895,0.618449
usdmxn,PC2,1.197206,0.550557,2.084225,1.533668,1.268324,0.421999,0.943928,1.672247,0.817997,-0.85425,1.091706,1.304306,0.2126,1.194005
usdmxn,PC3,0.48318,0.138086,1.134451,0.996365,0.563154,0.291525,0.857989,0.798074,0.239914,-0.55816,0.378559,0.586212,0.207652,0.486356
eurusd,PC1,0.548398,0.121611,1.399443,1.277832,0.681143,0.407143,0.805115,0.983852,0.285055,-0.698797,0.608117,0.48173,-0.126388,0.562296
eurusd,PC2,0.152015,-0.077677,0.385601,0.463278,0.190537,0.115766,0.797827,0.217698,0.099459,-0.118239,0.257824,0.047763,-0.210061,0.148904
eurusd,PC3,0.656758,0.152671,1.326536,1.173864,0.729031,0.318936,0.900864,0.974661,0.4133,-0.561361,0.475363,0.836682,0.361319,0.6597
usdzar,PC1,0.780789,-0.112874,3.027873,3.140746,1.139146,0.835925,0.685417,1.654254,0.221506,-1.432749,0.477439,1.079582,0.602143,0.789905
usdzar,PC2,1.041274,0.633019,1.452821,0.819802,1.076496,0.275241,0.967281,1.357446,0.784652,-0.572794,1.080297,1.009352,-0.070945,1.027075
usdzar,PC3,0.484653,0.265428,0.786321,0.520893,0.518812,0.186581,0.93416,0.703394,0.320282,-0.383112,0.458674,0.513546,0.054872,0.478828
