moneda,PC,FVE,score_sd,score_min,score_q05,score_median,score_q95,score_max,score_start,score_end,net_change,net_change_sd,acf1,acf5,increment_sd,increment_to_level_sd
usdpen,PC1,0.740525,5.331433,-20.464854,-7.166915,-0.446022,8.606638,16.701699,-0.266705,-20.464854,-20.19815,-3.788503,0.833727,0.422585,3.043661,0.57089
usdpen,PC2,0.240026,3.035308,-5.868099,-4.134482,-0.650505,6.093045,8.907013,-1.969089,5.041794,7.010883,2.309776,0.914737,0.678341,1.2522200000000001,0.412551
usdpen,PC3,0.013154,0.710568,-1.521874,-0.973723,-0.047163,1.42599,2.267561,-0.486146,1.639099,2.125245,2.99091,0.909075,0.646859,0.302093,0.425143
usdcop,PC1,0.924646,5.791988,-20.15518,-7.82855,-0.897301,9.6388,22.22476,0.202089,-20.15518,-20.357269,-3.514729,0.867578,0.426431,2.957249,0.510576
usdcop,PC2,0.056331,1.429599,-3.022194,-2.379409,0.094092,2.122615,2.967592,0.084874,2.375249,2.290375,1.602111,0.968132,0.908677,0.360742,0.252338
usdcop,PC3,0.015262,0.744128,-1.553236,-1.085559,-0.023778,1.270427,1.901498,-0.701868,1.054249,1.756117,2.359967,0.898969,0.703382,0.334243,0.449174
usdclp,PC1,0.989222,15.430389,-56.713235,-25.508857,1.47161,21.652721,49.184673,5.742351,19.778204,14.035853,0.909624,0.933396,0.597321,5.632868,0.36505
usdclp,PC2,0.007188,1.315351,-3.865096,-2.017097,0.609869,1.411932,1.665108,1.162503,-0.878093,-2.040596,-1.55137,0.979492,0.931862,0.266566,0.202658
usdclp,PC3,0.00316,0.872106,-1.265129,-1.093555,-0.204248,1.753871,3.146926,-0.519762,1.893359,2.413121,2.767006,0.932919,0.728827,0.318666,0.365398
usdbrl,PC1,0.987727,13.975717,-24.844103,-16.631241,-4.123399,29.497237,45.639298,1.799053,21.006124,19.207071,1.374317,0.941049,0.782835,4.797967,0.343307
usdbrl,PC2,0.008467,1.293974,-7.065776,-2.151774,0.125702,1.891901,3.09753,-0.419828,3.09753,3.517357,2.71826,0.758903,0.298594,0.895682,0.692195
usdbrl,PC3,0.00235,0.681708,-1.208213,-0.985474,0.061484,1.084974,1.785354,0.64469,1.178021,0.53333,0.782344,0.953269,0.759721,0.20809,0.305248
usdars,PC1,0.983378,21.408202,-26.409258,-20.320313,-11.091795,42.191661,55.103471,-2.520415,35.128427,37.648842,1.758618,0.985879,0.956797,3.596894,0.168015
usdars,PC2,0.012148,2.379427,-8.378525,-2.961684,-0.298075,4.465829,8.214698,-0.236878,0.44784,0.684717,0.287766,0.89656,0.585085,1.084037,0.455588
usdars,PC3,0.002821,1.146584,-2.655932,-1.714303,0.029035,2.426792,2.744445,2.368199,1.796869,-0.57133,-0.498289,0.980818,0.876295,0.223709,0.195109
usdmxn,PC1,0.947229,8.364271,-17.733693,-10.737927000000001,-1.703385,19.738798,29.120689,10.36897,8.644771,-1.724199,-0.206139,0.863905,0.445964,4.361539,0.521449
usdmxn,PC2,0.037314,1.660105,-3.098723,-2.318209,-0.464009,3.206189,4.163363,3.535986,-1.491067,-5.027052,-3.028153,0.977375,0.947472,0.352291,0.21221
usdmxn,PC3,0.013025,0.980838,-2.529007,-1.550172,0.019689,1.651129,4.169573,0.308391,4.169573,3.861182,3.936614,0.840417,0.5876,0.547199,0.557889
eurusd,PC1,0.956628,6.83138,-15.496862,-7.021953,-1.671122,11.546135,46.915876,6.899381,10.087163,3.187782,0.466638,0.825797,0.455447,4.028188,0.589659
eurusd,PC2,0.020905,1.009855,-2.962895,-1.423882,-0.216496,1.942592,3.771141,-0.7303,-1.821086,-1.090786,-1.080141,0.800618,0.268482,0.636754,0.63054
eurusd,PC3,0.013216,0.802936,-1.568067,-1.150748,-0.031454,1.450006,2.110821,-0.659654,-0.067367,0.592287,0.737651,0.958287,0.779518,0.232175,0.289158
usdzar,PC1,0.954995,8.734216,-20.259064,-9.192944,-1.609143,17.071313,39.428541,1.766111,25.640588,23.874476,2.733442,0.903102,0.614398,3.825213,0.437957
usdzar,PC2,0.032056,1.600209,-3.267641,-2.517722,0.20144,2.28649,4.027944,0.654666,-0.685581,-1.340247,-0.837545,0.962522,0.860922,0.438715,0.274161
usdzar,PC3,0.01074,0.926254,-4.163382,-1.311162,0.09193,1.090962,2.909781,0.971598,2.276276,1.304678,1.408553,0.79606,0.433965,0.589021,0.635917
