moneda,h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
usdpen,1,PM,4,44,245,0.12,0.0736,0.2274,NA,NA,NA
usdpen,1,PA,4,44,245,0.967,0.9027,1.0483,-44.214,0,***
usdpen,1,VAR1,4,44,245,7.554,3.1547,15.3386,-4.514,0,***
usdpen,1,ARHinc,4,44,245,0.9679,0.9023,1.0489,-44.012,0,***
usdpen,1,KernelARH,4,44,245,0.9727,0.9035,1.0617,-40.594,0,***
usdpen,5,PM,4,44,245,0.3227,0.193,0.5221,NA,NA,NA
usdpen,5,PA,4,44,245,1.0014,0.932,1.0962,-20.154,0,***
usdpen,5,VAR1,4,44,245,10.856,4.5433,27.0935,-2.268,0.0242,**
usdpen,5,ARHinc,4,44,245,0.9998,0.9309,1.093,-20.313,0,***
usdpen,5,KernelARH,4,44,245,1.0076,0.9218,1.1194,-16.156,0,***
usdpen,10,PM,4,44,245,0.4223,0.2703,0.6606,NA,NA,NA
usdpen,10,PA,4,44,245,1.0394,0.9503,1.1695,-22.164,0,***
usdpen,10,VAR1,4,44,245,8.9306,3.8355,23.4599,-2.127,0.0344,**
usdpen,10,ARHinc,4,44,245,1.043,0.947,1.168,-22.72,0,***
usdpen,10,KernelARH,4,44,245,1.0566,0.9563,1.1854,-17.463,0,***
usdcop,1,PM,7,154,135,0.1504,0.1014,0.2305,NA,NA,NA
usdcop,1,PA,7,154,135,0.5356,0.5017,0.6233,-18.958,0,***
usdcop,1,VAR1,7,154,135,39.3748,17.4805,58.8146,-3.858,2e-4,***
usdcop,1,ARHinc,7,154,135,0.5389,0.5017,0.636,-18.42,0,***
usdcop,1,KernelARH,7,154,135,0.5494,0.5083,0.6743,-8.492,0,***
usdcop,5,PM,8,154,135,0.4321,0.2683,0.6386,NA,NA,NA
usdcop,5,PA,8,154,135,0.6613,0.5546,0.8196,-12.2,0,***
usdcop,5,VAR1,8,154,135,96.8628,45.4267,145.117,-3.16,0.002,***
usdcop,5,ARHinc,8,154,135,0.6703,0.5539,0.8097,-10.934,0,***
usdcop,5,KernelARH,8,154,135,0.6994,0.5841,0.9971,-4.101,1e-4,***
usdcop,10,PM,8,154,135,0.6441,0.4423,0.9629,NA,NA,NA
usdcop,10,PA,8,154,135,0.8163,0.661,1.0636,-10.786,0,***
usdcop,10,VAR1,8,154,135,63.3414,34.0873,97.8416,-3.52,6e-4,***
usdcop,10,ARHinc,8,154,135,0.807,0.6426,1.0434,-7.986,0,***
usdcop,10,KernelARH,8,154,135,0.868,0.6915,1.3959,-3.25,0.0015,***
usdclp,1,PM,7,88,201,0.1614,0.0948,0.3159,NA,NA,NA
usdclp,1,PA,7,88,201,0.6272,0.5885,0.6985,-12.048,0,***
usdclp,1,VAR1,7,88,201,122.8315,41.1173,240.7334,-2.433,0.0159,**
usdclp,1,ARHinc,7,88,201,0.6313,0.5921,0.7236,-8.78,0,***
usdclp,1,KernelARH,7,88,201,0.6438,0.5963,0.7976,-9.17,0,***
usdclp,5,PM,6,88,201,0.4087,0.2385,0.7361,NA,NA,NA
usdclp,5,PA,6,88,201,0.7015,0.6341,0.9866,-2.709,0.0073,***
usdclp,5,VAR1,6,88,201,153.149,59.4774,395.7856,-2.147,0.033,**
usdclp,5,ARHinc,6,88,201,0.7245,0.6322,1.022,-2.823,0.0052,***
usdclp,5,KernelARH,6,88,201,0.7339,0.6316,1.0346,-2.686,0.0078,***
usdclp,10,PM,7,88,201,0.6239,0.3334,1.1584,NA,NA,NA
usdclp,10,PA,7,88,201,0.842,0.6688,1.2559,-2.072,0.0395,**
usdclp,10,VAR1,7,88,201,198.9688,70.4993,467.8153,-1.398,0.1638,NA
usdclp,10,ARHinc,7,88,201,0.8362,0.6739,1.2661,-2.543,0.0117,**
usdclp,10,KernelARH,7,88,201,0.8122,0.6756,1.4438,-2.183,0.0302,**
usdbrl,1,PM,7,132,157,0.1972,0.1255,0.3454,NA,NA,NA
usdbrl,1,PA,7,132,157,0.6654,0.6411,0.7226,-64.873,0,***
usdbrl,1,VAR1,7,132,157,46.3052,19.6669,176.4729,-3.656,3e-4,***
usdbrl,1,ARHinc,7,132,157,0.6817,0.6441,0.754,-28.546,0,***
usdbrl,1,KernelARH,7,132,157,0.6807,0.6474,0.754,-17.576,0,***
usdbrl,5,PM,6,132,157,0.5848,0.3318,0.9642,NA,NA,NA
usdbrl,5,PA,6,132,157,0.8451,0.6981,1.1506,-25.239,0,***
usdbrl,5,VAR1,6,132,157,99.5407,20.9908,344.0532,-2.311,0.0222,**
usdbrl,5,ARHinc,6,132,157,0.8287,0.6967,1.2017,-17.735,0,***
usdbrl,5,KernelARH,6,132,157,0.8995,0.7334,1.3009,-4.79,0,***
usdbrl,10,PM,5,132,157,0.7676,0.4593,1.3735,NA,NA,NA
usdbrl,10,PA,5,132,157,0.9835,0.7562,1.4733,-7.857,0,***
usdbrl,10,VAR1,5,132,157,113.7875,21.0505,335.7111,-2.439,0.0159,**
usdbrl,10,ARHinc,5,132,157,1.0143,0.7741,1.4856,-7.062,0,***
usdbrl,10,KernelARH,5,132,157,0.9991,0.7942,1.5339,-1.737,0.0844,*
usdars,1,PM,8,110,179,0.1729,0.1136,0.2771,NA,NA,NA
usdars,1,PA,8,110,179,1.2766,1.2256,1.4157,-35.014,0,***
usdars,1,VAR1,8,110,179,172.6874,41.1596,463.7176,-4.644,0,***
usdars,1,ARHinc,8,110,179,1.2837,1.2259,1.4193,-34.999,0,***
usdars,1,KernelARH,8,110,179,1.2875,1.2283,1.4432,-28.001,0,***
usdars,5,PM,7,110,179,0.4415,0.2922,0.6847,NA,NA,NA
usdars,5,PA,7,110,179,1.3542,1.2579,1.5078,-17.896,0,***
usdars,5,VAR1,7,110,179,255.3009,69.4637,827.9888,-2.764,0.0063,***
usdars,5,ARHinc,7,110,179,1.366,1.2599,1.5268,-18.725,0,***
usdars,5,KernelARH,7,110,179,1.3722,1.2699,1.5512,-11.89,0,***
usdars,10,PM,5,110,179,0.6258,0.4297,1.0918,NA,NA,NA
usdars,10,PA,5,110,179,1.4207,1.3127,1.7158,-18.039,0,***
usdars,10,VAR1,5,110,179,25.4308,9.9114,665.1366,-2.253,0.0255,**
usdars,10,ARHinc,5,110,179,1.4341,1.3116,1.6961,-18.454,0,***
usdars,10,KernelARH,5,110,179,1.4554,1.3342,1.6858,-11.149,0,***
usdmxn,1,PM,7,88,201,0.147,0.0958,0.2498,NA,NA,NA
usdmxn,1,PA,7,88,201,0.6072,0.5773,0.6419,-73.982,0,***
