moneda,h,PM,PA,VAR1,ARHinc,KernelARH,best_non_pm,best_non_pm_model,gap_best_vs_PM,ratio_best_to_PM,PM_dominates_median
usdpen,1,0.12,0.967,7.554,0.9679,0.9727,0.967,PA,0.847,8.058333333333334,TRUE
usdpen,5,0.3227,1.0014,10.856,0.9998,1.0076,0.9998,ARHinc,0.6771,3.0982336535481876,TRUE
usdpen,10,0.4223,1.0394,8.9306,1.043,1.0566,1.0394,PA,0.6171000000000001,2.4612834477859344,TRUE
usdcop,1,0.1504,0.5356,39.3748,0.5389,0.5494,0.5356,PA,0.3852,3.561170212765957,TRUE
usdcop,5,0.4321,0.6613,96.8628,0.6703,0.6994,0.6613,PA,0.22920000000000001,1.5304327701920852,TRUE
usdcop,10,0.6441,0.8163,63.3414,0.807,0.868,0.807,ARHinc,0.16290000000000004,1.2529110386585935,TRUE
usdclp,1,0.1614,0.6272,122.8315,0.6313,0.6438,0.6272,PA,0.4658,3.8859975216852543,TRUE
usdclp,5,0.4087,0.7015,153.149,0.7245,0.7339,0.7015,PA,0.2928,1.7164179104477613,TRUE
usdclp,10,0.6239,0.842,198.9688,0.8362,0.8122,0.8122,KernelARH,0.18830000000000002,1.301811187690335,TRUE
usdbrl,1,0.1972,0.6654,46.3052,0.6817,0.6807,0.6654,PA,0.4682,3.374239350912779,TRUE
usdbrl,5,0.5848,0.8451,99.5407,0.8287,0.8995,0.8287,ARHinc,0.2439,1.4170656634746923,TRUE
usdbrl,10,0.7676,0.9835,113.7875,1.0143,0.9991,0.9835,PA,0.2159000000000001,1.2812662845231892,TRUE
usdars,1,0.1729,1.2766,172.6874,1.2837,1.2875,1.2766,PA,1.1037,7.383458646616541,TRUE
usdars,5,0.4415,1.3542,255.3009,1.366,1.3722,1.3542,PA,0.9127000000000001,3.0672706681766706,TRUE
usdars,10,0.6258,1.4207,25.4308,1.4341,1.4554,1.4207,PA,0.7949,2.270214125918824,TRUE
usdmxn,1,0.147,0.6072,21.8129,0.6084,0.6138,0.6072,PA,0.46019999999999994,4.130612244897959,TRUE
usdmxn,5,0.3419,0.6646,27.285,0.6709,0.6842,0.6646,PA,0.3227,1.9438432290143317,TRUE
usdmxn,10,0.4251,0.6899,23.8348,0.7002,0.7676,0.6899,PA,0.2648,1.6229122559397788,TRUE
eurusd,1,0.1588,0.4205,64.9212,0.4304,0.4426,0.4205,PA,0.2617,2.647984886649874,TRUE
eurusd,5,0.3741,0.5367,68.9032,0.547,0.596,0.5367,PA,0.16259999999999997,1.4346431435445068,TRUE
eurusd,10,0.4908,0.5982,32.3921,0.6033,0.7082,0.5982,PA,0.10739999999999994,1.2188264058679705,TRUE
usdzar,1,0.175,0.6052,14.2564,0.6088,0.6193,0.6052,PA,0.43019999999999997,3.458285714285714,TRUE
usdzar,5,0.4172,0.7153,20.6145,0.7071,0.7253,0.7071,ARHinc,0.28989999999999994,1.6948705656759346,TRUE
usdzar,10,0.5551,0.7836,9.2332,0.7759,0.8464,0.7759,ARHinc,0.2208,1.3977661682579714,TRUE
