moneda,h,Modelo,TRAIN_SIZE,N,TA,IC_low,IC_high
usdpen,1,ARHinc,44,245,0,0,0
usdpen,1,KernelARH,44,245,0,0,0
usdpen,1,PA,44,245,0,0,0
usdpen,1,VAR1,44,245,0,0,0
usdpen,5,ARHinc,44,245,0,0,0
usdpen,5,KernelARH,44,245,0.008,0,0.019
usdpen,5,PA,44,245,0,0,0
usdpen,5,VAR1,44,245,0,0,0
usdpen,10,ARHinc,44,245,0,0,0
usdpen,10,KernelARH,44,245,0.004,0,0.012
usdpen,10,PA,44,245,0,0,0
usdpen,10,VAR1,44,245,0,0,0
usdcop,1,ARHinc,154,135,0,0,0
usdcop,1,KernelARH,154,135,0,0,0
usdcop,1,PA,154,135,0,0,0
usdcop,1,VAR1,154,135,0,0,0
usdcop,5,ARHinc,154,135,0.037,0.005,0.069
usdcop,5,KernelARH,154,135,0.03,0.001,0.058
usdcop,5,PA,154,135,0.015,0,0.035
usdcop,5,VAR1,154,135,0,0,0
usdcop,10,ARHinc,154,135,0.052,0.014,0.089
usdcop,10,KernelARH,154,135,0.119,0.064,0.173
usdcop,10,PA,154,135,0.007,0,0.022
usdcop,10,VAR1,154,135,0,0,0
usdclp,1,ARHinc,88,201,0.015,0,0.032
usdclp,1,KernelARH,88,201,0.02,0.001,0.039
usdclp,1,PA,88,201,0.01,0,0.024
usdclp,1,VAR1,88,201,0,0,0
usdclp,5,ARHinc,88,201,0.08,0.042,0.117
usdclp,5,KernelARH,88,201,0.08,0.042,0.117
usdclp,5,PA,88,201,0.055,0.023,0.086
usdclp,5,VAR1,88,201,0,0,0
usdclp,10,ARHinc,88,201,0.154,0.104,0.204
usdclp,10,KernelARH,88,201,0.174,0.122,0.227
usdclp,10,PA,88,201,0.124,0.079,0.17
usdclp,10,VAR1,88,201,0,0,0
usdbrl,1,ARHinc,132,157,0.006,0,0.019
usdbrl,1,KernelARH,132,157,0.013,0,0.03
usdbrl,1,PA,132,157,0,0,0
usdbrl,1,VAR1,132,157,0,0,0
usdbrl,5,ARHinc,132,157,0.051,0.017,0.085
usdbrl,5,KernelARH,132,157,0.108,0.06,0.157
usdbrl,5,PA,132,157,0.006,0,0.019
usdbrl,5,VAR1,132,157,0.006,0,0.019
usdbrl,10,ARHinc,132,157,0.083,0.04,0.126
usdbrl,10,KernelARH,132,157,0.274,0.204,0.344
usdbrl,10,PA,132,157,0.038,0.008,0.068
usdbrl,10,VAR1,132,157,0.013,0,0.03
usdars,1,ARHinc,110,179,0,0,0
usdars,1,KernelARH,110,179,0,0,0
usdars,1,PA,110,179,0,0,0
usdars,1,VAR1,110,179,0,0,0
usdars,5,ARHinc,110,179,0,0,0
usdars,5,KernelARH,110,179,0,0,0
usdars,5,PA,110,179,0,0,0
usdars,5,VAR1,110,179,0,0,0
usdars,10,ARHinc,110,179,0,0,0
usdars,10,KernelARH,110,179,0.006,0,0.017
usdars,10,PA,110,179,0,0,0
usdars,10,VAR1,110,179,0,0,0
usdmxn,1,ARHinc,88,201,0,0,0
usdmxn,1,KernelARH,88,201,0,0,0
usdmxn,1,PA,88,201,0,0,0
usdmxn,1,VAR1,88,201,0,0,0
usdmxn,5,ARHinc,88,201,0,0,0
usdmxn,5,KernelARH,88,201,0.055,0.023,0.086
usdmxn,5,PA,88,201,0,0,0
usdmxn,5,VAR1,88,201,0,0,0
usdmxn,10,ARHinc,88,201,0,0,0
usdmxn,10,KernelARH,88,201,0.065,0.031,0.099
usdmxn,10,PA,88,201,0,0,0
usdmxn,10,VAR1,88,201,0,0,0
eurusd,1,ARHinc,110,179,0.017,0,0.036
eurusd,1,KernelARH,110,179,0.017,0,0.036
eurusd,1,PA,110,179,0,0,0
eurusd,1,VAR1,110,179,0,0,0
eurusd,5,ARHinc,110,179,0.05,0.018,0.082
eurusd,5,KernelARH,110,179,0.117,0.07,0.164
eurusd,5,PA,110,179,0,0,0
eurusd,5,VAR1,110,179,0,0,0
eurusd,10,ARHinc,110,179,0.05,0.018,0.082
eurusd,10,KernelARH,110,179,0.173,0.118,0.229
eurusd,10,PA,110,179,0,0,0
eurusd,10,VAR1,110,179,0,0,0
usdzar,1,ARHinc,66,223,0.018,0.001,0.035
usdzar,1,KernelARH,66,223,0.018,0.001,0.035
usdzar,1,PA,66,223,0,0,0
usdzar,1,VAR1,66,223,0,0,0
usdzar,5,ARHinc,66,223,0.004,0,0.013
usdzar,5,KernelARH,66,223,0.031,0.009,0.054
usdzar,5,PA,66,223,0.004,0,0.013
usdzar,5,VAR1,66,223,0.009,0,0.021
usdzar,10,ARHinc,66,223,0.045,0.018,0.072
usdzar,10,KernelARH,66,223,0.067,0.034,0.1
usdzar,10,PA,66,223,0.04,0.015,0.066
usdzar,10,VAR1,66,223,0.027,0.006,0.048
