Par,basis_id,K_DELTA,K_TENOR,status
USDPEN,base_4x8,4,8,OK
USDPEN,coarse_4x6,4,6,OK
USDPEN,rich_5x10,5,10,OK
USDCOP,base_4x8,4,8,OK
USDCOP,coarse_4x6,4,6,OK
USDCOP,rich_5x10,5,10,OK
USDCLP,base_4x8,4,8,OK
USDCLP,coarse_4x6,4,6,OK
USDCLP,rich_5x10,5,10,OK
USDBRL,base_4x8,4,8,OK
USDBRL,coarse_4x6,4,6,OK
USDBRL,rich_5x10,5,10,OK
USDARS,base_4x8,4,8,OK
USDARS,coarse_4x6,4,6,OK
USDARS,rich_5x10,5,10,OK
USDMXN,base_4x8,4,8,OK
USDMXN,coarse_4x6,4,6,OK
USDMXN,rich_5x10,5,10,OK
EURUSD,base_4x8,4,8,OK
EURUSD,coarse_4x6,4,6,OK
EURUSD,rich_5x10,5,10,OK
USDZAR,base_4x8,4,8,OK
USDZAR,coarse_4x6,4,6,OK
USDZAR,rich_5x10,5,10,OK
