Par,basis_id,K_DELTA,K_TENOR,TRAIN_SIZE,h,Modelo,K0,N,Loss,Valor
USDPEN,base_4x8,4,8,44,1,PM,4,245,MAE_med,0.072
USDPEN,base_4x8,4,8,44,1,PM,4,245,RMSE_med,0.12
USDPEN,base_4x8,4,8,44,1,PM,4,245,WRMSE_long_med,0.0734
USDPEN,base_4x8,4,8,44,1,PM,4,245,WRMSE_short_med,0.1739
USDPEN,base_4x8,4,8,44,5,PM,4,245,MAE_med,0.2096
USDPEN,base_4x8,4,8,44,5,PM,4,245,RMSE_med,0.3227
USDPEN,base_4x8,4,8,44,5,PM,4,245,WRMSE_long_med,0.2203
USDPEN,base_4x8,4,8,44,5,PM,4,245,WRMSE_short_med,0.402
USDPEN,base_4x8,4,8,44,10,PM,4,245,MAE_med,0.2879
USDPEN,base_4x8,4,8,44,10,PM,4,245,RMSE_med,0.4223
USDPEN,base_4x8,4,8,44,10,PM,4,245,WRMSE_long_med,0.3002
USDPEN,base_4x8,4,8,44,10,PM,4,245,WRMSE_short_med,0.5857
USDCOP,base_4x8,4,8,154,1,PM,7,135,MAE_med,0.1027
USDCOP,base_4x8,4,8,154,1,PM,7,135,RMSE_med,0.1504
USDCOP,base_4x8,4,8,154,1,PM,7,135,WRMSE_long_med,0.0973
USDCOP,base_4x8,4,8,154,1,PM,7,135,WRMSE_short_med,0.2198
USDCOP,base_4x8,4,8,154,5,PM,8,135,MAE_med,0.3148
USDCOP,base_4x8,4,8,154,5,PM,8,135,RMSE_med,0.4321
USDCOP,base_4x8,4,8,154,5,PM,8,135,WRMSE_long_med,0.2648
USDCOP,base_4x8,4,8,154,5,PM,8,135,WRMSE_short_med,0.6575
USDCOP,base_4x8,4,8,154,10,PM,8,135,MAE_med,0.4758
USDCOP,base_4x8,4,8,154,10,PM,8,135,RMSE_med,0.6441
USDCOP,base_4x8,4,8,154,10,PM,8,135,WRMSE_long_med,0.4102
USDCOP,base_4x8,4,8,154,10,PA,8,135,WRMSE_short_med,0.9297
USDCLP,base_4x8,4,8,88,1,PM,7,201,MAE_med,0.1053
USDCLP,base_4x8,4,8,88,1,PM,7,201,RMSE_med,0.1614
USDCLP,base_4x8,4,8,88,1,PM,7,201,WRMSE_long_med,0.0985
USDCLP,base_4x8,4,8,88,1,PM,7,201,WRMSE_short_med,0.2427
USDCLP,base_4x8,4,8,88,5,PM,6,201,MAE_med,0.2737
USDCLP,base_4x8,4,8,88,5,PM,6,201,RMSE_med,0.4087
USDCLP,base_4x8,4,8,88,5,PM,6,201,WRMSE_long_med,0.2357
USDCLP,base_4x8,4,8,88,5,PM,6,201,WRMSE_short_med,0.6288
USDCLP,base_4x8,4,8,88,10,PM,7,201,MAE_med,0.4314
USDCLP,base_4x8,4,8,88,10,PM,7,201,RMSE_med,0.6239
USDCLP,base_4x8,4,8,88,10,PM,7,201,WRMSE_long_med,0.3833
USDCLP,base_4x8,4,8,88,10,PM,7,201,WRMSE_short_med,0.9116
USDBRL,base_4x8,4,8,132,1,PM,7,157,MAE_med,0.1342
USDBRL,base_4x8,4,8,132,1,PM,7,157,RMSE_med,0.1972
USDBRL,base_4x8,4,8,132,1,PM,7,157,WRMSE_long_med,0.1145
USDBRL,base_4x8,4,8,132,1,PM,7,157,WRMSE_short_med,0.3087
USDBRL,base_4x8,4,8,132,5,PM,6,157,MAE_med,0.3894
USDBRL,base_4x8,4,8,132,5,PM,6,157,RMSE_med,0.5848
USDBRL,base_4x8,4,8,132,5,PM,6,157,WRMSE_long_med,0.3064
USDBRL,base_4x8,4,8,132,5,PM,6,157,WRMSE_short_med,0.8944
USDBRL,base_4x8,4,8,132,10,PM,5,157,MAE_med,0.6172
USDBRL,base_4x8,4,8,132,10,PM,5,157,RMSE_med,0.7676
USDBRL,base_4x8,4,8,132,10,PM,5,157,WRMSE_long_med,0.4879
USDBRL,base_4x8,4,8,132,10,PM,5,157,WRMSE_short_med,1.1121
USDARS,base_4x8,4,8,110,1,PM,8,179,MAE_med,0.1239
USDARS,base_4x8,4,8,110,1,PM,8,179,RMSE_med,0.1729
USDARS,base_4x8,4,8,110,1,PM,8,179,WRMSE_long_med,0.1175
USDARS,base_4x8,4,8,110,1,PM,8,179,WRMSE_short_med,0.226
USDARS,base_4x8,4,8,110,5,PM,7,179,MAE_med,0.355
USDARS,base_4x8,4,8,110,5,PM,7,179,RMSE_med,0.4415
USDARS,base_4x8,4,8,110,5,PM,7,179,WRMSE_long_med,0.3619
USDARS,base_4x8,4,8,110,5,PM,7,179,WRMSE_short_med,0.5622
USDARS,base_4x8,4,8,110,10,PM,5,179,MAE_med,0.4993
USDARS,base_4x8,4,8,110,10,PM,5,179,RMSE_med,0.6258
USDARS,base_4x8,4,8,110,10,PM,5,179,WRMSE_long_med,0.5304
USDARS,base_4x8,4,8,110,10,PM,5,179,WRMSE_short_med,0.6828
USDMXN,base_4x8,4,8,88,1,PM,7,201,MAE_med,0.0926
USDMXN,base_4x8,4,8,88,1,PM,7,201,RMSE_med,0.147
USDMXN,base_4x8,4,8,88,1,PM,7,201,WRMSE_long_med,0.0791
USDMXN,base_4x8,4,8,88,1,PM,7,201,WRMSE_short_med,0.2353
USDMXN,base_4x8,4,8,88,5,PM,6,201,MAE_med,0.2099
