Par,basis_id,K_DELTA,K_TENOR,TRAIN_SIZE,Loss,casos,casos_PM,prop_PM
USDPEN,base_4x8,4,8,44,MAE_med,3,3,1
USDPEN,base_4x8,4,8,44,RMSE_med,3,3,1
USDPEN,base_4x8,4,8,44,WRMSE_long_med,3,3,1
USDPEN,base_4x8,4,8,44,WRMSE_short_med,3,3,1
USDPEN,coarse_4x6,4,6,44,MAE_med,3,3,1
USDPEN,coarse_4x6,4,6,44,RMSE_med,3,3,1
USDPEN,coarse_4x6,4,6,44,WRMSE_long_med,3,3,1
USDPEN,coarse_4x6,4,6,44,WRMSE_short_med,3,3,1
USDPEN,rich_5x10,5,10,44,MAE_med,3,3,1
USDPEN,rich_5x10,5,10,44,RMSE_med,3,3,1
USDPEN,rich_5x10,5,10,44,WRMSE_long_med,3,3,1
USDPEN,rich_5x10,5,10,44,WRMSE_short_med,3,3,1
USDCOP,base_4x8,4,8,154,MAE_med,3,3,1
USDCOP,base_4x8,4,8,154,RMSE_med,3,3,1
USDCOP,base_4x8,4,8,154,WRMSE_long_med,3,3,1
USDCOP,base_4x8,4,8,154,WRMSE_short_med,3,2,0.667
USDCOP,coarse_4x6,4,6,154,MAE_med,3,3,1
USDCOP,coarse_4x6,4,6,154,RMSE_med,3,3,1
USDCOP,coarse_4x6,4,6,154,WRMSE_long_med,3,3,1
USDCOP,coarse_4x6,4,6,154,WRMSE_short_med,3,2,0.667
USDCOP,rich_5x10,5,10,154,MAE_med,3,3,1
USDCOP,rich_5x10,5,10,154,RMSE_med,3,2,0.667
USDCOP,rich_5x10,5,10,154,WRMSE_long_med,3,3,1
USDCOP,rich_5x10,5,10,154,WRMSE_short_med,3,1,0.333
USDCLP,base_4x8,4,8,88,MAE_med,3,3,1
USDCLP,base_4x8,4,8,88,RMSE_med,3,3,1
USDCLP,base_4x8,4,8,88,WRMSE_long_med,3,3,1
USDCLP,base_4x8,4,8,88,WRMSE_short_med,3,3,1
USDCLP,coarse_4x6,4,6,88,MAE_med,3,3,1
USDCLP,coarse_4x6,4,6,88,RMSE_med,3,3,1
USDCLP,coarse_4x6,4,6,88,WRMSE_long_med,3,3,1
USDCLP,coarse_4x6,4,6,88,WRMSE_short_med,3,3,1
USDCLP,rich_5x10,5,10,88,MAE_med,3,3,1
USDCLP,rich_5x10,5,10,88,RMSE_med,3,3,1
USDCLP,rich_5x10,5,10,88,WRMSE_long_med,3,3,1
USDCLP,rich_5x10,5,10,88,WRMSE_short_med,3,2,0.667
USDBRL,base_4x8,4,8,132,MAE_med,3,3,1
USDBRL,base_4x8,4,8,132,RMSE_med,3,3,1
USDBRL,base_4x8,4,8,132,WRMSE_long_med,3,3,1
USDBRL,base_4x8,4,8,132,WRMSE_short_med,3,3,1
USDBRL,coarse_4x6,4,6,132,MAE_med,3,3,1
USDBRL,coarse_4x6,4,6,132,RMSE_med,3,3,1
USDBRL,coarse_4x6,4,6,132,WRMSE_long_med,3,3,1
USDBRL,coarse_4x6,4,6,132,WRMSE_short_med,3,3,1
