Par,basis_id,K_DELTA,K_TENOR,TRAIN_SIZE,h,Modelo,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDPEN,base_4x8,4,8,44,1,ARHinc,4,245,0.9679,0.772,0.9746,1.0017
USDPEN,base_4x8,4,8,44,1,KernelARH,4,245,0.9727,0.7763,0.9972,1.009
USDPEN,base_4x8,4,8,44,1,PA,4,245,0.967,0.7657,0.9763,1.0004
USDPEN,base_4x8,4,8,44,1,PM,4,245,0.12,0.072,0.1739,0.0734
USDPEN,base_4x8,4,8,44,1,VAR1,4,245,7.554,5.9344,9.1117,5.7446
USDPEN,base_4x8,4,8,44,5,ARHinc,4,245,0.9998,0.7939,1.0514,1.0174
USDPEN,base_4x8,4,8,44,5,KernelARH,4,245,1.0076,0.8076,1.0651,1.0299
USDPEN,base_4x8,4,8,44,5,PA,4,245,1.0014,0.7914,1.0496,1.0179
USDPEN,base_4x8,4,8,44,5,PM,4,245,0.3227,0.2096,0.402,0.2203
USDPEN,base_4x8,4,8,44,5,VAR1,4,245,10.856,8.489,13.9566,9.0388
USDPEN,base_4x8,4,8,44,10,ARHinc,4,245,1.043,0.8176,1.1306,1.045
USDPEN,base_4x8,4,8,44,10,KernelARH,4,245,1.0566,0.839,1.1562,1.0579
USDPEN,base_4x8,4,8,44,10,PA,4,245,1.0394,0.8196,1.1346,1.0454
USDPEN,base_4x8,4,8,44,10,PM,4,245,0.4223,0.2879,0.5857,0.3002
USDPEN,base_4x8,4,8,44,10,VAR1,4,245,8.9306,6.7529,11.3323,7.1362
USDCOP,base_4x8,4,8,154,1,ARHinc,7,135,0.5389,0.4243,0.4947,0.5946
USDCOP,base_4x8,4,8,154,1,KernelARH,7,135,0.5494,0.4438,0.5267,0.6014
USDCOP,base_4x8,4,8,154,1,PA,7,135,0.5356,0.4256,0.4989,0.5944
USDCOP,base_4x8,4,8,154,1,PM,7,135,0.1504,0.1027,0.2198,0.0973
USDCOP,base_4x8,4,8,154,1,VAR1,7,135,39.3748,29.4977,54.296,22.8371
USDCOP,base_4x8,4,8,154,5,ARHinc,8,135,0.6703,0.5483,0.7299,0.6383
USDCOP,base_4x8,4,8,154,5,KernelARH,8,135,0.6994,0.5685,0.7353,0.6713
USDCOP,base_4x8,4,8,154,5,PA,8,135,0.6613,0.545,0.7327,0.6347
USDCOP,base_4x8,4,8,154,5,PM,8,135,0.4321,0.3148,0.6575,0.2648
USDCOP,base_4x8,4,8,154,5,VAR1,8,135,96.8628,71.467,136.3063,60.359
USDCOP,base_4x8,4,8,154,10,ARHinc,8,135,0.807,0.6733,0.9391,0.7447
USDCOP,base_4x8,4,8,154,10,KernelARH,8,135,0.868,0.7189,1.0097,0.7996
USDCOP,base_4x8,4,8,154,10,PA,8,135,0.8163,0.6701,0.9297,0.7431
USDCOP,base_4x8,4,8,154,10,PM,8,135,0.6441,0.4758,0.9356,0.4102
USDCOP,base_4x8,4,8,154,10,VAR1,8,135,63.3414,48.038,84.7071,43.5475
USDCLP,base_4x8,4,8,88,1,ARHinc,7,201,0.6313,0.5116,0.6148,0.6704
USDCLP,base_4x8,4,8,88,1,KernelARH,7,201,0.6438,0.5209,0.6387,0.6736
USDCLP,base_4x8,4,8,88,1,PA,7,201,0.6272,0.5081,0.5875,0.67
USDCLP,base_4x8,4,8,88,1,PM,7,201,0.1614,0.1053,0.2427,0.0985
USDCLP,base_4x8,4,8,88,1,VAR1,7,201,122.8315,95.8412,171.4309,90.0888
USDCLP,base_4x8,4,8,88,5,ARHinc,6,201,0.7245,0.5822,0.801,0.696
USDCLP,base_4x8,4,8,88,5,KernelARH,6,201,0.7339,0.5895,0.8617,0.6961
USDCLP,base_4x8,4,8,88,5,PA,6,201,0.7015,0.5718,0.797,0.6955
USDCLP,base_4x8,4,8,88,5,PM,6,201,0.4087,0.2737,0.6288,0.2357
USDCLP,base_4x8,4,8,88,5,VAR1,6,201,153.149,124.1945,200.5215,120.4401
USDCLP,base_4x8,4,8,88,10,ARHinc,7,201,0.8362,0.6706,0.9845,0.7395
USDCLP,base_4x8,4,8,88,10,KernelARH,7,201,0.8122,0.6684,0.9761,0.7304
USDCLP,base_4x8,4,8,88,10,PA,7,201,0.842,0.684,1.0014,0.7424
USDCLP,base_4x8,4,8,88,10,PM,7,201,0.6239,0.4314,0.9116,0.3833
USDCLP,base_4x8,4,8,88,10,VAR1,7,201,198.9688,154.8517,257.0047,148.6901
USDBRL,base_4x8,4,8,132,1,ARHinc,7,157,0.6817,0.5558,0.7106,0.69
USDBRL,base_4x8,4,8,132,1,KernelARH,7,157,0.6807,0.5543,0.7146,0.6923
USDBRL,base_4x8,4,8,132,1,PA,7,157,0.6654,0.544,0.6877,0.6893
USDBRL,base_4x8,4,8,132,1,PM,7,157,0.1972,0.1342,0.3087,0.1145
USDBRL,base_4x8,4,8,132,1,VAR1,7,157,46.3052,37.8393,60.3426,42.94
USDBRL,base_4x8,4,8,132,5,ARHinc,6,157,0.8287,0.6753,1.0084,0.7393
USDBRL,base_4x8,4,8,132,5,KernelARH,6,157,0.8995,0.7197,1.1708,0.7695
USDBRL,base_4x8,4,8,132,5,PA,6,157,0.8451,0.6692,1.0678,0.7402
USDBRL,base_4x8,4,8,132,5,PM,6,157,0.5848,0.3894,0.8944,0.3064
USDBRL,base_4x8,4,8,132,5,VAR1,6,157,99.5407,75.9667,146.0405,64.3067
USDBRL,base_4x8,4,8,132,10,ARHinc,5,157,1.0143,0.82,1.2992,0.8329
USDBRL,base_4x8,4,8,132,10,KernelARH,5,157,0.9991,0.8052,1.2984,0.8503
USDBRL,base_4x8,4,8,132,10,PA,5,157,0.9835,0.8101,1.2784,0.8155
USDBRL,base_4x8,4,8,132,10,PM,5,157,0.7676,0.6172,1.1121,0.4879
USDBRL,base_4x8,4,8,132,10,VAR1,5,157,113.7875,84.7042,167.6009,64.6649
USDARS,base_4x8,4,8,110,1,ARHinc,8,179,1.2837,0.9837,0.9629,1.4935
USDARS,base_4x8,4,8,110,1,KernelARH,8,179,1.2875,0.9881,0.9645,1.4976
USDARS,base_4x8,4,8,110,1,PA,8,179,1.2766,0.9821,0.9573,1.4895
USDARS,base_4x8,4,8,110,1,PM,8,179,0.1729,0.1239,0.226,0.1175
USDARS,base_4x8,4,8,110,1,VAR1,8,179,172.6874,131.0367,255.2718,99.8225
USDARS,base_4x8,4,8,110,5,ARHinc,7,179,1.366,1.0658,1.0647,1.5305
USDARS,base_4x8,4,8,110,5,KernelARH,7,179,1.3722,1.0808,1.0539,1.5487
USDARS,base_4x8,4,8,110,5,PA,7,179,1.3542,1.0666,1.0552,1.5289
USDARS,base_4x8,4,8,110,5,PM,7,179,0.4415,0.355,0.5622,0.3619
USDARS,base_4x8,4,8,110,5,VAR1,7,179,255.3009,199.7703,368.1572,154.3451
USDARS,base_4x8,4,8,110,10,ARHinc,5,179,1.4341,1.134,1.1645,1.5902
USDARS,base_4x8,4,8,110,10,KernelARH,5,179,1.4554,1.16,1.1697,1.6226
USDARS,base_4x8,4,8,110,10,PA,5,179,1.4207,1.1313,1.1517,1.5926
USDARS,base_4x8,4,8,110,10,PM,5,179,0.6258,0.4993,0.6828,0.5304
USDARS,base_4x8,4,8,110,10,VAR1,5,179,25.4308,20.2108,23.5757,21.2344
USDMXN,base_4x8,4,8,88,1,ARHinc,7,201,0.6084,0.4925,0.5903,0.638
USDMXN,base_4x8,4,8,88,1,KernelARH,7,201,0.6138,0.4967,0.5998,0.6453
USDMXN,base_4x8,4,8,88,1,PA,7,201,0.6072,0.4897,0.5799,0.6369
USDMXN,base_4x8,4,8,88,1,PM,7,201,0.147,0.0926,0.2353,0.0791
USDMXN,base_4x8,4,8,88,1,VAR1,7,201,21.8129,15.8426,27.6913,15.1946
USDMXN,base_4x8,4,8,88,5,ARHinc,6,201,0.6709,0.545,0.7295,0.6602
USDMXN,base_4x8,4,8,88,5,KernelARH,6,201,0.6842,0.552,0.7584,0.6751
USDMXN,base_4x8,4,8,88,5,PA,6,201,0.6646,0.5375,0.7283,0.6578
USDMXN,base_4x8,4,8,88,5,PM,6,201,0.3419,0.2099,0.5509,0.1789
USDMXN,base_4x8,4,8,88,5,VAR1,6,201,27.285,19.8545,35.8364,19.5548
USDMXN,base_4x8,4,8,88,10,ARHinc,6,201,0.7002,0.5637,0.7801,0.6799
USDMXN,base_4x8,4,8,88,10,KernelARH,6,201,0.7676,0.6093,0.9202,0.7082
USDMXN,base_4x8,4,8,88,10,PA,6,201,0.6899,0.5561,0.7558,0.67490000000000006
USDMXN,base_4x8,4,8,88,10,PM,6,201,0.4251,0.2593,0.6094,0.2324
USDMXN,base_4x8,4,8,88,10,VAR1,6,201,23.8348,17.6946,35.5166,15.4666
EURUSD,base_4x8,4,8,110,1,ARHinc,8,179,0.4304,0.3504,0.4229,0.4442
EURUSD,base_4x8,4,8,110,1,KernelARH,8,179,0.4426,0.3595,0.4555,0.4457
EURUSD,base_4x8,4,8,110,1,PA,8,179,0.4205,0.3428,0.4066,0.4424
EURUSD,base_4x8,4,8,110,1,PM,8,179,0.1588,0.1122,0.2416,0.0977
EURUSD,base_4x8,4,8,110,1,VAR1,8,179,64.9212,45.7371,94.1275,40.815
EURUSD,base_4x8,4,8,110,5,ARHinc,8,179,0.547,0.4425,0.6128,0.4897
EURUSD,base_4x8,4,8,110,5,KernelARH,8,179,0.596,0.4886,0.7209,0.5454
EURUSD,base_4x8,4,8,110,5,PA,8,179,0.5367,0.4317,0.6173,0.4917
EURUSD,base_4x8,4,8,110,5,PM,8,179,0.3741,0.2646,0.5603,0.2259
EURUSD,base_4x8,4,8,110,5,VAR1,8,179,68.9032,44.7854,89.4381,44.0792
EURUSD,base_4x8,4,8,110,10,ARHinc,6,179,0.6033,0.4882,0.7275,0.5338
EURUSD,base_4x8,4,8,110,10,KernelARH,6,179,0.7082,0.5863,0.8701,0.6145
EURUSD,base_4x8,4,8,110,10,PA,6,179,0.5982,0.4867,0.7146,0.5421
EURUSD,base_4x8,4,8,110,10,PM,6,179,0.4908,0.34,0.671,0.3028
EURUSD,base_4x8,4,8,110,10,VAR1,6,179,32.3921,23.3962,48.2429,20.1896
USDZAR,base_4x8,4,8,66,1,ARHinc,5,223,0.6088,0.4959,0.6011,0.6312
USDZAR,base_4x8,4,8,66,1,KernelARH,5,223,0.6193,0.5023,0.6146,0.6385
USDZAR,base_4x8,4,8,66,1,PA,5,223,0.6052,0.4943,0.6,0.6302
USDZAR,base_4x8,4,8,66,1,PM,5,223,0.175,0.1177,0.2738,0.1016
USDZAR,base_4x8,4,8,66,1,VAR1,5,223,14.2564,11.0475,18.2039,10.3502
USDZAR,base_4x8,4,8,66,5,ARHinc,4,223,0.7071,0.57,0.7903,0.6761
USDZAR,base_4x8,4,8,66,5,KernelARH,4,223,0.7253,0.5893,0.833,0.691
USDZAR,base_4x8,4,8,66,5,PA,4,223,0.7153,0.5793,0.7932,0.6767
USDZAR,base_4x8,4,8,66,5,PM,4,223,0.4172,0.2977,0.6215,0.2494
USDZAR,base_4x8,4,8,66,5,VAR1,4,223,20.6145,15.1438,26.2713,13.0525
USDZAR,base_4x8,4,8,66,10,ARHinc,3,223,0.7759,0.6293,0.9436,0.7234
USDZAR,base_4x8,4,8,66,10,KernelARH,3,223,0.8464,0.6719,0.9924,0.7838
USDZAR,base_4x8,4,8,66,10,PA,3,223,0.7836,0.6333,0.9439,0.7173
USDZAR,base_4x8,4,8,66,10,PM,3,223,0.5551,0.4163,0.8012,0.3581
USDZAR,base_4x8,4,8,66,10,VAR1,3,223,9.2332,8.4546,10.7826,6.9795
