h,Modelo,K0,N,RMSE_med,Par,basis_id,K_DELTA,K_TENOR
1,VAR1,2,245,1.0618105670267572,USDPEN,base_4x8,4,8
1,ARHinc,2,245,1.0109866997217125,USDPEN,base_4x8,4,8
1,KernelARH,2,245,1.011542755419608,USDPEN,base_4x8,4,8
1,VAR1,3,245,3.7022319079603605,USDPEN,base_4x8,4,8
1,ARHinc,3,245,0.9780971467384512,USDPEN,base_4x8,4,8
1,KernelARH,3,245,0.9817941024605032,USDPEN,base_4x8,4,8
1,VAR1,4,245,7.554029950845862,USDPEN,base_4x8,4,8
1,ARHinc,4,245,0.9679464020496513,USDPEN,base_4x8,4,8
1,KernelARH,4,245,0.9726874101092454,USDPEN,base_4x8,4,8
1,VAR1,5,245,13.651348962322622,USDPEN,base_4x8,4,8
1,ARHinc,5,245,0.9641446619811342,USDPEN,base_4x8,4,8
1,KernelARH,5,245,0.9795490878314199,USDPEN,base_4x8,4,8
1,VAR1,6,245,20.34113533335369,USDPEN,base_4x8,4,8
1,ARHinc,6,245,0.9650788949159618,USDPEN,base_4x8,4,8
1,KernelARH,6,245,0.9824586761601981,USDPEN,base_4x8,4,8
1,VAR1,7,245,31.46015812090001,USDPEN,base_4x8,4,8
1,ARHinc,7,245,0.9666273717190527,USDPEN,base_4x8,4,8
1,KernelARH,7,245,0.9851616824166798,USDPEN,base_4x8,4,8
1,VAR1,8,245,51.55378914819262,USDPEN,base_4x8,4,8
1,ARHinc,8,245,0.9638367046458187,USDPEN,base_4x8,4,8
1,KernelARH,8,245,0.9874573199878939,USDPEN,base_4x8,4,8
1,VAR1,9,245,73.30368293546888,USDPEN,base_4x8,4,8
1,ARHinc,9,245,0.9644155867278268,USDPEN,base_4x8,4,8
1,KernelARH,9,0,NA,USDPEN,base_4x8,4,8
1,VAR1,10,245,91.08654387384438,USDPEN,base_4x8,4,8
1,ARHinc,10,245,0.9665368620506154,USDPEN,base_4x8,4,8
1,KernelARH,10,0,NA,USDPEN,base_4x8,4,8
1,VAR1,11,245,109.40860476292005,USDPEN,base_4x8,4,8
1,ARHinc,11,245,0.9700243323299024,USDPEN,base_4x8,4,8
1,KernelARH,11,0,NA,USDPEN,base_4x8,4,8
1,VAR1,12,245,111.90460807425323,USDPEN,base_4x8,4,8
1,ARHinc,12,245,0.970913906262482,USDPEN,base_4x8,4,8
1,KernelARH,12,0,NA,USDPEN,base_4x8,4,8
1,VAR1,13,245,120.40127274082734,USDPEN,base_4x8,4,8
1,ARHinc,13,245,0.9719082410858473,USDPEN,base_4x8,4,8
1,KernelARH,13,0,NA,USDPEN,base_4x8,4,8
1,VAR1,14,245,119.06123121876578,USDPEN,base_4x8,4,8
1,ARHinc,14,245,0.9723718928208726,USDPEN,base_4x8,4,8
1,KernelARH,14,0,NA,USDPEN,base_4x8,4,8
1,VAR1,15,245,121.05574053233451,USDPEN,base_4x8,4,8
1,ARHinc,15,245,0.9712269457242856,USDPEN,base_4x8,4,8
1,KernelARH,15,0,NA,USDPEN,base_4x8,4,8
5,VAR1,2,245,1.084283102672171,USDPEN,base_4x8,4,8
5,ARHinc,2,245,1.0514010318381577,USDPEN,base_4x8,4,8
5,KernelARH,2,245,1.0335213174059517,USDPEN,base_4x8,4,8
5,VAR1,3,245,6.47044278073843,USDPEN,base_4x8,4,8
5,ARHinc,3,245,1.0058498473477577,USDPEN,base_4x8,4,8
5,KernelARH,3,245,1.016367745440605,USDPEN,base_4x8,4,8
5,VAR1,4,245,10.8559702686432,USDPEN,base_4x8,4,8
5,ARHinc,4,245,0.9998144396602135,USDPEN,base_4x8,4,8
5,KernelARH,4,245,1.007586207975882,USDPEN,base_4x8,4,8
5,VAR1,5,245,18.5127198356051,USDPEN,base_4x8,4,8
5,ARHinc,5,245,0.9948824300450612,USDPEN,base_4x8,4,8
5,KernelARH,5,245,1.0210953094718755,USDPEN,base_4x8,4,8
5,VAR1,6,245,29.547391922711522,USDPEN,base_4x8,4,8
5,ARHinc,6,245,0.9981799322075015,USDPEN,base_4x8,4,8
5,KernelARH,6,245,1.024906962523126,USDPEN,base_4x8,4,8
5,VAR1,7,245,36.810482468856804,USDPEN,base_4x8,4,8
5,ARHinc,7,245,0.9969481370895585,USDPEN,base_4x8,4,8
5,KernelARH,7,245,1.0328009500076252,USDPEN,base_4x8,4,8
5,VAR1,8,245,41.21892510486642,USDPEN,base_4x8,4,8
5,ARHinc,8,245,1.001078992185316,USDPEN,base_4x8,4,8
5,KernelARH,8,245,1.051145132164183,USDPEN,base_4x8,4,8
5,VAR1,9,245,47.183570567171934,USDPEN,base_4x8,4,8
5,ARHinc,9,245,0.9987415545662583,USDPEN,base_4x8,4,8
5,KernelARH,9,0,NA,USDPEN,base_4x8,4,8
5,VAR1,10,245,58.22048525843726,USDPEN,base_4x8,4,8
5,ARHinc,10,245,0.999051604640761,USDPEN,base_4x8,4,8
5,KernelARH,10,0,NA,USDPEN,base_4x8,4,8
5,VAR1,11,245,59.685273452651444,USDPEN,base_4x8,4,8
5,ARHinc,11,245,1.003166278879011,USDPEN,base_4x8,4,8
5,KernelARH,11,0,NA,USDPEN,base_4x8,4,8
5,VAR1,12,245,58.831079714165924,USDPEN,base_4x8,4,8
5,ARHinc,12,245,1.0050122636911882,USDPEN,base_4x8,4,8
5,KernelARH,12,0,NA,USDPEN,base_4x8,4,8
5,VAR1,13,245,60.53634312125936,USDPEN,base_4x8,4,8
5,ARHinc,13,245,1.0034544270267451,USDPEN,base_4x8,4,8
5,KernelARH,13,0,NA,USDPEN,base_4x8,4,8
5,VAR1,14,245,60.42115633858541,USDPEN,base_4x8,4,8
5,ARHinc,14,245,1.0083329735325641,USDPEN,base_4x8,4,8
5,KernelARH,14,0,NA,USDPEN,base_4x8,4,8
5,VAR1,15,245,60.69689221493949,USDPEN,base_4x8,4,8
5,ARHinc,15,245,1.0176393968477289,USDPEN,base_4x8,4,8
