pair_id,Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
usdpen,USDPEN,1,PM,44,4,245,MAE_med,0.072
usdpen,USDPEN,1,PM,44,4,245,RMSE_med,0.12
usdpen,USDPEN,1,PM,44,4,245,WRMSE_long_med,0.0734
usdpen,USDPEN,1,PM,44,4,245,WRMSE_short_med,0.1739
usdpen,USDPEN,5,PM,44,4,245,MAE_med,0.2096
usdpen,USDPEN,5,PM,44,4,245,RMSE_med,0.3227
usdpen,USDPEN,5,PM,44,4,245,WRMSE_long_med,0.2203
usdpen,USDPEN,5,PM,44,4,245,WRMSE_short_med,0.402
usdpen,USDPEN,10,PM,44,4,245,MAE_med,0.2879
usdpen,USDPEN,10,PM,44,4,245,RMSE_med,0.4223
usdpen,USDPEN,10,PM,44,4,245,WRMSE_long_med,0.3002
usdpen,USDPEN,10,PM,44,4,245,WRMSE_short_med,0.5857
usdcop,USDCOP,1,PM,154,7,135,MAE_med,0.1027
usdcop,USDCOP,1,PM,154,7,135,RMSE_med,0.1504
usdcop,USDCOP,1,PM,154,7,135,WRMSE_long_med,0.0973
usdcop,USDCOP,1,PM,154,7,135,WRMSE_short_med,0.2198
usdcop,USDCOP,5,PM,154,8,135,MAE_med,0.3148
usdcop,USDCOP,5,PM,154,8,135,RMSE_med,0.4321
usdcop,USDCOP,5,PM,154,8,135,WRMSE_long_med,0.2648
usdcop,USDCOP,5,PM,154,8,135,WRMSE_short_med,0.6575
usdcop,USDCOP,10,PM,154,8,135,MAE_med,0.4758
usdcop,USDCOP,10,PM,154,8,135,RMSE_med,0.6441
usdcop,USDCOP,10,PM,154,8,135,WRMSE_long_med,0.4102
usdcop,USDCOP,10,PA,154,8,135,WRMSE_short_med,0.9297
usdclp,USDCLP,1,PM,88,7,201,MAE_med,0.1053
usdclp,USDCLP,1,PM,88,7,201,RMSE_med,0.1614
usdclp,USDCLP,1,PM,88,7,201,WRMSE_long_med,0.0985
usdclp,USDCLP,1,PM,88,7,201,WRMSE_short_med,0.2427
usdclp,USDCLP,5,PM,88,6,201,MAE_med,0.2737
usdclp,USDCLP,5,PM,88,6,201,RMSE_med,0.4087
usdclp,USDCLP,5,PM,88,6,201,WRMSE_long_med,0.2357
usdclp,USDCLP,5,PM,88,6,201,WRMSE_short_med,0.6288
usdclp,USDCLP,10,PM,88,7,201,MAE_med,0.4314
usdclp,USDCLP,10,PM,88,7,201,RMSE_med,0.6239
usdclp,USDCLP,10,PM,88,7,201,WRMSE_long_med,0.3833
usdclp,USDCLP,10,PM,88,7,201,WRMSE_short_med,0.9116
usdbrl,USDBRL,1,PM,132,7,157,MAE_med,0.1342
usdbrl,USDBRL,1,PM,132,7,157,RMSE_med,0.1972
usdbrl,USDBRL,1,PM,132,7,157,WRMSE_long_med,0.1145
usdbrl,USDBRL,1,PM,132,7,157,WRMSE_short_med,0.3087
usdbrl,USDBRL,5,PM,132,6,157,MAE_med,0.3894
usdbrl,USDBRL,5,PM,132,6,157,RMSE_med,0.5848
usdbrl,USDBRL,5,PM,132,6,157,WRMSE_long_med,0.3064
usdbrl,USDBRL,5,PM,132,6,157,WRMSE_short_med,0.8944
usdbrl,USDBRL,10,PM,132,5,157,MAE_med,0.6172
usdbrl,USDBRL,10,PM,132,5,157,RMSE_med,0.7676
usdbrl,USDBRL,10,PM,132,5,157,WRMSE_long_med,0.4879
usdbrl,USDBRL,10,PM,132,5,157,WRMSE_short_med,1.1121
usdars,USDARS,1,PM,110,8,179,MAE_med,0.1239
usdars,USDARS,1,PM,110,8,179,RMSE_med,0.1729
usdars,USDARS,1,PM,110,8,179,WRMSE_long_med,0.1175
usdars,USDARS,1,PM,110,8,179,WRMSE_short_med,0.226
usdars,USDARS,5,PM,110,7,179,MAE_med,0.355
usdars,USDARS,5,PM,110,7,179,RMSE_med,0.4415
usdars,USDARS,5,PM,110,7,179,WRMSE_long_med,0.3619
usdars,USDARS,5,PM,110,7,179,WRMSE_short_med,0.5622
usdars,USDARS,10,PM,110,5,179,MAE_med,0.4993
usdars,USDARS,10,PM,110,5,179,RMSE_med,0.6258
usdars,USDARS,10,PM,110,5,179,WRMSE_long_med,0.5304
usdars,USDARS,10,PM,110,5,179,WRMSE_short_med,0.6828
usdmxn,USDMXN,1,PM,88,7,201,MAE_med,0.0926
usdmxn,USDMXN,1,PM,88,7,201,RMSE_med,0.147
usdmxn,USDMXN,1,PM,88,7,201,WRMSE_long_med,0.0791
usdmxn,USDMXN,1,PM,88,7,201,WRMSE_short_med,0.2353
usdmxn,USDMXN,5,PM,88,6,201,MAE_med,0.2099
usdmxn,USDMXN,5,PM,88,6,201,RMSE_med,0.3419
usdmxn,USDMXN,5,PM,88,6,201,WRMSE_long_med,0.1789
usdmxn,USDMXN,5,PM,88,6,201,WRMSE_short_med,0.5509
usdmxn,USDMXN,10,PM,88,6,201,MAE_med,0.2593
usdmxn,USDMXN,10,PM,88,6,201,RMSE_med,0.4251
usdmxn,USDMXN,10,PM,88,6,201,WRMSE_long_med,0.2324
usdmxn,USDMXN,10,PM,88,6,201,WRMSE_short_med,0.6094
eurusd,EURUSD,1,PM,110,8,179,MAE_med,0.1122
eurusd,EURUSD,1,PM,110,8,179,RMSE_med,0.1588
eurusd,EURUSD,1,PM,110,8,179,WRMSE_long_med,0.0977
eurusd,EURUSD,1,PM,110,8,179,WRMSE_short_med,0.2416
eurusd,EURUSD,5,PM,110,8,179,MAE_med,0.2646
eurusd,EURUSD,5,PM,110,8,179,RMSE_med,0.3741
eurusd,EURUSD,5,PM,110,8,179,WRMSE_long_med,0.2259
eurusd,EURUSD,5,PM,110,8,179,WRMSE_short_med,0.5603
eurusd,EURUSD,10,PM,110,6,179,MAE_med,0.34
eurusd,EURUSD,10,PM,110,6,179,RMSE_med,0.4908
eurusd,EURUSD,10,PM,110,6,179,WRMSE_long_med,0.3028
eurusd,EURUSD,10,PM,110,6,179,WRMSE_short_med,0.671
usdzar,USDZAR,1,PM,66,5,223,MAE_med,0.1177
usdzar,USDZAR,1,PM,66,5,223,RMSE_med,0.175
usdzar,USDZAR,1,PM,66,5,223,WRMSE_long_med,0.1016
usdzar,USDZAR,1,PM,66,5,223,WRMSE_short_med,0.2738
usdzar,USDZAR,5,PM,66,4,223,MAE_med,0.2977
usdzar,USDZAR,5,PM,66,4,223,RMSE_med,0.4172
usdzar,USDZAR,5,PM,66,4,223,WRMSE_long_med,0.2494
usdzar,USDZAR,5,PM,66,4,223,WRMSE_short_med,0.6215
usdzar,USDZAR,10,PM,66,3,223,MAE_med,0.4163
usdzar,USDZAR,10,PM,66,3,223,RMSE_med,0.5551
usdzar,USDZAR,10,PM,66,3,223,WRMSE_long_med,0.3581
usdzar,USDZAR,10,PM,66,3,223,WRMSE_short_med,0.8012
