pair_id,Loss,casos,casos_PM,prop_PM
usdpen,MAE_med,3,3,1
usdpen,RMSE_med,3,3,1
usdpen,WRMSE_long_med,3,3,1
usdpen,WRMSE_short_med,3,3,1
usdcop,MAE_med,3,3,1
usdcop,RMSE_med,3,3,1
usdcop,WRMSE_long_med,3,3,1
usdcop,WRMSE_short_med,3,2,0.667
usdclp,MAE_med,3,3,1
usdclp,RMSE_med,3,3,1
usdclp,WRMSE_long_med,3,3,1
usdclp,WRMSE_short_med,3,3,1
usdbrl,MAE_med,3,3,1
usdbrl,RMSE_med,3,3,1
usdbrl,WRMSE_long_med,3,3,1
usdbrl,WRMSE_short_med,3,3,1
usdars,MAE_med,3,3,1
usdars,RMSE_med,3,3,1
usdars,WRMSE_long_med,3,3,1
usdars,WRMSE_short_med,3,3,1
usdmxn,MAE_med,3,3,1
usdmxn,RMSE_med,3,3,1
usdmxn,WRMSE_long_med,3,3,1
usdmxn,WRMSE_short_med,3,3,1
eurusd,MAE_med,3,3,1
eurusd,RMSE_med,3,3,1
eurusd,WRMSE_long_med,3,3,1
eurusd,WRMSE_short_med,3,3,1
usdzar,MAE_med,3,3,1
usdzar,RMSE_med,3,3,1
usdzar,WRMSE_long_med,3,3,1
usdzar,WRMSE_short_med,3,3,1
