pair_id,Par,window_dias,window_label,n_windows,fecha_min,fecha_max,PC1_mediana,PC1_p05,PC1_p95,PC2_mediana,PC2_p05,PC2_p95,PC1_PC2_mediana,K95_mediana,K95_max,K99_mediana,K99_max,prop_PC1_ge_95,prop_PC1_PC2_ge_95,dist_global3_mediana,dist_global3_p95,dist_global3_max,dist_prev3_mediana,dist_prev3_p95
usdpen,USDPEN,22,1m,278,2025-03-05,2026-03-27,0.9288,0.6693,0.9776,0.0692,0.0215,0.3241,0.9973,2,2,2,4,0.356,1,1.3216,1.417,1.4238,0.1241,0.7768
usdpen,USDPEN,44,2m,256,2025-04-04,2026-03-27,0.9037,0.6919,0.9757,0.0878,0.0216,0.2798,0.995,2,2,2,4,0.18,1,1.2546,1.4173,1.4219,0.0708,0.3567
usdpen,USDPEN,66,3m,234,2025-05-06,2026-03-27,0.8948,0.8109,0.9723,0.0941,0.024,0.1783,0.9918,2,2,2,4,0.179,1,1.2462,1.3999,1.4139,0.0479,0.2506
usdpen,USDPEN,88,4m,212,2025-06-05,2026-03-27,0.909,0.811,0.9651,0.0816,0.0281,0.1758,0.9887,2,2,3,3,0.184,1,0.876,1.3192,1.3587,0.0369,0.1279
usdpen,USDPEN,110,5m,190,2025-07-07,2026-03-27,0.9107,0.7991,0.9575,0.0849,0.0313,0.1833,0.9871,2,2,3,3,0.126,1,0.8195,1.2589,1.2843,0.0229,0.0952
usdpen,USDPEN,132,6m,168,2025-08-06,2026-03-27,0.8966,0.7669,0.9427,0.0846,0.0431,0.2165,0.9842,2,2,3,3,0,1,0.8069,1.1604,1.1752,0.0182,0.0859
usdcop,USDCOP,22,1m,278,2025-03-05,2026-03-27,0.9758,0.9026,0.9961,0.0201,0.0028,0.0921,0.9971,1,2,2,3,0.698,1,0.6685,1.4116,1.4227,0.1048,0.5647
usdcop,USDCOP,44,2m,256,2025-04-04,2026-03-27,0.9635,0.849,0.9887,0.0278,0.0087,0.1408,0.9958,1,2,2,4,0.641,1,0.5488,1.3943,1.4212,0.0486,0.1951
usdcop,USDCOP,66,3m,234,2025-05-06,2026-03-27,0.9473,0.8574,0.9861,0.0455,0.0091,0.1188,0.9934,2,2,2,3,0.453,1,0.4529,0.675,0.9942,0.0219,0.1105
usdcop,USDCOP,88,4m,212,2025-06-05,2026-03-27,0.9308,0.8106,0.9789,0.0588,0.0133,0.16,0.992,2,2,2,3,0.217,1,0.3699,0.6913,0.7102,0.018,0.0972
usdcop,USDCOP,110,5m,190,2025-07-07,2026-03-27,0.9189,0.7929,0.9653,0.0654,0.0264,0.1743,0.99,2,2,2,3,0.179,1,0.3748,0.6847,0.7091,0.0122,0.0517
usdcop,USDCOP,132,6m,168,2025-08-06,2026-03-27,0.9151,0.8583,0.9472,0.0711,0.0436,0.1275,0.9879,2,2,3,3,0,1,0.35,0.6926,0.7075,0.0098,0.0391
usdclp,USDCLP,22,1m,278,2025-03-05,2026-03-27,0.9958,0.9771,0.9994,0.0032,5e-4,0.0205,0.9993,1,2,1,3,0.993,1,1.0275,1.442,1.5318,0.118,0.8029
usdclp,USDCLP,44,2m,256,2025-04-04,2026-03-27,0.996,0.9906,0.9986,0.0031,0.0011,0.0074,0.9992,1,1,1,2,1,1,0.8395,1.3822,1.4449,0.0556,0.3393
usdclp,USDCLP,66,3m,234,2025-05-06,2026-03-27,0.9955,0.991,0.9984,0.0037,0.0011,0.0076,0.9989,1,1,1,2,1,1,0.7724,1.1215,1.2809,0.0298,0.1819
usdclp,USDCLP,88,4m,212,2025-06-05,2026-03-27,0.9949,0.9907,0.9986,0.0035,0.001,0.0078,0.9988,1,1,1,2,1,1,0.5848,1.1671,1.3541,0.0224,0.1291
usdclp,USDCLP,110,5m,190,2025-07-07,2026-03-27,0.9943,0.9909,0.9986,0.0037,0.001,0.0073,0.9986,1,1,1,1,1,1,0.43,1.1009,1.3458,0.0169,0.1607
usdclp,USDCLP,132,6m,168,2025-08-06,2026-03-27,0.9937,0.9906,0.9981,0.0041,0.0014,0.0075,0.9982,1,1,1,1,1,1,0.3014,0.8669,0.881,0.012,0.0635
usdbrl,USDBRL,22,1m,278,2025-03-05,2026-03-27,0.9832,0.9422,0.9952,0.0135,0.0034,0.0476,0.9977,1,2,2,3,0.942,1,0.7739,1.3398,1.4235,0.0909,0.4299
usdbrl,USDBRL,44,2m,256,2025-04-04,2026-03-27,0.9799,0.9576,0.994,0.0161,0.0038,0.0377,0.9961,1,2,2,3,0.965,1,0.7528,1.4137,1.4202,0.0435,0.2295
usdbrl,USDBRL,66,3m,234,2025-05-06,2026-03-27,0.9777,0.9556,0.9919,0.0174,0.005,0.0378,0.9958,1,2,2,3,0.983,1,0.755,1.4162,1.4209,0.0252,0.129
usdbrl,USDBRL,88,4m,212,2025-06-05,2026-03-27,0.9786,0.96,0.9892,0.0179,0.0074,0.0294,0.9956,1,1,2,3,1,1,0.773,1.4195,1.4212,0.0203,0.112
usdbrl,USDBRL,110,5m,190,2025-07-07,2026-03-27,0.9765,0.9589,0.9849,0.0183,0.0119,0.029,0.9953,1,1,2,3,1,1,0.7808,1.0202,1.096,0.019,0.0604
usdbrl,USDBRL,132,6m,168,2025-08-06,2026-03-27,0.9751,0.9653,0.9862,0.0177,0.0111,0.0229,0.9937,1,1,2,3,1,1,0.7153,1.0687,1.0809,0.016,0.0555
usdars,USDARS,22,1m,278,2025-03-05,2026-03-27,0.96,0.6101,0.9941,0.0297,0.0039,0.3605,0.9936,1,3,2,4,0.518,0.993,0.9996,1.4349,1.499,0.0999,0.7366
usdars,USDARS,44,2m,256,2025-04-04,2026-03-27,0.9404,0.677,0.9953,0.0463,0.0035,0.2981,0.989,2,2,3,4,0.449,1,0.7857,1.4301,1.4578,0.0572,0.4483
usdars,USDARS,66,3m,234,2025-05-06,2026-03-27,0.9304,0.5757,0.9955,0.0475,0.0029,0.3845,0.9833,2,3,3,3,0.47,0.983,0.8108,1.3573,1.4322,0.0387,0.3331
usdars,USDARS,88,4m,212,2025-06-05,2026-03-27,0.9257,0.5334,0.9961,0.054,0.0024,0.4138,0.9792,2,3,3,4,0.467,0.934,0.8142,1.2911,1.4379,0.0291,0.18
usdars,USDARS,110,5m,190,2025-07-07,2026-03-27,0.9213,0.5567,0.9967,0.0605,0.0021,0.3929,0.9819,2,3,3,4,0.474,0.795,0.8182,1.3861,1.418,0.0268,0.129
usdars,USDARS,132,6m,168,2025-08-06,2026-03-27,0.9592,0.5746,0.9971,0.0316,0.0018,0.3711,0.9907,1,3,2,4,0.512,0.667,0.8169,1.2541,1.3381,0.0206,0.0753
usdmxn,USDMXN,22,1m,278,2025-03-05,2026-03-27,0.9754,0.924,0.9963,0.0216,0.0027,0.0643,0.9982,1,3,2,3,0.842,0.993,0.6654,1.2488,1.4232,0.082,0.396
usdmxn,USDMXN,44,2m,256,2025-04-04,2026-03-27,0.9675,0.9329,0.9953,0.0279,0.0029,0.0534,0.9966,1,2,2,3,0.855,1,0.6699,1.0001,1.3899,0.0428,0.1844
usdmxn,USDMXN,66,3m,234,2025-05-06,2026-03-27,0.962,0.9398,0.9931,0.0316,0.0036,0.0468,0.9955,1,2,2,3,0.863,1,0.6119,0.9487,1.0102,0.0285,0.1059
usdmxn,USDMXN,88,4m,212,2025-06-05,2026-03-27,0.9554,0.9437,0.9868,0.0345,0.0092,0.0481,0.9945,1,2,2,3,0.67,1,0.5653,1.0012,1.1393,0.0235,0.0847
usdmxn,USDMXN,110,5m,190,2025-07-07,2026-03-27,0.9544,0.939,0.9826,0.0339,0.013,0.0462,0.9935,1,2,2,3,0.553,1,0.5095,0.8318,0.9454,0.0207,0.0704
usdmxn,USDMXN,132,6m,168,2025-08-06,2026-03-27,0.9598,0.9304,0.9762,0.0319,0.0186,0.0461,0.9922,1,2,2,3,0.53,1,0.4575,0.7007,0.8168,0.0152,0.0536
eurusd,EURUSD,22,1m,278,2025-03-05,2026-03-27,0.9755,0.7837,0.9982,0.0199,0.0011,0.2105,0.9957,1,3,2,3,0.773,0.989,0.6458,1.4032,1.4656,0.0843,0.555
