scenario,replication,t_end,h,model,RMSE,MAE,ISE
strong_persistence,1,80,1,PM,0.10501891654437867,0.08125248162658254,0.011028972832155173
strong_persistence,1,80,1,PA,0.1764350288118401,0.12519113638533927,0.03112931939183484
strong_persistence,1,80,1,VAR1,0.17805143135833643,0.12727664590067916,0.03170231220875239
strong_persistence,1,80,1,ARHinc,0.17951922555554709,0.12846590483012998,0.03222715234406339
strong_persistence,1,80,1,KernelARH,0.17814434863204728,0.1272422981298449,0.03173540894953641
strong_persistence,1,80,5,PM,0.09231016146036887,0.06795623379499616,0.008521165908839369
strong_persistence,1,80,5,PA,0.14455506722990435,0.10857773021538993,0.020896167461842165
strong_persistence,1,80,5,VAR1,0.14741673785707773,0.11155386084751033,0.021731694600422374
strong_persistence,1,80,5,ARHinc,0.14561175905795146,0.10922685818117485,0.02120278437595091
strong_persistence,1,80,5,KernelARH,0.14742788315551647,0.11161362326843957,0.021734980731716615
strong_persistence,1,80,10,PM,0.20316367312910527,0.14096613895449328,0.04127547807930993
strong_persistence,1,80,10,PA,0.1494682968082016,0.12566556568948678,0.022340771750744642
strong_persistence,1,80,10,VAR1,0.14725591531173385,0.12404781839695797,0.021684304594296534
strong_persistence,1,80,10,ARHinc,0.14523131305352224,0.12296172295106315,0.021092134291250182
strong_persistence,1,80,10,KernelARH,0.14738998857824118,0.1241668447222607,0.021723808733094062
strong_persistence,1,81,1,PM,0.11140259314392432,0.09121811064083392,0.012410537759190734
strong_persistence,1,81,1,PA,0.23614560570046234,0.18363502499364126,0.055764747091638235
strong_persistence,1,81,1,VAR1,0.23376795038598336,0.1822796596230602,0.05464745462766358
strong_persistence,1,81,1,ARHinc,0.23336461852889695,0.18159352597007633,0.05445904518113759
strong_persistence,1,81,1,KernelARH,0.2337463186413718,0.18236184673230513,0.05463734147839372
strong_persistence,1,81,5,PM,0.17508034773614556,0.13325476805101408,0.03065312816340965
strong_persistence,1,81,5,PA,0.11390408535565737,0.09006018884672984,0.012974140660708879
strong_persistence,1,81,5,VAR1,0.10995152750661322,0.08762694589924476,0.012089338401037524
strong_persistence,1,81,5,ARHinc,0.11279878387542822,0.09015567558553088,0.012723565643775565
strong_persistence,1,81,5,KernelARH,0.11003495616468538,0.0876979105430004,0.012107691578164232
strong_persistence,1,81,10,PM,0.21293537329615872,0.17564116019476278,0.04534147320077447
strong_persistence,1,81,10,PA,0.16197190735520656,0.1389936578781435,0.026234898772283615
strong_persistence,1,81,10,VAR1,0.15671763857360504,0.13452837821675295,0.024560418240087097
strong_persistence,1,81,10,ARHinc,0.16065922684523506,0.13846998371248614,0.025811387170508703
strong_persistence,1,81,10,KernelARH,0.1568541108892193,0.13468061948056045,0.024603212102847508
strong_persistence,1,82,1,PM,0.10034563177614778,0.0811951007488666,0.010069245816554238
strong_persistence,1,82,1,PA,0.18826516375724517,0.13921607310144116,0.03544377188454234
strong_persistence,1,82,1,VAR1,0.19337151162888555,0.1448432268237974,0.03739254150964022
strong_persistence,1,82,1,ARHinc,0.19116619754239708,0.1420243157226633,0.03654451508281878
strong_persistence,1,82,1,KernelARH,0.19321073627972327,0.14447490146267164,0.03733038861375278
strong_persistence,1,82,5,PM,0.22115774919103148,0.16999717648477125,0.04891075002724319
strong_persistence,1,82,5,PA,0.14881380112825301,0.12271935063072822,0.022145547406239238
strong_persistence,1,82,5,VAR1,0.1522514981490203,0.12634054170565673,0.023180518688621136
strong_persistence,1,82,5,ARHinc,0.15056752228699483,0.1239590351715362,0.02267057876764468
strong_persistence,1,82,5,KernelARH,0.15237069484682544,0.12640890619211906,0.023216828648104395
strong_persistence,1,82,10,PM,0.20380409731052143,0.15559299768997328,0.04153611008055649
strong_persistence,1,82,10,PA,0.1791908309320401,0.14651033287592244,0.03210935389011498
strong_persistence,1,82,10,VAR1,0.18679074970547357,0.14976317199836617,0.03489078417553288
strong_persistence,1,82,10,ARHinc,0.1823507759117063,0.1481764932310317,0.033251805475601325
strong_persistence,1,82,10,KernelARH,0.18684766869657113,0.14985099172181734,0.03491205129734361
strong_persistence,1,83,1,PM,0.12872082998869894,0.10665152196168906,0.016569052072979533
strong_persistence,1,83,1,PA,0.12510922273314254,0.0921355971920178,0.015652317612891067
strong_persistence,1,83,1,VAR1,0.13598221583628972,0.09980883134869817,0.01849116302374728
strong_persistence,1,83,1,ARHinc,0.1278212354613674,0.09340753897364909,0.016338268234870328
strong_persistence,1,83,1,KernelARH,0.1344103656502091,0.09878952513686094,0.018066146394222913
strong_persistence,1,83,5,PM,0.20276662260920356,0.16286773701789542,0.041114303244343176
strong_persistence,1,83,5,PA,0.14801398412245453,0.13068370513356595,0.021908139495802226
strong_persistence,1,83,5,VAR1,0.16045186895426136,0.13921766106047365,0.02574480225091546
strong_persistence,1,83,5,ARHinc,0.1510378391230018,0.1331945394096144,0.022812428846945773
strong_persistence,1,83,5,KernelARH,0.16058810597967924,0.13933421209250987,0.02578853978214069
strong_persistence,1,83,10,PM,0.1579462992669,0.10829220328144173,0.02494703345210913
strong_persistence,1,83,10,PA,0.1729755495309998,0.13477132718975726,0.02992054073555137
strong_persistence,1,83,10,VAR1,0.1889834760669877,0.145673846809501,0.035714754226361715
strong_persistence,1,83,10,ARHinc,0.17541558042991626,0.13643665089686657,0.03077062585756442
strong_persistence,1,83,10,KernelARH,0.18902889641114168,0.1456884952571651,0.03573192367841413
strong_persistence,1,84,1,PM,0.09083638664121077,0.07473870606668866,0.008251249138031535
strong_persistence,1,84,1,PA,0.15114844385133308,0.11484320139759022,0.02284585207867959
strong_persistence,1,84,1,VAR1,0.14579135776333582,0.10994046107457262,0.02125511999847698
strong_persistence,1,84,1,ARHinc,0.14597759331933263,0.10972016366801918,0.021309457751304463
strong_persistence,1,84,1,KernelARH,0.1480353214536776,0.11279463639593557,0.02191445639789366
strong_persistence,1,84,5,PM,0.14795777807615612,0.12167049132237281,0.021891504093233063
strong_persistence,1,84,5,PA,0.18009811185366353,0.1541459547784253,0.0324353298932547
strong_persistence,1,84,5,VAR1,0.18293638329278658,0.15921969715603904,0.033465720332245326
strong_persistence,1,84,5,ARHinc,0.17799278129551938,0.15369729141516253,0.0316814301933146
strong_persistence,1,84,5,KernelARH,0.1830390133542379,0.1593422112984825,0.03350328040969288
strong_persistence,1,84,10,PM,0.14815478922423944,0.11601433442532114,0.02194984157007882
strong_persistence,1,84,10,PA,0.1854433330615593,0.150407054560462,0.03438922977698042
strong_persistence,1,84,10,VAR1,0.18756547877123894,0.15553857567913226,0.03518080882668409
strong_persistence,1,84,10,ARHinc,0.18232549798198314,0.14939220508120402,0.03324258721437814
strong_persistence,1,84,10,KernelARH,0.18763280937834112,0.15559245929346646,0.0352060711552089
strong_persistence,1,85,1,PM,0.13487430374737158,0.10918698588589755,0.01819107781133825
strong_persistence,1,85,1,PA,0.11506728096817263,0.09380258124948353,0.013240479149408384
strong_persistence,1,85,1,VAR1,0.10979511244488674,0.08752535308912594,0.012054966716785324
strong_persistence,1,85,1,ARHinc,0.10673415893713312,0.08451426625397948,0.011392180684017192
strong_persistence,1,85,1,KernelARH,0.1094950171512572,0.08799528725921174,0.011989158780954108
strong_persistence,1,85,5,PM,0.18638401306608676,0.15188452125459104,0.034739000326619196
strong_persistence,1,85,5,PA,0.156759410909429,0.13227887774591615,0.024573512908671203
strong_persistence,1,85,5,VAR1,0.14956613473423802,0.12605793325425152,0.02237002865934024
