scenario,h,loss,model,wins,win_share
regime_change,1,ISE,ARHinc,322,0.322
regime_change,1,ISE,KernelARH,454,0.454
regime_change,1,ISE,PA,7,0.007
regime_change,1,ISE,PM,3,0.003
regime_change,1,ISE,VAR1,214,0.214
regime_change,1,MAE,ARHinc,271,0.271
regime_change,1,MAE,KernelARH,468,0.468
regime_change,1,MAE,PA,11,0.011
regime_change,1,MAE,PM,1,0.001
regime_change,1,MAE,VAR1,249,0.249
regime_change,1,RMSE,ARHinc,253,0.253
regime_change,1,RMSE,KernelARH,512,0.512
regime_change,1,RMSE,PA,5,0.005
regime_change,1,RMSE,PM,1,0.001
regime_change,1,RMSE,VAR1,229,0.229
regime_change,5,ISE,ARHinc,118,0.118
regime_change,5,ISE,KernelARH,421,0.421
regime_change,5,ISE,VAR1,461,0.461
regime_change,5,MAE,ARHinc,104,0.104
regime_change,5,MAE,KernelARH,424,0.424
regime_change,5,MAE,VAR1,472,0.472
regime_change,5,RMSE,ARHinc,90,0.09
regime_change,5,RMSE,KernelARH,435,0.435
regime_change,5,RMSE,VAR1,475,0.475
regime_change,10,ISE,ARHinc,79,0.079
regime_change,10,ISE,KernelARH,439,0.439
regime_change,10,ISE,VAR1,482,0.482
regime_change,10,MAE,ARHinc,73,0.073
regime_change,10,MAE,KernelARH,433,0.433
regime_change,10,MAE,VAR1,494,0.494
regime_change,10,RMSE,ARHinc,54,0.054
regime_change,10,RMSE,KernelARH,455,0.455
regime_change,10,RMSE,VAR1,491,0.491
strong_persistence,1,ISE,PM,1000,1
strong_persistence,1,MAE,PM,1000,1
strong_persistence,1,RMSE,PM,1000,1
strong_persistence,5,ISE,ARHinc,15,0.015
strong_persistence,5,ISE,KernelARH,8,0.008
strong_persistence,5,ISE,PM,972,0.972
strong_persistence,5,ISE,VAR1,5,0.005
strong_persistence,5,MAE,ARHinc,4,0.004
strong_persistence,5,MAE,KernelARH,5,0.005
strong_persistence,5,MAE,PM,989,0.989
strong_persistence,5,MAE,VAR1,2,0.002
strong_persistence,5,RMSE,ARHinc,11,0.011
strong_persistence,5,RMSE,KernelARH,8,0.008
strong_persistence,5,RMSE,PM,975,0.975
strong_persistence,5,RMSE,VAR1,6,0.006
strong_persistence,10,ISE,ARHinc,146,0.146
strong_persistence,10,ISE,KernelARH,54,0.054
strong_persistence,10,ISE,PM,752,0.752
strong_persistence,10,ISE,VAR1,48,0.048
strong_persistence,10,MAE,ARHinc,68,0.068
strong_persistence,10,MAE,KernelARH,50,0.05
strong_persistence,10,MAE,PM,843,0.843
strong_persistence,10,MAE,VAR1,39,0.039
strong_persistence,10,RMSE,ARHinc,140,0.14
strong_persistence,10,RMSE,KernelARH,60,0.06
strong_persistence,10,RMSE,PM,742,0.742
strong_persistence,10,RMSE,VAR1,58,0.058
weak_persistence,1,ISE,ARHinc,58,0.058
weak_persistence,1,ISE,KernelARH,698,0.698
weak_persistence,1,ISE,PA,4,0.004
weak_persistence,1,ISE,VAR1,240,0.24
weak_persistence,1,MAE,ARHinc,50,0.05
weak_persistence,1,MAE,KernelARH,689,0.689
weak_persistence,1,MAE,PA,2,0.002
weak_persistence,1,MAE,VAR1,259,0.259
weak_persistence,1,RMSE,ARHinc,34,0.034
weak_persistence,1,RMSE,KernelARH,737,0.737
weak_persistence,1,RMSE,PA,1,0.001
weak_persistence,1,RMSE,VAR1,228,0.228
weak_persistence,5,ISE,ARHinc,16,0.016
weak_persistence,5,ISE,KernelARH,454,0.454
weak_persistence,5,ISE,VAR1,530,0.53
weak_persistence,5,MAE,ARHinc,16,0.016
weak_persistence,5,MAE,KernelARH,444,0.444
weak_persistence,5,MAE,VAR1,540,0.54
weak_persistence,5,RMSE,ARHinc,3,0.003
weak_persistence,5,RMSE,KernelARH,452,0.452
weak_persistence,5,RMSE,VAR1,545,0.545
weak_persistence,10,ISE,ARHinc,13,0.013
weak_persistence,10,ISE,KernelARH,474,0.474
weak_persistence,10,ISE,VAR1,513,0.513
weak_persistence,10,MAE,ARHinc,12,0.012
weak_persistence,10,MAE,KernelARH,481,0.481
weak_persistence,10,MAE,VAR1,507,0.507
weak_persistence,10,RMSE,ARHinc,7,0.007
weak_persistence,10,RMSE,KernelARH,480,0.48
weak_persistence,10,RMSE,VAR1,513,0.513
