scenario,replication,h,model,RMSE,MAE,ISE
regime_change,1,1,ARHinc,0.2683662651253667,0.21432442124184775,0.07569080334791053
regime_change,1,1,KernelARH,0.2698238617721791,0.21534250917112024,0.07707649182812529
regime_change,1,1,PA,0.27070565130732843,0.21616521741774503,0.0769180266911798
regime_change,1,1,PM,0.3135346352569486,0.24975033299994417,0.10187076720606986
regime_change,1,1,VAR1,0.27087816139616505,0.21617045123631853,0.07761660559869822
regime_change,1,5,ARHinc,0.2742346817654881,0.2186548758298278,0.07946746769993883
regime_change,1,5,KernelARH,0.2721640146614657,0.2174176954472407,0.07865499048177083
regime_change,1,5,PA,0.2773094232143616,0.22098022232157216,0.0810443618506377
regime_change,1,5,PM,0.3448850346860295,0.27605553190758436,0.12743159634573065
regime_change,1,5,VAR1,0.27219420028954233,0.21744156587667285,0.07867640128298932
regime_change,1,10,ARHinc,0.27608976741781016,0.22018755320882863,0.0808543971734671
regime_change,1,10,KernelARH,0.27230824218215316,0.21696912577208538,0.07888251225009857
regime_change,1,10,PA,0.2783799105786762,0.22176909216482074,0.0820525666450072
regime_change,1,10,PM,0.3596802527703027,0.2863687641966646,0.13742812360593393
regime_change,1,10,VAR1,0.27230586661163897,0.21697136023331576,0.0788798126015419
regime_change,2,1,ARHinc,0.27055428251624786,0.21709231848332447,0.07774688582415128
regime_change,2,1,KernelARH,0.26989463220294135,0.21660227702809226,0.07761635641260321
regime_change,2,1,PA,0.2721521289044608,0.2182902205384452,0.07822597520737341
regime_change,2,1,PM,0.30570344201718197,0.24462263157456063,0.09676959995008041
regime_change,2,1,VAR1,0.27132369615781654,0.2175192027334928,0.07817816876594458
regime_change,2,5,ARHinc,0.2765551041235635,0.2217392234521973,0.08181876483123461
regime_change,2,5,KernelARH,0.2723671024425546,0.21870358155310815,0.07906953975284714
regime_change,2,5,PA,0.2804136406524894,0.22450756091779614,0.084049647267112
regime_change,2,5,PM,0.3535396986165889,0.2820494118104161,0.1314029415545537
regime_change,2,5,VAR1,0.2724915533803549,0.21880995072830217,0.079165268250065493
regime_change,2,10,ARHinc,0.27743476318895066,0.22279636114562618,0.08278789551969418
regime_change,2,10,KernelARH,0.2724275885338293,0.2188997576649111,0.07955633874493263
regime_change,2,10,PA,0.2811930474193713,0.2255363527546966,0.08488380207826537
regime_change,2,10,PM,0.3647925326765604,0.29027238028721164,0.14109001753766315
regime_change,2,10,VAR1,0.27247298377881496,0.2189401418031592,0.07959904498715956
regime_change,3,1,ARHinc,0.27493807031634293,0.22080181825444853,0.08062854013070317
regime_change,3,1,KernelARH,0.2754466970148096,0.22142128516129697,0.08113253074327766
regime_change,3,1,PA,0.2765401497010762,0.22208928922224586,0.08130917654766782
regime_change,3,1,PM,0.30466645847891977,0.243897616933341,0.09619352996663318
regime_change,3,1,VAR1,0.2763173575811927,0.222115082940847,0.08160245988062394
regime_change,3,5,ARHinc,0.27947518298063917,0.22437136026463014,0.08355766433643834
regime_change,3,5,KernelARH,0.27799523240537105,0.22365576229883358,0.08293092427986648
regime_change,3,5,PA,0.2828529474825518,0.22688765556925286,0.0854831586715691
regime_change,3,5,PM,0.3577709611135965,0.2862927174711615,0.1353370456454925
regime_change,3,5,VAR1,0.2779054443939273,0.22358850021846316,0.08286844449724336
regime_change,3,10,ARHinc,0.28010838304850133,0.22553515120911055,0.08444986757100165
regime_change,3,10,KernelARH,0.27897983038781166,0.22482785102009653,0.08388237767816115
regime_change,3,10,PA,0.2822530656730514,0.22712705972762007,0.08557793150188411
regime_change,3,10,PM,0.372523231335438,0.29876048461504606,0.14869447773188707
regime_change,3,10,VAR1,0.27887813256641286,0.22474708719486738,0.08381708922140269
regime_change,4,1,ARHinc,0.29245721356939514,0.23616025370074833,0.09230473534915055
regime_change,4,1,KernelARH,0.29426932791880905,0.23745849543745273,0.0938649792477715
regime_change,4,1,PA,0.29429677964313655,0.2372563217500323,0.09354053896802456
regime_change,4,1,PM,0.30435822954681696,0.2428394904994996,0.09625596149232708
regime_change,4,1,VAR1,0.2948284437766898,0.23798120873515405,0.09414994728974951
regime_change,4,5,ARHinc,0.2939851231583444,0.2372808875763192,0.09308683470310489
regime_change,4,5,KernelARH,0.29104774932695515,0.23481113064012343,0.09192532206710925
regime_change,4,5,PA,0.29516629459408794,0.23821902394740788,0.09409701085980962
regime_change,4,5,PM,0.35692322289258277,0.28539466487395976,0.13648590903756094
regime_change,4,5,VAR1,0.2908309516749421,0.23464234332733627,0.09177447053288851
regime_change,4,10,ARHinc,0.2942233887858,0.23726917014885213,0.09328326819024908
regime_change,4,10,KernelARH,0.2885331157032295,0.23260299574466153,0.09017110505585002
regime_change,4,10,PA,0.29823278905156203,0.24045796831215613,0.09600449283108432
regime_change,4,10,PM,0.3633586941986132,0.2913075606573268,0.1430971929731217
regime_change,4,10,VAR1,0.28843071282594196,0.23252967855257922,0.09009477573491372
regime_change,5,1,ARHinc,0.2494863240288322,0.1991021759431952,0.06439425949635715
regime_change,5,1,KernelARH,0.24758365684928307,0.19767664283150554,0.0634462385563807
regime_change,5,1,PA,0.2511353502028993,0.2002465427501436,0.06524714471757218
regime_change,5,1,PM,0.3046093855779862,0.24344347192701143,0.09610739406883115
regime_change,5,1,VAR1,0.24729819049207122,0.1974213160353488,0.06330687452468871
regime_change,5,5,ARHinc,0.2537961987305676,0.20218152184255003,0.06662377768185035
regime_change,5,5,KernelARH,0.2501296597146408,0.1996678934864646,0.06478470429507086
regime_change,5,5,PA,0.255904341405082,0.2041836680411925,0.06769596290523099
regime_change,5,5,PM,0.329402744369052,0.262493418947966,0.11308204807063499
regime_change,5,5,VAR1,0.25012435781260767,0.1996435984695135,0.06477849257177773
regime_change,5,10,ARHinc,0.255656166714433,0.20357834871451877,0.06803219655667789
regime_change,5,10,KernelARH,0.2528625095521422,0.2015381473521209,0.06626988603488952
regime_change,5,10,PA,0.258062860569467,0.2052827235967977,0.06927074347416562
regime_change,5,10,PM,0.33626444296047264,0.2654252237708472,0.11820450715950884
regime_change,5,10,VAR1,0.2528464304988959,0.20152183557002207,0.0662618371055454
regime_change,6,1,ARHinc,0.29448275253138884,0.23652675143778643,0.09305431422287645
regime_change,6,1,KernelARH,0.2968011781766079,0.2388410613869164,0.095301257308008
regime_change,6,1,PA,0.29669070759607735,0.23824086867421515,0.09442127777055076
regime_change,6,1,PM,0.3047257370409541,0.24338726093709692,0.09646117832096268
regime_change,6,1,VAR1,0.2963634546227146,0.2385213610024463,0.09475068128657087
regime_change,6,5,ARHinc,0.29654936781457897,0.238055221821799,0.09495410203323425
regime_change,6,5,KernelARH,0.2972364692946351,0.23878635924390187,0.09562989403867246
regime_change,6,5,PA,0.2982252006267636,0.23933422575857907,0.09600584294209256
regime_change,6,5,PM,0.34977128757326004,0.2812308393657655,0.1292054263646038
regime_change,6,5,VAR1,0.2972879960900396,0.23883793036258996,0.09566595596404108
regime_change,6,10,ARHinc,0.29864622226299614,0.2399378647908706,0.09620822924390832
regime_change,6,10,KernelARH,0.2977862648121254,0.23925345344623036,0.09584239556733008
regime_change,6,10,PA,0.30178993969474677,0.24241602298103984,0.09833903882021908
regime_change,6,10,PM,0.37176770472252213,0.2975280179068248,0.14998234641216399
regime_change,6,10,VAR1,0.29778308573274787,0.2392677558054213,0.09584494047048493
regime_change,7,1,ARHinc,0.28166338468280505,0.22572006795658875,0.08520171661747566
regime_change,7,1,KernelARH,0.2842925492154667,0.22788957888900158,0.08726595820767954
regime_change,7,1,PA,0.28369553649685286,0.22730953613611754,0.08628381471565791
regime_change,7,1,PM,0.3191379467269975,0.2551503648985609,0.10798311523054219
regime_change,7,1,VAR1,0.2843637082495229,0.22794494125384585,0.08755685928167792
regime_change,7,5,ARHinc,0.2892896110507132,0.23198370605556032,0.08981324727031945
regime_change,7,5,KernelARH,0.2885792748380028,0.2313530629493812,0.08981581117726489
regime_change,7,5,PA,0.2912499979158779,0.23367639651128297,0.09090449954631685
regime_change,7,5,PM,0.36450113429001446,0.2911253036382874,0.14086055063464079
regime_change,7,5,VAR1,0.2885776881201121,0.2313541262291143,0.08981973319100908
regime_change,7,10,ARHinc,0.2916686955298393,0.2340020484721156,0.09137544389247484
regime_change,7,10,KernelARH,0.2898163090260798,0.23250481518145524,0.0906095537340367
regime_change,7,10,PA,0.2937339793590763,0.23530704103404834,0.09263837014506203
regime_change,7,10,PM,0.39178823293602233,0.3131128253889129,0.16357248083084786
regime_change,7,10,VAR1,0.2897973191180758,0.23250042105781274,0.09060242330809401
regime_change,8,1,ARHinc,0.26871012696327323,0.21430219552875257,0.07648286771835207
regime_change,8,1,KernelARH,0.2681706831833727,0.21438979061955996,0.076228877947473
regime_change,8,1,PA,0.27048615112741814,0.21544049093546017,0.07730495173850896
regime_change,8,1,PM,0.3094437852532735,0.24703345364563378,0.10086837546598891
regime_change,8,1,VAR1,0.2677480573134608,0.2139100120977544,0.07601734468899646
regime_change,8,5,ARHinc,0.2721633220887359,0.21756203331029414,0.07856381071682474
regime_change,8,5,KernelARH,0.26849692961347277,0.21459813252285634,0.07655169922455984
regime_change,8,5,PA,0.2752958161854678,0.21981650795294835,0.08041897596538085
regime_change,8,5,PM,0.3496854726362561,0.2768880120061392,0.12930169599966732
regime_change,8,5,VAR1,0.2685964331000826,0.21467637921467514,0.0766121887412523
regime_change,8,10,ARHinc,0.27288269962836226,0.2182122062021228,0.07907462372833858
regime_change,8,10,KernelARH,0.2706679325146476,0.21645145692064546,0.07775059560579699
regime_change,8,10,PA,0.2758689676857865,0.22052950461937654,0.08081924103053519
regime_change,8,10,PM,0.35232167312693313,0.28165391398894785,0.13066481680289996
regime_change,8,10,VAR1,0.27074170781732415,0.21651263717869848,0.07779436891581766
regime_change,9,1,ARHinc,0.25504914032299625,0.20382917412722792,0.0680011405279538
regime_change,9,1,KernelARH,0.2546774474906552,0.20344237793409461,0.06794234777264785
regime_change,9,1,PA,0.2569789729362121,0.20494459751549265,0.06912545685125128
regime_change,9,1,PM,0.30252332135835314,0.241762822620462,0.09465947344995744
regime_change,9,1,VAR1,0.25488144345755187,0.20369844157168662,0.06803922143734707
regime_change,9,5,ARHinc,0.2575828653116399,0.20558332763264953,0.06948705089791021
regime_change,9,5,KernelARH,0.2564966875579085,0.20481010098974178,0.06901692837691793
regime_change,9,5,PA,0.25986523037147125,0.2071077801039958,0.07065673917793952
regime_change,9,5,PM,0.33282145204337676,0.26511446484228823,0.11536630671069618
regime_change,9,5,VAR1,0.2564877585564912,0.20480745042324072,0.06901157434225097
regime_change,9,10,ARHinc,0.25973238194937903,0.20781571981380237,0.0704674660258466
regime_change,9,10,KernelARH,0.25751401229155635,0.20600062179499146,0.0695409327949395
regime_change,9,10,PA,0.2622022776623361,0.20990316138672105,0.0717077500231069
regime_change,9,10,PM,0.3575630401886628,0.2855650807286463,0.1343345577215821
regime_change,9,10,VAR1,0.2575084909700681,0.2059969558519848,0.0695377526048797
regime_change,10,1,ARHinc,0.25572168975715515,0.20397725431930663,0.06848200997649494
regime_change,10,1,KernelARH,0.2558523353471098,0.204030096818647,0.06869495694749111
regime_change,10,1,PA,0.25851721487469553,0.20609563438703105,0.07001763319535195
regime_change,10,1,PM,0.30679320792100023,0.24524678851593307,0.09881046683217974
regime_change,10,1,VAR1,0.25555170150853734,0.20376578734045245,0.06858955642662598
regime_change,10,5,ARHinc,0.260706895069213,0.20795026662365004,0.07122718528069372
regime_change,10,5,KernelARH,0.2565805485930069,0.20483596259025197,0.0691032048196698
regime_change,10,5,PA,0.2631517124620345,0.20962143016948234,0.07259679515987028
regime_change,10,5,PM,0.35030662797435597,0.2786759214398023,0.12911527131350364
regime_change,10,5,VAR1,0.25660914670675267,0.20486669979753402,0.06911152639856348
regime_change,10,10,ARHinc,0.2567063303032476,0.2047278375757914,0.0691558606575899
regime_change,10,10,KernelARH,0.2544605475547242,0.2028480274026753,0.06806534919400975
regime_change,10,10,PA,0.2594962141837639,0.20684848320388322,0.07067761471870034
regime_change,10,10,PM,0.35381042928652695,0.2824142367901007,0.13097000300347114
regime_change,10,10,VAR1,0.25447022596823726,0.20286618743085363,0.06806538485434002
regime_change,11,1,ARHinc,0.26301649906183605,0.21086855162791227,0.0721497020309547
regime_change,11,1,KernelARH,0.260986966664173,0.20921608921704693,0.07108475181062249
regime_change,11,1,PA,0.26559904597349654,0.21293255160645977,0.07343267156686988
regime_change,11,1,PM,0.31722341016090655,0.25466380608291106,0.10544604135042181
regime_change,11,1,VAR1,0.26135157132535664,0.20959316058650593,0.07128115112901247
regime_change,11,5,ARHinc,0.26588552919394715,0.21312629355772983,0.07366434871002706
regime_change,11,5,KernelARH,0.26318748658074737,0.21095525734541068,0.07229692051724136
regime_change,11,5,PA,0.26775140748580284,0.21453938848029594,0.0747104382453763
regime_change,11,5,PM,0.3347294819499774,0.26726999388340256,0.11648822915064902
regime_change,11,5,VAR1,0.2631112638451868,0.210890588835637,0.07225335774221223
regime_change,11,10,ARHinc,0.26538558469816376,0.21261574200961655,0.07339393578505274
regime_change,11,10,KernelARH,0.2645684955838312,0.21194132428217521,0.07313206570567196
regime_change,11,10,PA,0.266945668227385,0.21368111072112542,0.07423593236689942
regime_change,11,10,PM,0.3452187150059304,0.275974526702644,0.12407833621669061
regime_change,11,10,VAR1,0.264470998455311,0.21185413083449647,0.07307741994864568
regime_change,12,1,ARHinc,0.2723426731052384,0.2189541651738045,0.07997585527766957
regime_change,12,1,KernelARH,0.2712234223662024,0.21766171083126215,0.07934691747008377
regime_change,12,1,PA,0.27415499343316413,0.22003114695041032,0.08093153463012037
regime_change,12,1,PM,0.31202499447602167,0.25075563217118657,0.10162272079452099
regime_change,12,1,VAR1,0.2719352755540046,0.21801733486410274,0.07957206483301445
regime_change,12,5,ARHinc,0.27730252247995396,0.22271704981450968,0.0828790953392937
regime_change,12,5,KernelARH,0.27557985819028274,0.2213426211153291,0.0822273255294271
regime_change,12,5,PA,0.27985693334434897,0.22473719127090136,0.0844788711542726
regime_change,12,5,PM,0.3638598307582298,0.2906116939774699,0.14371889565619728
regime_change,12,5,VAR1,0.2755088201511683,0.22129206998376547,0.08217912854220001
regime_change,12,10,ARHinc,0.28178724089818175,0.2260733396494953,0.08505525496719189
regime_change,12,10,KernelARH,0.2789984265593278,0.22421696819472825,0.08391721588370273
regime_change,12,10,PA,0.2833326603367278,0.22749844212096632,0.08584635190962935
regime_change,12,10,PM,0.3606459044528325,0.28762875196844967,0.1390519351317942
regime_change,12,10,VAR1,0.27888915758100424,0.2241230989372961,0.08384643033955033
regime_change,13,1,ARHinc,0.2692019049875001,0.21380686570333088,0.07794301885609224
regime_change,13,1,KernelARH,0.26903265410223254,0.21364865440427963,0.07812332566831227
regime_change,13,1,PA,0.27132144951369125,0.21546019935867006,0.07904376253187549
regime_change,13,1,PM,0.30625839999782334,0.24469692498575196,0.0973167257721621
regime_change,13,1,VAR1,0.2690470982360534,0.21361100082235915,0.0780969078176259
regime_change,13,5,ARHinc,0.2735901438914186,0.2171236777348553,0.08101369958254671
regime_change,13,5,KernelARH,0.27211295699665106,0.21628789171096227,0.08015134047995244
regime_change,13,5,PA,0.2751381422248599,0.21855559617421894,0.08176186830400992
regime_change,13,5,PM,0.34815656715561877,0.2766376266142342,0.12856931905786778
regime_change,13,5,VAR1,0.27220808122313817,0.21633844056466806,0.08020315024192315
regime_change,13,10,ARHinc,0.2757533811364242,0.21964264805607148,0.08213701425245991
regime_change,13,10,KernelARH,0.2729703464478203,0.2177098590831218,0.08093994727737845
regime_change,13,10,PA,0.27778188456061065,0.22116171021626654,0.0832248725826624
regime_change,13,10,PM,0.36760358658754305,0.2918588547468887,0.14555186286241495
regime_change,13,10,VAR1,0.2730923857929918,0.217798444276451,0.08101023530405878
regime_change,14,1,ARHinc,0.26165264009197886,0.20957871955740692,0.07279865481356196
regime_change,14,1,KernelARH,0.2607800988029886,0.20842339254378392,0.07265791463769737
regime_change,14,1,PA,0.2638016285994117,0.211396036671221,0.07367329306106234
regime_change,14,1,PM,0.30810267382220985,0.24684003677859467,0.09875356002082049
regime_change,14,1,VAR1,0.2608474497754062,0.208581139106761,0.07270741759606539
regime_change,14,5,ARHinc,0.2634216197428841,0.21009672863874645,0.07446807096054074
regime_change,14,5,KernelARH,0.2609511769948134,0.20823644281583462,0.07291548412577477
regime_change,14,5,PA,0.26659906170802816,0.21267519095678983,0.07623201533951947
regime_change,14,5,PM,0.34403687579679276,0.2755489224966055,0.1263136769671546
regime_change,14,5,VAR1,0.261010453537238,0.20826911103404838,0.0729444349668965
regime_change,14,10,ARHinc,0.2656013840625783,0.21194140511597437,0.0757331217677593
regime_change,14,10,KernelARH,0.2626092941698791,0.20981875716227283,0.0742534874175731
regime_change,14,10,PA,0.26790451848197705,0.21397300303608077,0.07687252573672998
regime_change,14,10,PM,0.34949206595224647,0.27928372109769495,0.1301287704480914
regime_change,14,10,VAR1,0.26269654617817806,0.20987607801165667,0.0742997585284022
regime_change,15,1,ARHinc,0.253226448780856,0.20227175089783384,0.0671475359477261
regime_change,15,1,KernelARH,0.25133374190858304,0.20074055455786258,0.06623458999066792
regime_change,15,1,PA,0.25480182318911415,0.203590314788558,0.06789368420533677
regime_change,15,1,PM,0.30282289771047544,0.2416258676369368,0.09511370681740876
regime_change,15,1,VAR1,0.2515363870827564,0.2008649809335412,0.06630255187419923
regime_change,15,5,ARHinc,0.2538585327008489,0.20281303041541643,0.06761154802901358
regime_change,15,5,KernelARH,0.25190313282737853,0.2012254268051237,0.06644534187789056
regime_change,15,5,PA,0.2562882852610065,0.20471271696781743,0.06885407901522816
regime_change,15,5,PM,0.3334467963290805,0.26725152528895413,0.1153800204335018
regime_change,15,5,VAR1,0.25189907627679475,0.2012148971973482,0.06643674788971982
regime_change,15,10,ARHinc,0.2559575168084675,0.20406960608515287,0.06856619290101237
