Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDARS,1,PM,110,8,179,MAE_med,0.1239
USDARS,1,PM,110,8,179,RMSE_med,0.1729
USDARS,1,PM,110,8,179,WRMSE_long_med,0.1175
USDARS,1,PM,110,8,179,WRMSE_short_med,0.226
USDARS,5,PM,110,7,179,MAE_med,0.355
USDARS,5,PM,110,7,179,RMSE_med,0.4415
USDARS,5,PM,110,7,179,WRMSE_long_med,0.3619
USDARS,5,PM,110,7,179,WRMSE_short_med,0.5622
USDARS,10,PM,110,5,179,MAE_med,0.4993
USDARS,10,PM,110,5,179,RMSE_med,0.6258
USDARS,10,PM,110,5,179,WRMSE_long_med,0.5304
USDARS,10,PM,110,5,179,WRMSE_short_med,0.6828
