h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,59,1.0494,0
1,ARHinc,medio,60,1.0899,0
1,ARHinc,final,60,1.1437,0
1,KernelARH,inicio,59,1.0504,0
1,KernelARH,medio,60,1.0967,0
1,KernelARH,final,60,1.1632,0
1,PA,inicio,59,1.0417,0
1,PA,medio,60,1.0899,0
1,PA,final,60,1.1407,0
1,VAR1,inicio,59,35.5785,0
1,VAR1,medio,60,173.3905,0
1,VAR1,final,60,487.5902,0
5,ARHinc,inicio,59,0.8784,0
5,ARHinc,medio,60,0.9585,0
5,ARHinc,final,60,0.9009,0
5,KernelARH,inicio,59,0.881,0
5,KernelARH,medio,60,0.974,0
5,KernelARH,final,60,0.9357,0
5,PA,inicio,59,0.859,0
5,PA,medio,60,0.9589,0
5,PA,final,60,0.899,0
5,VAR1,inicio,59,59.4879,0
5,VAR1,medio,60,253.8626,0
5,VAR1,final,60,840.336,0
10,ARHinc,inicio,59,0.8128,0
10,ARHinc,medio,60,0.8104,0
10,ARHinc,final,60,0.713,0
10,KernelARH,inicio,59,0.7927,0
10,KernelARH,medio,60,0.834,0
10,KernelARH,final,60,0.8241,0.017
10,PA,inicio,59,0.8093,0
10,PA,medio,60,0.8162,0
10,PA,final,60,0.7198,0
10,VAR1,inicio,59,10.4687,0
10,VAR1,medio,60,17.1385,0
10,VAR1,final,60,998.7576,0
