h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,8,110,179,0.1729,0.1136,0.2771,NA,NA,
1,PA,8,110,179,1.2766,1.2256,1.4157,-35.014,0,***
1,VAR1,8,110,179,172.6874,41.1596,463.7176,-4.644,0,***
1,ARHinc,8,110,179,1.2837,1.2259,1.4193,-34.999,0,***
1,KernelARH,8,110,179,1.2875,1.2283,1.4432,-28.001,0,***
5,PM,7,110,179,0.4415,0.2922,0.6847,NA,NA,
5,PA,7,110,179,1.3542,1.2579,1.5078,-17.896,0,***
5,VAR1,7,110,179,255.3009,69.4637,827.9888,-2.764,0.0063,***
5,ARHinc,7,110,179,1.366,1.2599,1.5268,-18.725,0,***
5,KernelARH,7,110,179,1.3722,1.2699,1.5512,-11.89,0,***
10,PM,5,110,179,0.6258,0.4297,1.0918,NA,NA,
10,PA,5,110,179,1.4207,1.3127,1.7158,-18.039,0,***
10,VAR1,5,110,179,25.4308,9.9114,665.1366,-2.253,0.0255,**
10,ARHinc,5,110,179,1.4341,1.3116,1.6961,-18.454,0,***
10,KernelARH,5,110,179,1.4554,1.3342,1.6858,-11.149,0,***
