h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,59,1.2238,1.2575
1,ARHinc,medio,60,1.2597,1.447
1,ARHinc,final,60,1.3878,1.51
1,KernelARH,inicio,59,1.2269,1.2632
1,KernelARH,medio,60,1.2604,1.452
1,KernelARH,final,60,1.3991,1.5639
1,PA,inicio,59,1.2214,1.2512
1,PA,medio,60,1.2545,1.4393
1,PA,final,60,1.3892,1.4929
1,PM,inicio,59,0.142,0.1912
1,PM,medio,60,0.1784,0.276
1,PM,final,60,0.2399,0.4217
1,VAR1,inicio,59,35.6674,60.1688
1,VAR1,medio,60,173.5604,382.8694
1,VAR1,final,60,487.679,652.2465
5,ARHinc,inicio,59,1.2508,1.3217
5,ARHinc,medio,60,1.3363,1.5342
5,ARHinc,final,60,1.4958,1.8192
5,KernelARH,inicio,59,1.2586,1.3672
5,KernelARH,medio,60,1.3116,1.567
5,KernelARH,final,60,1.5217,1.7641
5,PA,inicio,59,1.2526,1.3222
5,PA,medio,60,1.3387,1.5442
5,PA,final,60,1.4902,1.8128
5,PM,inicio,59,0.4003,0.5305
5,PM,medio,60,0.411,0.6362
5,PM,final,60,0.5986,0.97
5,VAR1,inicio,59,59.9246,96.9026
5,VAR1,medio,60,254.1957,798.1289
5,VAR1,final,60,840.7278,1176.0824
10,ARHinc,inicio,59,1.2781,1.4107
10,ARHinc,medio,60,1.4046,1.5572
10,ARHinc,final,60,1.7921,2.1469
10,KernelARH,inicio,59,1.3358,1.451
10,KernelARH,medio,60,1.4468,1.6241
10,KernelARH,final,60,1.7498,2.0509
10,PA,inicio,59,1.2787,1.407
10,PA,medio,60,1.4036,1.5531
10,PA,final,60,1.8109,2.1495
10,PM,inicio,59,0.454,0.7558
10,PM,medio,60,0.6142,0.8353
10,PM,final,60,1.1157,1.6064
10,VAR1,inicio,59,10.7683,16.7534
10,VAR1,medio,60,17.629,74.6299
10,VAR1,final,60,999.9947,1272.5742
