Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDARS,1,ARHinc,110,8,179,1.2837,0.9837,0.9629,1.4935
USDARS,1,KernelARH,110,8,179,1.2875,0.9881,0.9645,1.4976
USDARS,1,PA,110,8,179,1.2766,0.9821,0.9573,1.4895
USDARS,1,PM,110,8,179,0.1729,0.1239,0.226,0.1175
USDARS,1,VAR1,110,8,179,172.6874,131.0367,255.2718,99.8225
USDARS,5,ARHinc,110,7,179,1.366,1.0658,1.0647,1.5305
USDARS,5,KernelARH,110,7,179,1.3722,1.0808,1.0539,1.5487
USDARS,5,PA,110,7,179,1.3542,1.0666,1.0552,1.5289
USDARS,5,PM,110,7,179,0.4415,0.355,0.5622,0.3619
USDARS,5,VAR1,110,7,179,255.3009,199.7703,368.1572,154.3451
USDARS,10,ARHinc,110,5,179,1.4341,1.134,1.1645,1.5902
USDARS,10,KernelARH,110,5,179,1.4554,1.16,1.1697,1.6226
USDARS,10,PA,110,5,179,1.4207,1.1313,1.1517,1.5926
USDARS,10,PM,110,5,179,0.6258,0.4993,0.6828,0.5304
USDARS,10,VAR1,110,5,179,25.4308,20.2108,23.5757,21.2344
