W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.17389776505840351,PA,1.299571729759978,1.1256739647015745
44,5,4,0.4560835576278336,PA,1.3693247514321563,0.9132411938043227
44,10,4,0.5890577955841527,PA,1.4217903322597443,0.8327325366755916
66,1,5,0.17286583281217296,PA,1.2913119887732287,1.1184461559610557
66,5,4,0.4539738534490555,PA,1.3569323543388456,0.9029585008897901
66,10,4,0.5869835291228693,PA,1.407058955037824,0.8200754259149547
88,1,5,0.1775101568058312,PA,1.2867657515434205,1.1092555947375893
88,5,4,0.4757445076282661,ARHinc,1.371479816511027,0.8957353088827609
88,10,4,0.6162026624040553,ARHinc,1.4256429598633835,0.8094402974593282
110,1,8,0.17286583281217296,PA,1.2765538763106472,1.1036880434984742
110,5,7,0.4414846020487622,PA,1.3541830103431447,0.9126984082943825
110,10,5,0.6257531231674729,PA,1.4206880831463824,0.7949349599789095
132,1,8,0.17189540088714958,PA,1.2905029256838214,1.1186075247966718
132,5,7,0.43873912434471696,PA,1.3635581026619141,0.9248189783171972
132,10,4,0.591453514331756,ARHinc,1.4612943172113948,0.8698408028796388
154,1,8,0.18237904316180462,PA,1.3381664663942408,1.155787423232436
154,5,6,0.4672896997169298,PA,1.4112406286879544,0.9439509289710246
154,10,6,0.6448195931361792,ARHinc,1.470877568134981,0.8260579749988018
176,1,8,0.20958051050757406,PA,1.3582118134476793,1.1486313029401052
176,5,5,0.5313936231197243,ARHinc,1.44615581958176,0.9147621964620358
176,10,7,0.7678357133477888,ARHinc,1.5542413699175937,0.7864056565698049
198,1,8,0.24805784064949915,ARHinc,1.3920769917385176,1.1440191510890185
198,5,5,0.5909961440717633,PA,1.4955733029554799,0.9045771588837166
198,10,4,0.9467485095761254,PA,1.638967888017981,0.6922193784418555
