Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDBRL,1,PM,132,7,157,MAE_med,0.1342
USDBRL,1,PM,132,7,157,RMSE_med,0.1972
USDBRL,1,PM,132,7,157,WRMSE_long_med,0.1145
USDBRL,1,PM,132,7,157,WRMSE_short_med,0.3087
USDBRL,5,PM,132,6,157,MAE_med,0.3894
USDBRL,5,PM,132,6,157,RMSE_med,0.5848
USDBRL,5,PM,132,6,157,WRMSE_long_med,0.3064
USDBRL,5,PM,132,6,157,WRMSE_short_med,0.8944
USDBRL,10,PM,132,5,157,MAE_med,0.6172
USDBRL,10,PM,132,5,157,RMSE_med,0.7676
USDBRL,10,PM,132,5,157,WRMSE_long_med,0.4879
USDBRL,10,PM,132,5,157,WRMSE_short_med,1.1121
