h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,52,0.5136,0
1,ARHinc,medio,52,0.4811,0.019
1,ARHinc,final,53,0.4295,0
1,KernelARH,inicio,52,0.5182,0.019
1,KernelARH,medio,52,0.4906,0.019
1,KernelARH,final,53,0.4555,0
1,PA,inicio,52,0.4981,0
1,PA,medio,52,0.4746,0
1,PA,final,53,0.4003,0
1,VAR1,inicio,52,15.6781,0
1,VAR1,medio,52,44.2664,0
1,VAR1,final,53,245.0901,0
5,ARHinc,inicio,52,0.36,0.019
5,ARHinc,medio,52,0.2889,0.058
5,ARHinc,final,53,0.2558,0.075
5,KernelARH,inicio,52,0.3697,0.115
5,KernelARH,medio,52,0.3794,0.096
5,KernelARH,final,53,0.2872,0.113
5,PA,inicio,52,0.3117,0
5,PA,medio,52,0.2899,0.019
5,PA,final,53,0.2315,0
5,VAR1,inicio,52,14.443,0.019
5,VAR1,medio,52,89.7282,0
5,VAR1,final,53,375.7014,0
10,ARHinc,inicio,52,0.3432,0.038
10,ARHinc,medio,52,0.1826,0.096
10,ARHinc,final,53,0.2316,0.113
10,KernelARH,inicio,52,0.3452,0.269
10,KernelARH,medio,52,0.2761,0.288
10,KernelARH,final,53,0.2891,0.264
10,PA,inicio,52,0.3312,0.019
10,PA,medio,52,0.1999,0.058
10,PA,final,53,0.197,0.038
10,VAR1,inicio,52,12.3438,0.038
10,VAR1,medio,52,107.5974,0
10,VAR1,final,53,358.7155,0
