h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,7,132,157,0.1972,0.1255,0.3454,NA,NA,
1,PA,7,132,157,0.6654,0.6411,0.7226,-64.873,0,***
1,VAR1,7,132,157,46.3052,19.6669,176.4729,-3.656,3e-4,***
1,ARHinc,7,132,157,0.6817,0.6441,0.754,-28.546,0,***
1,KernelARH,7,132,157,0.6807,0.6474,0.754,-17.576,0,***
5,PM,6,132,157,0.5848,0.3318,0.9642,NA,NA,
5,PA,6,132,157,0.8451,0.6981,1.1506,-25.239,0,***
5,VAR1,6,132,157,99.5407,20.9908,344.0532,-2.311,0.0222,**
5,ARHinc,6,132,157,0.8287,0.6967,1.2017,-17.735,0,***
5,KernelARH,6,132,157,0.8995,0.7334,1.3009,-4.79,0,***
10,PM,5,132,157,0.7676,0.4593,1.3735,NA,NA,
10,PA,5,132,157,0.9835,0.7562,1.4733,-7.857,0,***
10,VAR1,5,132,157,113.7875,21.0505,335.7111,-2.439,0.0159,**
10,ARHinc,5,132,157,1.0143,0.7741,1.4856,-7.062,0,***
10,KernelARH,5,132,157,0.9991,0.7942,1.5339,-1.737,0.0844,*
