h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,52,0.6601,0.6947
1,ARHinc,medio,52,0.7017,0.7502
1,ARHinc,final,53,0.6998,0.794
1,KernelARH,inicio,52,0.6612,0.6936
1,KernelARH,medio,52,0.7063,0.752
1,KernelARH,final,53,0.6871,0.8715
1,PA,inicio,52,0.6553,0.6816
1,PA,medio,52,0.7022,0.7491
1,PA,final,53,0.662,0.7276
1,PM,inicio,52,0.1441,0.2474
1,PM,medio,52,0.2048,0.3377
1,PM,final,53,0.2782,0.4653
1,VAR1,inicio,52,16.7832,31.7461
1,VAR1,medio,52,44.4527,62.3312
1,VAR1,final,53,245.1731,302.5159
5,ARHinc,inicio,52,0.8048,1.1535
5,ARHinc,medio,52,0.7969,0.9179
5,ARHinc,final,53,0.9837,1.4087
5,KernelARH,inicio,52,0.8837,1.1278
5,KernelARH,medio,52,0.8746,1.4444
5,KernelARH,final,53,1.0171,1.3414
5,PA,inicio,52,0.8356,1.0846
5,PA,medio,52,0.8102,0.9214
5,PA,final,53,1.0269,1.3326
5,PM,inicio,52,0.5328,0.9123
5,PM,medio,52,0.5193,0.68
5,PM,final,53,0.7431,1.2277
5,VAR1,inicio,52,15.2925,30.9813
5,VAR1,medio,52,90.306,147.0956
5,VAR1,final,53,377.1355,600.9935
10,ARHinc,inicio,52,0.8765,1.1757
10,ARHinc,medio,52,1.0583,1.4336
10,ARHinc,final,53,1.2947,1.9836
10,KernelARH,inicio,52,0.8967,1.0874
10,KernelARH,medio,52,1.1399,1.6722
10,KernelARH,final,53,1.078,1.826
10,PA,inicio,52,0.8392,1.0769
10,PA,medio,52,1.0162,1.4339
10,PA,final,53,1.2542,1.9809
10,PM,inicio,52,0.4965,0.9112
10,PM,medio,52,0.8522,1.2876
10,PM,final,53,1.0982,1.8138
10,VAR1,inicio,52,12.6319,24.527
10,VAR1,medio,52,108.0637,179.5598
10,VAR1,final,53,359.6422,606.9939
