Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDBRL,1,ARHinc,132,7,157,0.6817,0.5558,0.7106,0.69
USDBRL,1,KernelARH,132,7,157,0.6807,0.5543,0.7146,0.6923
USDBRL,1,PA,132,7,157,0.6654,0.544,0.6877,0.6893
USDBRL,1,PM,132,7,157,0.1972,0.1342,0.3087,0.1145
USDBRL,1,VAR1,132,7,157,46.3052,37.8393,60.3426,42.94
USDBRL,5,ARHinc,132,6,157,0.8287,0.6753,1.0084,0.7393
USDBRL,5,KernelARH,132,6,157,0.8995,0.7197,1.1708,0.7695
USDBRL,5,PA,132,6,157,0.8451,0.6692,1.0678,0.7402
USDBRL,5,PM,132,6,157,0.5848,0.3894,0.8944,0.3064
USDBRL,5,VAR1,132,6,157,99.5407,75.9667,146.0405,64.3067
USDBRL,10,ARHinc,132,5,157,1.0143,0.82,1.2992,0.8329
USDBRL,10,KernelARH,132,5,157,0.9991,0.8052,1.2984,0.8503
USDBRL,10,PA,132,5,157,0.9835,0.8101,1.2784,0.8155
USDBRL,10,PM,132,5,157,0.7676,0.6172,1.1121,0.4879
USDBRL,10,VAR1,132,5,157,113.7875,84.7042,167.6009,64.6649
