W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.21288250641718212,PA,0.6842475176881829,0.47136501127100083
44,5,5,0.5637791097720674,PA,0.818561729566423,0.2547826197943557
44,10,7,0.796778471529137,KernelARH,0.9887459708962927,0.19196749936715574
66,1,5,0.20954580002398604,PA,0.6700801690073763,0.4605343689833903
66,5,5,0.5503886563846706,KernelARH,0.8241202150204021,0.2737315586357315
66,10,5,0.8006544078247685,KernelARH,1.0008074452729896,0.2001530374482211
88,1,6,0.20954580002398604,PA,0.6701510939955421,0.46060529397155603
88,5,4,0.560527550273298,PA,0.8342160170891566,0.27368846681585857
88,10,5,0.8008674203636954,ARHinc,0.9810400654839893,0.18017264512029385
110,1,6,0.20954580002398604,PA,0.6723093620881533,0.46276356206416724
110,5,6,0.5827902710238047,PA,0.8445968676485496,0.2618065966247449
110,10,5,0.8008674203636954,PA,1.0193171418468032,0.21844972148310782
132,1,7,0.19717370806942336,PA,0.6654089502211428,0.4682352421517194
132,5,6,0.58482688102483,ARHinc,0.8287458585347321,0.2439189775099021
132,10,5,0.7675642606523374,PA,0.9835044622366365,0.21594020158429905
154,1,6,0.20327860759974772,PA,0.6731256556621318,0.4698470480623841
154,5,5,0.5827902710238047,PA,0.8660894451461519,0.2832991741223473
154,10,6,0.9077127690816332,PA,1.035933051375087,0.12822028229345384
176,1,6,0.23630271084743446,PA,0.6790295116413438,0.44272680079390936
176,5,6,0.6144697370028143,ARHinc,0.8670351820210276,0.2525654450182133
176,10,6,0.9375523626402461,KernelARH,1.1107413228073095,0.17318896016706342
198,1,8,0.2549184635857572,PA,0.680758781462723,0.42584031787696575
198,5,6,0.6103219437313391,ARHinc,0.8286079725588417,0.2182860288275026
198,10,2,1.0901478375396192,PA,1.1711719073948237,0.0810240698552045
