Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDCLP,1,PM,88,7,201,MAE_med,0.1053
USDCLP,1,PM,88,7,201,RMSE_med,0.1614
USDCLP,1,PM,88,7,201,WRMSE_long_med,0.0985
USDCLP,1,PM,88,7,201,WRMSE_short_med,0.2427
USDCLP,5,PM,88,6,201,MAE_med,0.2737
USDCLP,5,PM,88,6,201,RMSE_med,0.4087
USDCLP,5,PM,88,6,201,WRMSE_long_med,0.2357
USDCLP,5,PM,88,6,201,WRMSE_short_med,0.6288
USDCLP,10,PM,88,7,201,MAE_med,0.4314
USDCLP,10,PM,88,7,201,RMSE_med,0.6239
USDCLP,10,PM,88,7,201,WRMSE_long_med,0.3833
USDCLP,10,PM,88,7,201,WRMSE_short_med,0.9116
