h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,67,0.4747,0
1,ARHinc,medio,67,0.5351,0.03
1,ARHinc,final,67,0.4124,0.015
1,KernelARH,inicio,67,0.485,0.015
1,KernelARH,medio,67,0.5474,0.03
1,KernelARH,final,67,0.4369,0.015
1,PA,inicio,67,0.4632,0
1,PA,medio,67,0.5133,0.03
1,PA,final,67,0.4018,0
1,VAR1,inicio,67,27.43,0
1,VAR1,medio,67,243.8332,0
1,VAR1,final,67,159.5141,0
5,ARHinc,inicio,67,0.3739,0
5,ARHinc,medio,67,0.3013,0.119
5,ARHinc,final,67,0.2821,0.119
5,KernelARH,inicio,67,0.3603,0.06
5,KernelARH,medio,67,0.381,0.104
5,KernelARH,final,67,0.3041,0.075
5,PA,inicio,67,0.3638,0
5,PA,medio,67,0.2679,0.149
5,PA,final,67,0.2792,0.015
5,VAR1,inicio,67,42.3165,0
5,VAR1,medio,67,484.5876,0
5,VAR1,final,67,165.3759,0
10,ARHinc,inicio,67,0.3479,0
10,ARHinc,medio,67,0.1729,0.299
10,ARHinc,final,67,0.1688,0.164
10,KernelARH,inicio,67,0.2679,0.06
10,KernelARH,medio,67,0.1416,0.284
10,KernelARH,final,67,0.38,0.179
10,PA,inicio,67,0.2897,0
10,PA,medio,67,0.1183,0.299
10,PA,final,67,0.168,0.075
10,VAR1,inicio,67,49.45,0
10,VAR1,medio,67,569.9316,0
10,VAR1,final,67,226.5328,0
