Par,h,fecha,Modelo,TRAIN_SIZE,K0,RMSE,MAE,WRMSE_short,WRMSE_long
USDCLP,1,2025-06-06,PM,88,7,0.08424352291924991,0.059269230769230956,0.1311447055982504,0.05545270533892155
USDCLP,1,2025-06-06,PA,88,7,0.5636439152604593,0.44723178028140664,0.5561726789254835,0.6105107319259154
USDCLP,1,2025-06-06,VAR1,88,7,0.7784293332735641,0.6103944998362679,0.7705817066087297,0.8359452854836775
USDCLP,1,2025-06-06,ARHinc,88,7,0.572359729800813,0.45524905020524764,0.5766639929578609,0.6210316998284418
USDCLP,1,2025-06-06,KernelARH,88,7,0.5752259468394088,0.45610522461720954,0.5829465972219475,0.6231322320250829
USDCLP,5,2025-06-12,PM,88,6,0.8356066140604312,0.6176923076923079,1.3270005698742964,0.5317482288043354
USDCLP,5,2025-06-12,PA,88,6,0.9865639655133007,0.7958893871042685,1.3181166006251384,0.81992513792844
USDCLP,5,2025-06-12,VAR1,88,6,1.4055911192487156,1.1850972759797866,1.3693742754079083,1.5901413355896548
USDCLP,5,2025-06-12,ARHinc,88,6,0.9868326573047617,0.7970447092599368,1.3282747380444233,0.7978665391237777
USDCLP,5,2025-06-12,KernelARH,88,6,0.8342758598048935,0.6719057757402516,1.0737861622644964,0.7415438658764933
USDCLP,10,2025-06-19,PM,88,7,1.1583707266607768,0.7454230769230767,1.973456610960752,0.6082885064970197
USDCLP,10,2025-06-19,PA,88,7,1.240378237433984,0.9410679553069942,1.8771094600343436,0.8793413025535545
USDCLP,10,2025-06-19,VAR1,88,7,2.1019926438073675,1.6997121222601854,2.632906031449384,2.063686412242132
USDCLP,10,2025-06-19,ARHinc,88,7,1.2439716450606073,0.9456377897125213,1.8900573975238149,0.8641137084013016
USDCLP,10,2025-06-19,KernelARH,88,7,0.879688334681637,0.6771342312405267,1.2181493906584888,0.7685772692315045
USDCLP,1,2025-06-09,PM,88,7,0.2093321569254875,0.11165384615384605,0.36492917985108037,0.09056805957932153
USDCLP,1,2025-06-09,PA,88,7,0.5339888604899906,0.4196827734023864,0.44994933029527284,0.6070195615306343
USDCLP,1,2025-06-09,VAR1,88,7,19.331749661756383,13.294464779915032,20.7366045726869,22.589248152667853
USDCLP,1,2025-06-09,ARHinc,88,7,0.5296988093738175,0.41660495969347994,0.43496155737037967,0.6068735218667443
USDCLP,1,2025-06-09,KernelARH,88,7,0.5463133933943339,0.4307911969108185,0.4890628423322134,0.6084340973120346
USDCLP,5,2025-06-13,PM,88,6,0.9310256957537995,0.6732692307692305,1.5128847770449543,0.5875327194734907
USDCLP,5,2025-06-13,PA,88,6,1.064393225486742,0.8473747096140026,1.4748436858154101,0.8543390082389448
USDCLP,5,2025-06-13,VAR1,88,6,20.895753753705783,16.79014662712355,20.411481606871643,23.861727478570725
USDCLP,5,2025-06-13,ARHinc,88,6,1.0219683611948396,0.8175077396321673,1.3959906375351283,0.8442422794353749
USDCLP,5,2025-06-13,KernelARH,88,6,0.785752892882042,0.6350005092703648,0.9808499093877305,0.7368903840692537
USDCLP,10,2025-06-20,PM,88,7,0.44863859234183323,0.2738461538461536,0.7449852616835756,0.20729939624084456
USDCLP,10,2025-06-20,PA,88,7,0.7163057269808736,0.580903729644255,0.8229333503362332,0.659576521088887
USDCLP,10,2025-06-20,VAR1,88,7,15.483144036810621,11.48644543234116,10.743870030009552,20.29731089582756
USDCLP,10,2025-06-20,ARHinc,88,7,0.6820967964483308,0.5529067751074415,0.7536339123883232,0.6502283938065277
USDCLP,10,2025-06-20,KernelARH,88,7,0.6142767537471003,0.5094535998355629,0.5495485335909984,0.664222581537271
USDCLP,1,2025-06-10,PM,88,7,0.053687127808327476,0.04142307692307698,0.07163757554388801,0.05278736563198777
USDCLP,1,2025-06-10,PA,88,7,0.5243763556104394,0.416655483896293,0.44335457742003714,0.6027664863040064
USDCLP,1,2025-06-10,VAR1,88,7,32.58672855558549,21.78103589523993,32.111511994256624,40.06807375421633
USDCLP,1,2025-06-10,ARHinc,88,7,0.5353990875848958,0.42299146064210347,0.48923908329776294,0.6021646554243891
USDCLP,1,2025-06-10,KernelARH,88,7,0.5423618840671455,0.4310709431692968,0.5091814074458166,0.6039553509956749
USDCLP,5,2025-06-16,PM,88,6,0.4799503680269771,0.3046153846153845,0.8139177566494954,0.22545035946545555
USDCLP,5,2025-06-16,PA,88,6,0.6723090284094116,0.5421610430765142,0.8258372344987884,0.6297694947396757
USDCLP,5,2025-06-16,VAR1,88,6,42.7964649555027,35.381708641083144,43.33505239783672,48.222908139028945
USDCLP,5,2025-06-16,ARHinc,88,6,0.619309175793538,0.4967097237942151,0.7093832470094361,0.6161441213471726
USDCLP,5,2025-06-16,KernelARH,88,6,0.5669689333569476,0.4493799685831596,0.5825853459199072,0.6074054912475567
USDCLP,10,2025-06-23,PM,88,7,0.17972816011538517,0.13415384615384607,0.2383965673301919,0.11644001235065858
USDCLP,10,2025-06-23,PA,88,7,0.575073580048158,0.45905207070103493,0.5013292142174668,0.6362958405314648
USDCLP,10,2025-06-23,VAR1,88,7,35.29100519371146,27.675659058871585,26.77366251260157,45.24520808057735
USDCLP,10,2025-06-23,ARHinc,88,7,0.5627316386854934,0.45352268966048587,0.485758536497443,0.6300267440543517
USDCLP,10,2025-06-23,KernelARH,88,7,0.7145904680056309,0.6070024533618387,0.7479271746615814,0.7034150242200795
USDCLP,1,2025-06-11,PM,88,7,0.13398998958016348,0.08050000000000006,0.16834369399850366,0.07875974953695467
USDCLP,1,2025-06-11,PA,88,7,0.544222816753513,0.4310636440233739,0.4849125671824402,0.6052718495286359
USDCLP,1,2025-06-11,VAR1,88,7,26.222569135771884,17.342279200026365,25.499942898376617,32.4717785690166
USDCLP,1,2025-06-11,ARHinc,88,7,0.5571479593890554,0.44544137810210643,0.4996940557321512,0.6105231402383784
USDCLP,1,2025-06-11,KernelARH,88,7,0.5396290706657991,0.42532153835939107,0.4848334345698081,0.6035514133859275
USDCLP,5,2025-06-17,PM,88,6,0.9964240630682996,0.6850384615384617,1.6438330194139368,0.5527183656901768
USDCLP,5,2025-06-17,PA,88,6,1.1157822447621344,0.8684607060482915,1.6292767807946378,0.8416377815847585
