h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,7,88,201,0.1614,0.0948,0.3159,NA,NA,
1,PA,7,88,201,0.6272,0.5885,0.6985,-12.048,0,***
1,VAR1,7,88,201,122.8315,41.1173,240.7334,-2.433,0.0159,**
1,ARHinc,7,88,201,0.6313,0.5921,0.7236,-8.78,0,***
1,KernelARH,7,88,201,0.6438,0.5963,0.7976,-9.17,0,***
5,PM,6,88,201,0.4087,0.2385,0.7361,NA,NA,
5,PA,6,88,201,0.7015,0.6341,0.9866,-2.709,0.0073,***
5,VAR1,6,88,201,153.149,59.4774,395.7856,-2.147,0.033,**
5,ARHinc,6,88,201,0.7245,0.6322,1.022,-2.823,0.0052,***
5,KernelARH,6,88,201,0.7339,0.6316,1.0346,-2.686,0.0078,***
10,PM,7,88,201,0.6239,0.3334,1.1584,NA,NA,
10,PA,7,88,201,0.842,0.6688,1.2559,-2.072,0.0395,**
10,VAR1,7,88,201,198.9688,70.4993,467.8153,-1.398,0.1638,
10,ARHinc,7,88,201,0.8362,0.6739,1.2661,-2.543,0.0117,**
10,KernelARH,7,88,201,0.8122,0.6756,1.4438,-2.183,0.0302,**
