h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,67,0.6264,0.6727
1,ARHinc,medio,67,0.69,1.1721
1,ARHinc,final,67,0.5854,0.6582
1,KernelARH,inicio,67,0.6451,0.6942
1,KernelARH,medio,67,0.8226,1.2445
1,KernelARH,final,67,0.5776,0.7143
1,PA,inicio,67,0.6236,0.6643
1,PA,medio,67,0.667,1.1123
1,PA,final,67,0.5909,0.6593
1,PM,inicio,67,0.1575,0.206
1,PM,medio,67,0.1774,0.3524
1,PM,final,67,0.1709,0.3492
1,VAR1,inicio,67,27.5656,59.0107
1,VAR1,medio,67,243.9186,397.831
1,VAR1,final,67,160.5097,218.9891
5,ARHinc,inicio,67,0.6893,0.7635
5,ARHinc,medio,67,0.9817,1.4069
5,ARHinc,final,67,0.6549,0.9179
5,KernelARH,inicio,67,0.6947,0.7587
5,KernelARH,medio,67,1.0117,1.4249
5,KernelARH,final,67,0.757,1.0234
5,PA,inicio,67,0.6889,0.7478
5,PA,medio,67,0.8922,1.3775
5,PA,final,67,0.6628,0.9012
5,PM,inicio,67,0.3249,0.4813
5,PM,medio,67,0.5291,1.1143
5,PM,final,67,0.3884,0.737
5,VAR1,inicio,67,42.7965,76.3775
5,VAR1,medio,67,484.8163,845.0718
5,VAR1,final,67,165.6796,299.4536
10,ARHinc,inicio,67,0.717,0.8656
10,ARHinc,medio,67,1.2019,1.6376
10,ARHinc,final,67,0.8291,1.209
10,KernelARH,inicio,67,0.6756,0.7589
10,KernelARH,medio,67,1.4078,1.6332
10,KernelARH,final,67,0.8591,1.5787
10,PA,inicio,67,0.7163,0.85
10,PA,medio,67,1.1931,1.6094
10,PA,final,67,0.8704,1.1656
10,PM,inicio,67,0.4161,0.6105
10,PM,medio,67,1.1341,1.6288
10,PM,final,67,0.7278,1.0745
10,VAR1,inicio,67,50.0337,91.3005
10,VAR1,medio,67,571.4616,1140.9763
10,VAR1,final,67,227.0005,321.962
