Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDCLP,1,ARHinc,88,7,201,0.6313,0.5116,0.6148,0.6704
USDCLP,1,KernelARH,88,7,201,0.6438,0.5209,0.6387,0.6736
USDCLP,1,PA,88,7,201,0.6272,0.5081,0.5875,0.67
USDCLP,1,PM,88,7,201,0.1614,0.1053,0.2427,0.0985
USDCLP,1,VAR1,88,7,201,122.8315,95.8412,171.4309,90.0888
USDCLP,5,ARHinc,88,6,201,0.7245,0.5822,0.801,0.696
USDCLP,5,KernelARH,88,6,201,0.7339,0.5895,0.8617,0.6961
USDCLP,5,PA,88,6,201,0.7015,0.5718,0.797,0.6955
USDCLP,5,PM,88,6,201,0.4087,0.2737,0.6288,0.2357
USDCLP,5,VAR1,88,6,201,153.149,124.1945,200.5215,120.4401
USDCLP,10,ARHinc,88,7,201,0.8362,0.6706,0.9845,0.7395
USDCLP,10,KernelARH,88,7,201,0.8122,0.6684,0.9761,0.7304
USDCLP,10,PA,88,7,201,0.842,0.684,1.0014,0.7424
USDCLP,10,PM,88,7,201,0.6239,0.4314,0.9116,0.3833
USDCLP,10,VAR1,88,7,201,198.9688,154.8517,257.0047,148.6901
