W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.1607661943033088,PA,0.6251621487488782,0.4643959544455694
44,5,4,0.42795960449196974,PA,0.7053228446343839,0.27736324014241415
44,10,3,0.6238854677928288,KernelARH,0.8408299398926513,0.21694447209982248
66,1,5,0.16044214749344285,PA,0.622783707217789,0.4623415597243461
66,5,8,0.3972545807452408,PA,0.6982745426588469,0.30101996191360614
66,10,8,0.6236651514665912,PA,0.8221358435484991,0.19847069208190793
88,1,7,0.1613511161793053,PA,0.6272263814097053,0.4658752652304
88,5,6,0.40870550804667677,PA,0.7015257517239525,0.2928202436772757
88,10,7,0.6238854677928288,KernelARH,0.8122152847704343,0.18832981697760542
110,1,7,0.16096001056162984,PA,0.6279071889185617,0.46694717835693184
110,5,6,0.3945698119958768,PA,0.7055166074718617,0.3109467954759849
110,10,3,0.7110630246328381,PA,0.8654921939369602,0.1544291693041221
132,1,7,0.1657011617340084,PA,0.6323489490379904,0.46664778730398204
132,5,7,0.4443500006491764,PA,0.710162846054376,0.26581284540519956
132,10,4,0.7856076775827252,PA,0.9457798510257118,0.16017217344298662
154,1,7,0.17309054433579418,PA,0.6325459336512468,0.4594553893154526
154,5,7,0.4756502128665559,PA,0.7563825277918726,0.28073231492531675
154,10,3,0.8618926791571068,PA,0.9766735089516887,0.11478082979458193
176,1,5,0.2093182615430019,PA,0.6483916296618938,0.43907336811889186
176,5,3,0.5253656236008772,PA,0.8125561526218187,0.28719052902094144
176,10,4,0.9471370067816931,ARHinc,1.0690961227471107,0.12195911596541764
198,1,8,0.19870324800876,PA,0.6128174686279388,0.41411422061917885
198,5,3,0.4605794844958486,KernelARH,0.7292315376051444,0.26865205310929574
198,10,3,0.7932316144927464,KernelARH,0.8130785980527752,0.019846983560028786
