Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDCOP,1,PM,154,7,135,MAE_med,0.1027
USDCOP,1,PM,154,7,135,RMSE_med,0.1504
USDCOP,1,PM,154,7,135,WRMSE_long_med,0.0973
USDCOP,1,PM,154,7,135,WRMSE_short_med,0.2198
USDCOP,5,PM,154,8,135,MAE_med,0.3148
USDCOP,5,PM,154,8,135,RMSE_med,0.4321
USDCOP,5,PM,154,8,135,WRMSE_long_med,0.2648
USDCOP,5,PM,154,8,135,WRMSE_short_med,0.6575
USDCOP,10,PM,154,8,135,MAE_med,0.4758
USDCOP,10,PM,154,8,135,RMSE_med,0.6441
USDCOP,10,PM,154,8,135,WRMSE_long_med,0.4102
USDCOP,10,PA,154,8,135,WRMSE_short_med,0.9297
