h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,45,0.3878,0
1,ARHinc,medio,45,0.3751,0
1,ARHinc,final,45,0.4246,0
1,KernelARH,inicio,45,0.3901,0
1,KernelARH,medio,45,0.3858,0
1,KernelARH,final,45,0.4633,0
1,PA,inicio,45,0.3817,0
1,PA,medio,45,0.3712,0
1,PA,final,45,0.4096,0
1,VAR1,inicio,45,54.7388,0
1,VAR1,medio,45,46.2087,0
1,VAR1,final,45,16.2664,0
5,ARHinc,inicio,45,0.2624,0.067
5,ARHinc,medio,45,0.2172,0.022
5,ARHinc,final,45,0.2811,0.022
5,KernelARH,inicio,45,0.2797,0.067
5,KernelARH,medio,45,0.2374,0.022
5,KernelARH,final,45,0.3264,0
5,PA,inicio,45,0.2568,0
5,PA,medio,45,0.2031,0.044
5,PA,final,45,0.2675,0
5,VAR1,inicio,45,107.0004,0
5,VAR1,medio,45,124.7022,0
5,VAR1,final,45,66.5976,0
10,ARHinc,inicio,45,0.1923,0.089
10,ARHinc,medio,45,0.0993,0.022
10,ARHinc,final,45,0.2234,0.044
10,KernelARH,inicio,45,0.285,0.2
10,KernelARH,medio,45,0.1393,0.111
10,KernelARH,final,45,0.2842,0.044
10,PA,inicio,45,0.1557,0
10,PA,medio,45,0.1094,0.022
10,PA,final,45,0.2232,0
10,VAR1,inicio,45,60.9163,0
10,VAR1,medio,45,68.1504,0
10,VAR1,final,45,53.8211,0
