h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,7,154,135,0.1504,0.1014,0.2305,NA,NA,
1,PA,7,154,135,0.5356,0.5017,0.6233,-18.958,0,***
1,VAR1,7,154,135,39.3748,17.4805,58.8146,-3.858,2e-4,***
1,ARHinc,7,154,135,0.5389,0.5017,0.636,-18.42,0,***
1,KernelARH,7,154,135,0.5494,0.5083,0.6743,-8.492,0,***
5,PM,8,154,135,0.4321,0.2683,0.6386,NA,NA,
5,PA,8,154,135,0.6613,0.5546,0.8196,-12.2,0,***
5,VAR1,8,154,135,96.8628,45.4267,145.117,-3.16,0.002,***
5,ARHinc,8,154,135,0.6703,0.5539,0.8097,-10.934,0,***
5,KernelARH,8,154,135,0.6994,0.5841,0.9971,-4.101,1e-4,***
10,PM,8,154,135,0.6441,0.4423,0.9629,NA,NA,
10,PA,8,154,135,0.8163,0.661,1.0636,-10.786,0,***
10,VAR1,8,154,135,63.3414,34.0873,97.8416,-3.52,6e-4,***
10,ARHinc,8,154,135,0.807,0.6426,1.0434,-7.986,0,***
10,KernelARH,8,154,135,0.868,0.6915,1.3959,-3.25,0.0015,***
