h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,45,0.5,0.5306
1,ARHinc,medio,45,0.5389,0.5793
1,ARHinc,final,45,0.6583,0.7981
1,KernelARH,inicio,45,0.5013,0.5385
1,KernelARH,medio,45,0.5383,0.6035
1,KernelARH,final,45,0.7475,0.8951
1,PA,inicio,45,0.5006,0.5248
1,PA,medio,45,0.5364,0.5724
1,PA,final,45,0.6538,0.7804
1,PM,inicio,45,0.1171,0.1909
1,PM,medio,45,0.1503,0.2212
1,PM,final,45,0.1741,0.3068
1,VAR1,inicio,45,54.8763,103.9476
1,VAR1,medio,45,46.4523,58.2195
1,VAR1,final,45,16.511,32.476
5,ARHinc,inicio,45,0.5506,0.696
5,ARHinc,medio,45,0.6752,0.7209
5,ARHinc,final,45,0.7809,1.0313
5,KernelARH,inicio,45,0.6214,0.7747
5,KernelARH,medio,45,0.6902,0.7427
5,KernelARH,final,45,0.9584,1.5734
5,PA,inicio,45,0.5538,0.6785
5,PA,medio,45,0.6751,0.7238
5,PA,final,45,0.7638,1.0541
5,PM,inicio,45,0.2947,0.5192
5,PM,medio,45,0.4735,0.5619
5,PM,final,45,0.5063,0.8613
5,VAR1,inicio,45,107.3399,153.0082
5,VAR1,medio,45,125.1297,158.2397
5,VAR1,final,45,67.2601,112.1239
10,ARHinc,inicio,45,0.6583,0.9127
10,ARHinc,medio,45,0.7613,1.0859
10,ARHinc,final,45,0.8961,1.015
10,KernelARH,inicio,45,0.764,1.1392
10,KernelARH,medio,45,0.7926,1.0946
10,KernelARH,final,45,1.0341,2.0885
10,PA,inicio,45,0.6615,1.0038
10,PA,medio,45,0.7645,1.0769
10,PA,final,45,0.8972,1.0414
10,PM,inicio,45,0.507,0.889
10,PM,medio,45,0.6924,0.9844
10,PM,final,45,0.6441,0.8995
10,VAR1,inicio,45,61.2133,105.29
10,VAR1,medio,45,68.5498,90.2674
10,VAR1,final,45,55.3561,102.9336
