Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDCOP,1,ARHinc,154,7,135,0.5389,0.4243,0.4947,0.5946
USDCOP,1,KernelARH,154,7,135,0.5494,0.4438,0.5267,0.6014
USDCOP,1,PA,154,7,135,0.5356,0.4256,0.4989,0.5944
USDCOP,1,PM,154,7,135,0.1504,0.1027,0.2198,0.0973
USDCOP,1,VAR1,154,7,135,39.3748,29.4977,54.296,22.8371
USDCOP,5,ARHinc,154,8,135,0.6703,0.5483,0.7299,0.6383
USDCOP,5,KernelARH,154,8,135,0.6994,0.5685,0.7353,0.6713
USDCOP,5,PA,154,8,135,0.6613,0.545,0.7327,0.6347
USDCOP,5,PM,154,8,135,0.4321,0.3148,0.6575,0.2648
USDCOP,5,VAR1,154,8,135,96.8628,71.467,136.3063,60.359
USDCOP,10,ARHinc,154,8,135,0.807,0.6733,0.9391,0.7447
USDCOP,10,KernelARH,154,8,135,0.868,0.7189,1.0097,0.7996
USDCOP,10,PA,154,8,135,0.8163,0.6701,0.9297,0.7431
USDCOP,10,PM,154,8,135,0.6441,0.4758,0.9356,0.4102
USDCOP,10,VAR1,154,8,135,63.3414,48.038,84.7071,43.5475
