W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.13752062782333083,PA,0.7047365845076755,0.5672159566843447
44,5,4,0.3345331132282031,ARHinc,0.7277034081551028,0.3931702949268997
44,10,6,0.49981587956120227,PA,0.7733689561507014,0.2735530765894992
66,1,4,0.13138482086544911,PA,0.6965369958214036,0.5651521749559545
66,5,4,0.3141945593956811,PA,0.7232915297954576,0.40909697039977655
66,10,7,0.4973343365460424,PA,0.769477593262016,0.2721432567159736
88,1,5,0.13752062782333083,PA,0.6178317860278953,0.4803111582045645
88,5,4,0.3386305139824229,PA,0.7212661146737751,0.3826356006913522
88,10,6,0.5141419289232527,PA,0.7744174692756848,0.26027554035243206
110,1,6,0.13882716149669966,PA,0.5650658938929402,0.4262387323962405
110,5,7,0.34434232184758323,PA,0.7203229456361032,0.37598062378852
110,10,8,0.5576569285860258,PA,0.7844457067170216,0.22678877813099585
132,1,8,0.13944274397097126,PA,0.5452055588877226,0.40576281491675137
132,5,8,0.395927647333546,PA,0.6868662101974271,0.2909385628638811
132,10,4,0.6185304000364337,PA,0.8071976146746794,0.18866721463824576
154,1,7,0.15043127104326487,PA,0.5355822498761895,0.38515097883292465
154,5,8,0.4321431943055628,PA,0.6613065345244269,0.2291633402188641
154,10,8,0.6440861892874039,ARHinc,0.80703559632732,0.16294940703991612
176,1,8,0.16140771952752736,PA,0.5388381510071893,0.377430431479662
176,5,8,0.4557515981658967,PA,0.6804923088286395,0.22474071066274282
176,10,8,0.6778152119408811,ARHinc,0.8464880017472268,0.1686727898063457
198,1,7,0.16283235243648606,ARHinc,0.5630516042497298,0.4002192518132437
198,5,8,0.4734769610998065,PA,0.6877413728196022,0.2142644117197957
198,10,8,0.6626630060712493,ARHinc,0.8468308515770032,0.18416784550575394
