Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDMXN,1,PM,88,7,201,MAE_med,0.0926
USDMXN,1,PM,88,7,201,RMSE_med,0.147
USDMXN,1,PM,88,7,201,WRMSE_long_med,0.0791
USDMXN,1,PM,88,7,201,WRMSE_short_med,0.2353
USDMXN,5,PM,88,6,201,MAE_med,0.2099
USDMXN,5,PM,88,6,201,RMSE_med,0.3419
USDMXN,5,PM,88,6,201,WRMSE_long_med,0.1789
USDMXN,5,PM,88,6,201,WRMSE_short_med,0.5509
USDMXN,10,PM,88,6,201,MAE_med,0.2593
USDMXN,10,PM,88,6,201,RMSE_med,0.4251
USDMXN,10,PM,88,6,201,WRMSE_long_med,0.2324
USDMXN,10,PM,88,6,201,WRMSE_short_med,0.6094
