h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,67,0.466,0
1,ARHinc,medio,67,0.4477,0
1,ARHinc,final,67,0.4353,0
1,KernelARH,inicio,67,0.4731,0
1,KernelARH,medio,67,0.4673,0
1,KernelARH,final,67,0.458,0
1,PA,inicio,67,0.4602,0
1,PA,medio,67,0.4385,0
1,PA,final,67,0.4214,0
1,VAR1,inicio,67,26.9982,0
1,VAR1,medio,67,8.187,0
1,VAR1,final,67,42.9889,0
5,ARHinc,inicio,67,0.354,0
5,ARHinc,medio,67,0.3268,0
5,ARHinc,final,67,0.3285,0
5,KernelARH,inicio,67,0.377,0.06
5,KernelARH,medio,67,0.4063,0.075
5,KernelARH,final,67,0.3255,0.03
5,PA,inicio,67,0.3563,0
5,PA,medio,67,0.31,0
5,PA,final,67,0.3004,0
5,VAR1,inicio,67,48.7151,0
5,VAR1,medio,67,9.6942,0
5,VAR1,final,67,85.0601,0
10,ARHinc,inicio,67,0.3296,0
10,ARHinc,medio,67,0.3214,0
10,ARHinc,final,67,0.2285,0
10,KernelARH,inicio,67,0.3701,0.03
10,KernelARH,medio,67,0.418,0.03
10,KernelARH,final,67,0.2837,0.134
10,PA,inicio,67,0.3165,0
10,PA,medio,67,0.294,0
10,PA,final,67,0.2225,0
10,VAR1,inicio,67,39.8637,0
10,VAR1,medio,67,4.6464,0
10,VAR1,final,67,84.3422,0
