h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,7,88,201,0.147,0.0958,0.2498,NA,NA,
1,PA,7,88,201,0.6072,0.5773,0.6419,-73.982,0,***
1,VAR1,7,88,201,21.8129,8.9872,53.0538,-2.699,0.0075,***
1,ARHinc,7,88,201,0.6084,0.5799,0.6479,-22.268,0,***
1,KernelARH,7,88,201,0.6138,0.5856,0.6708,-8.682,0,***
5,PM,6,88,201,0.3419,0.2291,0.5205,NA,NA,
5,PA,6,88,201,0.6646,0.6172,0.7748,-35.543,0,***
5,VAR1,6,88,201,27.285,9.9946,101.2287,-2.083,0.0385,**
5,ARHinc,6,88,201,0.6709,0.6191,0.7924,-15.623,0,***
5,KernelARH,6,88,201,0.6842,0.6254,0.8208,-9.342,0,***
10,PM,6,88,201,0.4251,0.2533,0.6541,NA,NA,
10,PA,6,88,201,0.6899,0.6203,0.8566,-24.027,0,***
10,VAR1,6,88,201,23.8348,6.8947,102.435,-1.882,0.0612,*
10,ARHinc,6,88,201,0.7002,0.6239,0.8772,-17.577,0,***
10,KernelARH,6,88,201,0.7676,0.6637,0.9653,-6.755,0,***
