h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,67,0.608,0.6252
1,ARHinc,medio,67,0.5941,0.6274
1,ARHinc,final,67,0.6366,0.689
1,KernelARH,inicio,67,0.6122,0.6384
1,KernelARH,medio,67,0.6034,0.6526
1,KernelARH,final,67,0.6412,0.754
1,PA,inicio,67,0.6078,0.6239
1,PA,medio,67,0.5907,0.6231
1,PA,final,67,0.6411,0.6775
1,PM,inicio,67,0.131,0.2429
1,PM,medio,67,0.1443,0.2282
1,PM,final,67,0.1932,0.3612
1,VAR1,inicio,67,27.629,54.2687
1,VAR1,medio,67,8.2931,13.0643
1,VAR1,final,67,43.3778,92.7394
5,ARHinc,inicio,67,0.6548,0.7632
5,ARHinc,medio,67,0.6552,0.7403
5,ARHinc,final,67,0.7204,0.8785
5,KernelARH,inicio,67,0.6536,0.7098
5,KernelARH,medio,67,0.7114,0.8221
5,KernelARH,final,67,0.7504,1.0539
5,PA,inicio,67,0.6378,0.7644
5,PA,medio,67,0.6531,0.7377
5,PA,final,67,0.7341,0.8641
5,PM,inicio,67,0.2902,0.4978
5,PM,medio,67,0.343,0.4655
5,PM,final,67,0.3906,0.6327
5,VAR1,inicio,67,48.8689,120.4289
5,VAR1,medio,67,10.0529,16.5129
5,VAR1,final,67,85.283,214.3716
10,ARHinc,inicio,67,0.6737,0.7844
10,ARHinc,medio,67,0.6671,0.8282
10,ARHinc,final,67,0.8684,1.3783
10,KernelARH,inicio,67,0.6989,0.8059
10,KernelARH,medio,67,0.8153,0.9322
10,KernelARH,final,67,0.8745,1.4201
10,PA,inicio,67,0.6614,0.746
10,PA,medio,67,0.6598,0.8049
10,PA,final,67,0.8426,1.3718
10,PM,inicio,67,0.3421,0.5096
10,PM,medio,67,0.3504,0.5704
10,PM,final,67,0.6434,1.1987
10,VAR1,inicio,67,40.027,117.1725
10,VAR1,medio,67,5.1485,14.7864
10,VAR1,final,67,85.2118,258.0883
