Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
USDMXN,1,ARHinc,88,7,201,0.6084,0.4925,0.5903,0.638
USDMXN,1,KernelARH,88,7,201,0.6138,0.4967,0.5998,0.6453
USDMXN,1,PA,88,7,201,0.6072,0.4897,0.5799,0.6369
USDMXN,1,PM,88,7,201,0.147,0.0926,0.2353,0.0791
USDMXN,1,VAR1,88,7,201,21.8129,15.8426,27.6913,15.1946
USDMXN,5,ARHinc,88,6,201,0.6709,0.545,0.7295,0.6602
USDMXN,5,KernelARH,88,6,201,0.6842,0.552,0.7584,0.6751
USDMXN,5,PA,88,6,201,0.6646,0.5375,0.7283,0.6578
USDMXN,5,PM,88,6,201,0.3419,0.2099,0.5509,0.1789
USDMXN,5,VAR1,88,6,201,27.285,19.8545,35.8364,19.5548
USDMXN,10,ARHinc,88,6,201,0.7002,0.5637,0.7801,0.6799
USDMXN,10,KernelARH,88,6,201,0.7676,0.6093,0.9202,0.7082
USDMXN,10,PA,88,6,201,0.6899,0.5561,0.7558,0.67490000000000006
USDMXN,10,PM,88,6,201,0.4251,0.2593,0.6094,0.2324
USDMXN,10,VAR1,88,6,201,23.8348,17.6946,35.5166,15.4666
