W,h,K0,PM,MejorModelo,MejorDyn,Gap_vs_PM
44,1,4,0.155631622503516,PA,0.6144241360895506,0.45879251358603457
44,5,4,0.36203326717093504,ARHinc,0.6871969340238295,0.3251636668528945
44,10,6,0.4539769246084245,PA,0.7296749643417548,0.27569803973333035
66,1,6,0.14961460104600047,ARHinc,0.6090896451236119,0.4594750440776114
66,5,5,0.34358452660601135,ARHinc,0.6778835411208382,0.3342990145148268
66,10,5,0.427887667231986,PA,0.7086001553014888,0.2807124880695028
88,1,7,0.1469790343500105,PA,0.6071631102027715,0.460184075852761
88,5,6,0.3419058434265648,PA,0.6645557212410906,0.3226498778145258
88,10,6,0.4251179926706322,PA,0.6898990639733964,0.2647810713027642
110,1,8,0.14652014826007326,PA,0.6009556838337065,0.4544355355736332
110,5,6,0.3430464618677768,PA,0.6655441615291877,0.3224976996614109
110,10,5,0.4251179926706322,PA,0.6993968071852359,0.2742788145146037
132,1,7,0.14701196968536,PA,0.6038982696798493,0.45688629999448926
132,5,6,0.35103191286000457,ARHinc,0.6692310571326603,0.3181991442726557
132,10,5,0.4251179926706322,PA,0.697827733650961,0.27270974098032874
154,1,7,0.1567992040305544,PA,0.604964703408168,0.44816549937761363
154,5,6,0.36203326717093504,PA,0.6828412472053131,0.3208079800343781
154,10,6,0.440692593015201,ARHinc,0.7179848049603861,0.2772922119451851
176,1,8,0.16405349151091878,ARHinc,0.6088731126395059,0.4448196211285872
176,5,7,0.3741556776982625,ARHinc,0.6718068305497943,0.29765115285153176
176,10,5,0.4539769246084245,ARHinc,0.7432075800646428,0.28923065545621834
198,1,8,0.17346591329976943,ARHinc,0.6149204384949991,0.44145452519522965
198,5,5,0.36203326717093504,ARHinc,0.6889514350397288,0.32691816786879374
198,10,5,0.5390397266649989,ARHinc,0.7789644623708851,0.23992473570588624
