Par,h,Modelo,TRAIN_SIZE,K0,N,Loss,Valor
USDPEN,1,PM,44,4,245,MAE_med,0.072
USDPEN,1,PM,44,4,245,RMSE_med,0.12
USDPEN,1,PM,44,4,245,WRMSE_long_med,0.0734
USDPEN,1,PM,44,4,245,WRMSE_short_med,0.1739
USDPEN,5,PM,44,4,245,MAE_med,0.2096
USDPEN,5,PM,44,4,245,RMSE_med,0.3227
USDPEN,5,PM,44,4,245,WRMSE_long_med,0.2203
USDPEN,5,PM,44,4,245,WRMSE_short_med,0.402
USDPEN,10,PM,44,4,245,MAE_med,0.2879
USDPEN,10,PM,44,4,245,RMSE_med,0.4223
USDPEN,10,PM,44,4,245,WRMSE_long_med,0.3002
USDPEN,10,PM,44,4,245,WRMSE_short_med,0.5857
