h,Modelo,bloque,N,Gap_mediana,Prop_mejora
1,ARHinc,inicio,81,0.7923,0
1,ARHinc,medio,82,0.8846,0
1,ARHinc,final,82,0.8161,0
1,KernelARH,inicio,81,0.7948,0
1,KernelARH,medio,82,0.8882,0
1,KernelARH,final,82,0.8232,0
1,PA,inicio,81,0.7898,0
1,PA,medio,82,0.8758,0
1,PA,final,82,0.8137,0
1,VAR1,inicio,81,12.0873,0
1,VAR1,medio,82,6.0716,0
1,VAR1,final,82,4.9231,0
5,ARHinc,inicio,81,0.6674,0
5,ARHinc,medio,82,0.764,0
5,ARHinc,final,82,0.5461,0
5,KernelARH,inicio,81,0.6853,0
5,KernelARH,medio,82,0.7796,0
5,KernelARH,final,82,0.6075,0.024
5,PA,inicio,81,0.6699,0
5,PA,medio,82,0.7686,0
5,PA,final,82,0.5459,0
5,VAR1,inicio,81,13.4852,0
5,VAR1,medio,82,8.9903,0
5,VAR1,final,82,10.2658,0
10,ARHinc,inicio,81,0.6068,0
10,ARHinc,medio,82,0.6758,0
10,ARHinc,final,82,0.4082,0
10,KernelARH,inicio,81,0.6024,0
10,KernelARH,medio,82,0.6757,0
10,KernelARH,final,82,0.4299,0.012
10,PA,inicio,81,0.6053,0
10,PA,medio,82,0.674,0
10,PA,final,82,0.3999,0
10,VAR1,inicio,81,8.7289,0
10,VAR1,medio,82,7.852,0
10,VAR1,final,82,10.1457,0
