Par,h,fecha,Modelo,TRAIN_SIZE,K0,RMSE,MAE,WRMSE_short,WRMSE_long
USDPEN,1,2025-04-07,PM,44,4,0.06640964075053692,0.05088461538461535,0.08671594952963994,0.04955393458390469
USDPEN,1,2025-04-07,PA,44,4,0.867979292621369,0.6508289007903365,0.6226350906533707,1.0830352684863283
USDPEN,1,2025-04-07,VAR1,44,4,2.982553855444301,2.7587044337898945,3.1974107321930827,2.673760084613864
USDPEN,1,2025-04-07,ARHinc,44,4,0.8747957364608638,0.6580192693277387,0.6382475532945427,1.08691982382236
USDPEN,1,2025-04-07,KernelARH,44,4,0.8697653184696098,0.6470605770524775,0.6240418094651257,1.0849387803380306
USDPEN,5,2025-04-11,PM,44,4,0.17576768430560233,0.1367692307692308,0.19418374241512995,0.13741553888243135
USDPEN,5,2025-04-11,PA,44,4,0.9077363767624851,0.6890272790622646,0.6858253942460558,1.1098543536204968
USDPEN,5,2025-04-11,VAR1,44,4,10.365149455968398,8.48895060490286,12.192532170206208,9.45415966939942
USDPEN,5,2025-04-11,ARHinc,44,4,0.9120123660387025,0.6987270783768149,0.6976199218600334,1.1138312051303414
USDPEN,5,2025-04-11,KernelARH,44,4,0.8936701237133865,0.6704725559554757,0.6623078081157916,1.107058462944262
USDPEN,10,2025-04-18,PM,44,4,0.2616032301023824,0.1696923076923078,0.22563184802105474,0.2607350017593603
USDPEN,10,2025-04-18,PA,44,4,0.9783066642045436,0.7614414945724203,0.7631152103235366,1.1676173110806278
USDPEN,10,2025-04-18,VAR1,44,4,9.610901644141077,7.855524502188601,11.202050877870429,8.754615569054925
USDPEN,10,2025-04-18,ARHinc,44,4,0.9687752538967046,0.755260873581715,0.7705172768364669,1.1570921918737302
USDPEN,10,2025-04-18,KernelARH,44,4,0.9982518886100107,0.7686062665086845,0.7732821895936529,1.1858078825855904
USDPEN,1,2025-04-08,PM,44,4,0.13010812810889255,0.10319230769230776,0.1565488578909952,0.08872048609544379
USDPEN,1,2025-04-08,PA,44,4,0.8627415091554181,0.6447443915513733,0.6237647255649448,1.073908225703994
USDPEN,1,2025-04-08,VAR1,44,4,7.5344669604639,6.123648965722337,8.720135137633727,6.223897878931922
USDPEN,1,2025-04-08,ARHinc,44,4,0.8623542190515538,0.6436064284651661,0.6251304976335197,1.073340966735719
USDPEN,1,2025-04-08,KernelARH,44,4,0.8641449463165745,0.6446356328169948,0.6280959682215391,1.0757822119077218
USDPEN,5,2025-04-14,PM,44,4,0.2984135134339598,0.1986923076923077,0.3200422067506169,0.2674012562911673
USDPEN,5,2025-04-14,PA,44,4,0.9871937441358476,0.7653738398651321,0.7787078178510168,1.1731849002947858
USDPEN,5,2025-04-14,VAR1,44,4,4.513921192419897,4.040212339843451,4.929632615625458,3.7692644129272703
USDPEN,5,2025-04-14,ARHinc,44,4,0.9889863829812798,0.7669807752321957,0.7801646972842762,1.1747684399934022
