h,Modelo,K0,TRAIN_SIZE,N,Mediana,P25,P75,DM_stat,DM_pval,sig
1,PM,4,44,245,0.12,0.0736,0.2274,NA,NA,
1,PA,4,44,245,0.967,0.9027,1.0483,-44.214,0,***
1,VAR1,4,44,245,7.554,3.1547,15.3386,-4.514,0,***
1,ARHinc,4,44,245,0.9679,0.9023,1.0489,-44.012,0,***
1,KernelARH,4,44,245,0.9727,0.9035,1.0617,-40.594,0,***
5,PM,4,44,245,0.3227,0.193,0.5221,NA,NA,
5,PA,4,44,245,1.0014,0.932,1.0962,-20.154,0,***
5,VAR1,4,44,245,10.856,4.5433,27.0935,-2.268,0.0242,**
5,ARHinc,4,44,245,0.9998,0.9309,1.093,-20.313,0,***
5,KernelARH,4,44,245,1.0076,0.9218,1.1194,-16.156,0,***
10,PM,4,44,245,0.4223,0.2703,0.6606,NA,NA,
10,PA,4,44,245,1.0394,0.9503,1.1695,-22.164,0,***
10,VAR1,4,44,245,8.9306,3.8355,23.4599,-2.127,0.0344,**
10,ARHinc,4,44,245,1.043,0.947,1.168,-22.72,0,***
10,KernelARH,4,44,245,1.0566,0.9563,1.1854,-17.463,0,***
