h,Modelo,bloque,N,Mediana,P75
1,ARHinc,inicio,81,0.8856,0.9239
1,ARHinc,medio,82,1.0149,1.058
1,ARHinc,final,82,1.037,1.1034
1,KernelARH,inicio,81,0.8913,0.9239
1,KernelARH,medio,82,1.0263,1.0646
1,KernelARH,final,82,1.0569,1.1212
1,PA,inicio,81,0.8837,0.9204
1,PA,medio,82,1.0106,1.0588
1,PA,final,82,1.039,1.1014
1,PM,inicio,81,0.0795,0.141
1,PM,medio,82,0.0918,0.1508
1,PM,final,82,0.2213,0.3272
1,VAR1,inicio,81,12.2045,25.3674
1,VAR1,medio,82,6.2806,9.7562
1,VAR1,final,82,5.2001,11.7975
5,ARHinc,inicio,81,0.9128,0.9518
5,ARHinc,medio,82,1.0209,1.0917
5,ARHinc,final,82,1.0961,1.2313
5,KernelARH,inicio,81,0.9065,0.9591
5,KernelARH,medio,82,1.0293,1.1019
5,KernelARH,final,82,1.14,1.388
5,PA,inicio,81,0.9126,0.9502
5,PA,medio,82,1.0251,1.0915
5,PA,final,82,1.112,1.2408
5,PM,inicio,81,0.2462,0.3348
5,PM,medio,82,0.2154,0.366
5,PM,final,82,0.5882,0.7621
5,VAR1,inicio,81,13.8022,42.5013
5,VAR1,medio,82,9.2859,20.4625
5,VAR1,final,82,10.9018,24.0761
10,ARHinc,inicio,81,0.9351,0.9688
10,ARHinc,medio,82,1.0663,1.1659
10,ARHinc,final,82,1.1847,1.4343
10,KernelARH,inicio,81,0.9391,0.9794
10,KernelARH,medio,82,1.0689,1.1632
10,KernelARH,final,82,1.2505,1.4859
10,PA,inicio,81,0.9335,0.9684
10,PA,medio,82,1.0656,1.1678
10,PA,final,82,1.1746,1.4432
10,PM,inicio,81,0.3274,0.3864
10,PM,medio,82,0.3045,0.5565
10,PM,final,82,0.8123,1.0834
10,VAR1,inicio,81,8.9306,48.3359
10,VAR1,medio,82,8.341,18.2062
10,VAR1,final,82,10.8819,26.0308
